variable
PC O-40:9
PC O-42:9
TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0)
DG 44:8
DGDG 40:10|DGDG 20:5_20:5
TG 64:2;O2|TG 16:0_16:0_16:1;O(FA 16:0)
SM 44:9;O2
DGDG 27:0|DGDG 12:0_15:0
PC 35:1
DMPE 40:10|DMPE 20:5_20:5
MGDG 30:0|MGDG 14:0_16:0
MGDG 38:9|MGDG 18:4_20:5
PE 30:5
DGDG O-13:0
SM 34:0;O3
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0)
MGDG 36:9|MGDG 18:4_18:5
DG O-44:1|DG O-17:1_27:0
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0)
DG 29:0
DG 32:1|DG 16:0_16:1
PC 35:2
SM 38:4;O3
PG 35:3|PG 16:1_19:2
PC 40:8;O3|PC 22:6_18:2;O3
DG 45:11
ST 24:1;O5
MGDG 40:10|MGDG 18:4_22:6
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0)
Cer 34:0;O3|Cer 18:0;O2/16:0;O
FA 18:2;O2
MGDG 38:10|MGDG 18:5_20:5
SE 29:1/16:0
PEtOH 35:9
HexCer 38:3;O2
DG 34:2|DG 16:0_18:2
DG 43:11
TG 48:4|TG 14:0_16:1_18:3
Cer 37:3;O3
Cer 37:6;O2|Cer 15:1;O2/22:5
TG O-52:6|TG O-22:0_15:3_15:3
PC O-36:4;O2|PC O-18:1_18:3;O2
TG O-54:7|TG O-19:4_15:3_20:0
DG 32:2
MGDG 34:7|MGDG 16:3_18:4
Cer 26:1;O2|Cer 18:1;O2/8:0
Cer 36:1;O3|Cer 14:0;O2/22:1;O
CAR 28:2
Cer 31:4;O2|Cer 12:2;O2/19:2
Cer 46:6;O2|Cer 30:2;O2/16:4
PC O-40:5|PC O-17:4_23:1
DG 48:11
Cer 38:1;O2|Cer 19:1;O2/19:0
DG 36:0|DG 18:0_18:0
AHexCer 47:6;O3|AHexCer (O-20:4)27:2;O3
VAE 17:1
MGDG 36:8|MGDG 18:4_18:4
PC O-30:0
TG 54:6|TG 16:0_16:0_22:6
PC 37:1
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0)
TG 48:5|TG 14:0_16:1_18:4
DG 36:7
DG O-36:2|DG O-20:1_16:1
TG 48:3|TG 16:1_16:1_16:1
Cer 37:5;O2|Cer 22:2;O2/15:3
PI 42:4|PI 20:0_22:4
Cer 37:5;O2|Cer 21:3;O2/16:2
Cer 54:5;O2|Cer 18:2;O2/36:3
Cer 27:4;O2|Cer 12:1;O2/15:3
Cer 39:5;O2|Cer 21:2;O2/18:3
AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2
DG 47:13
DGDG 36:7|DGDG 18:3_18:4
Cer 36:3;O2|Cer 14:1;O2/22:2
Cer 35:0;O2|Cer 20:0;O2/15:0
FA 22:4
