Plate,well,code,Gradient_Temperature,Symbiont,Rdark26,QYdark26,NPQdark26,NPlight26,QYlight26,NPQlight26,LEDRgradient,QYgradient,NPQgradient
WT-Warm,Area 15,WT-Warm Area 15,34,WT,-50.20328,0.6128383470963312,0.06381119430441866,-91.23424533333318,0.33483767563315525,0.5400976114037802,-383.1677444444444,0.5478354931135725,0.24704761618374843
WT-Warm,Area 16,WT-Warm Area 16,33,WT,-39.369866666666674,0.5916704276266056,0.029514065470903697,-70.23301866666652,0.3514071860155965,0.39250245671472445,-416.5344305555555,0.548337953853652,0.20445671794396925
WT-Warm,Area 17,WT-Warm Area 17,32,WT,-29.79585333333307,0.559228813701928,0.011870952924334561,-79.23657333333307,0.3128586463471359,0.4732233078201184,-262.57744555555536,0.5146487842761186,0.21836334822593773
WT-Warm,Area 18,WT-Warm Area 18,31,WT,-19.48326222222224,0.6077586980677676,0.048339272166412206,-18.883546666666856,0.355832761720418,0.3819483791440643,-61.95740833333338,0.5637881682189124,0.08120222610930569
WT-Warm,Area 19,WT-Warm Area 19,38,WT,-10.93144000000005,0.6296808316880742,0.044010920866479626,-37.9243786666668,0.352234116847259,0.5578437512912403,-150.3427572222224,0.5616152907627374,0.35353944343630556
WT-Warm,Area 2,WT-Warm Area 2,37,WT,8.402017777777978,0.6083277382188099,0.04015985929669094,-82.2508666666666,0.3593624364001817,0.40599203545132556,-452.47614999999985,0.5470127305892839,0.2761270157416767
WT-Warm,Area 20,WT-Warm Area 20,37,WT,-17.10590666666685,0.6067393854417716,0.05673324602287775,-35.16335466666676,0.3474400804200402,0.4604669491240832,-508.60140000000007,0.5673508026735372,0.2563255254143468
WT-Warm,Area 21,WT-Warm Area 21,34,WT,-18.673382222222347,0.601408017335025,0.03527498368652626,-168.048752,0.333383982927731,0.4312287108895058,-590.0849455555556,0.5416057414793508,0.14637847374282906
WT-Warm,Area 22,WT-Warm Area 22,33,WT,5.956564444444262,0.5784411669158505,0.05129170120935181,22.46178399999995,0.30876622146689187,0.4116205419500051,84.5816838888888,0.5036761338465128,0.24267000851902418
WT-Warm,Area 23,WT-Warm Area 23,32,WT,-26.420675555555743,0.6002445851538598,0.022190226823274296,-42.076885333333344,0.34264340858524395,0.48071710245355215,-382.45285611111115,0.5445680052314319,0.1829521812445591
WT-Warm,Area 24,WT-Warm Area 24,31,WT,-9.783475555555357,0.6242886961365371,0.016914255576235115,-21.08206666666641,0.3645779331948237,0.429661850554201,-112.32620166666655,0.5882040072922876,0.1294080780739838
WT-Warm,Area 3,WT-Warm Area 3,34,WT,-8.350977777777816,0.5949667391187902,0.04396712933176601,-40.67161066666672,0.341429185863859,0.37729042690379805,-333.3560077777778,0.5499825488232507,0.13856741193321423
WT-Warm,Area 4,WT-Warm Area 4,33,WT,-35.235320000000016,0.5913645955885156,0.05952895784280583,-63.8867280000001,0.3516238241150714,0.39705582056993993,-456.79966444444455,0.5491968098865245,0.2507882929739339
WT-Warm,Area 5,WT-Warm Area 5,32,WT,-22.209284444444428,0.593410381366309,0.03553471607216824,-27.170002666666694,0.34485986642921257,0.5413802313257028,-360.5491527777778,0.5308481552112507,0.2663791302687855
WT-Warm,Area 6,WT-Warm Area 6,31,WT,22.594417777777725,0.6457801109624046,0.08875476875046798,25.975405333333423,0.41909323546296195,0.47669018053542966,15.357835000000017,0.5954327474257193,0.18499376384667132
WT-Warm,Area 7,WT-Warm Area 7,38,WT,-3.902915555555147,0.6224753751400427,0.03889470215088182,1.4624800000004081,0.3736873692856862,0.4129912622723191,29.773743888889257,0.5268931567085464,0.20153884621576176
WT-Warm,Area 8,WT-Warm Area 8,37,WT,-50.94874222222231,0.5986268836930004,0.02731705623047087,-121.13445866666682,0.35125580799294853,0.4889700650489247,-631.6665961111113,0.5516800493595926,0.213369891448427
WT-Warm,Area 9,WT-Warm Area 9,34,WT,-40.242542222222255,0.5657032969574436,0.06608190458121706,-139.99325333333326,0.33256931891385355,0.39815653484854924,-510.9401183333333,0.5242685604479945,0.134745072062822
