Plate,well,code,Gradient_Temperature,Symbiont,Rdark26,QYdark26,NPQdark26,NPlight26,QYlight26,NPQlight26,LEDRgradient,QYgradient,NPQgradient
MIX-Warm,Area 15,MIX-Warm Area 15,34,MIX,-38.27584444444429,0.6251984877785912,0.05437458501002893,-28.309239999999797,0.3526083986886762,0.4735429593780334,-431.18319611111093,0.562952978104783,0.2787973811697513
MIX-Warm,Area 16,MIX-Warm Area 16,33,MIX,-28.40539111111122,0.6317228478787176,0.06729608792668412,-44.481541333333396,0.3936024725717386,0.41317746609321276,-394.777172777778,0.5628258382761199,0.2968212737380201
MIX-Warm,Area 17,MIX-Warm Area 17,32,MIX,-31.38652000000002,0.6050385252489501,0.04530748112492907,-40.85232266666669,0.328699622220606,0.36188832703368534,-240.85133666666664,0.5283075748313248,0.19917350970147163
MIX-Warm,Area 18,MIX-Warm Area 18,31,MIX,2.610404444444349,0.6398973564197431,0.06135590776042801,1.654855999999903,0.38791600567428086,0.3524766142479953,-77.28195111111123,0.5767328887430969,0.18896429961609124
MIX-Warm,Area 19,MIX-Warm Area 19,38,MIX,-22.067417777777884,0.6651844125495839,0.027952203761075652,-23.636229333333418,0.3735114530433647,0.5158067747120814,-220.3504872222224,0.5729794635540493,0.3102741840501202
MIX-Warm,Area 2,MIX-Warm Area 2,37,MIX,-9.392062222222172,0.6363989614477608,0.028420014792810328,-50.553333333333384,0.369581627736588,0.41246339427590506,-400.3654422222223,0.5515114457513159,0.29497166656761553
MIX-Warm,Area 20,MIX-Warm Area 20,37,MIX,-18.4210888888889,0.6557581622986194,0.07707392275969943,-70.55189333333337,0.3853233496934219,0.4513709707657529,-483.366193888889,0.5656774065714968,0.33429648492960595
MIX-Warm,Area 21,MIX-Warm Area 21,34,MIX,-32.43379111111127,0.6447942950210072,0.028082882782606983,-51.15748800000026,0.3718282743178468,0.5110283841692606,-572.8726383333335,0.5571532999274869,0.36677731923348206
MIX-Warm,Area 22,MIX-Warm Area 22,33,MIX,2.3789555555553914,0.6040774899279064,0.0500277164857386,33.90874933333311,0.33325111067646446,0.47848582904906234,98.21834722222188,0.505279742468405,0.3073399177209157
MIX-Warm,Area 23,MIX-Warm Area 23,32,MIX,5.990026666666784,0.6285652143236481,0.06909990631371173,21.199800000000153,0.3740906178917891,0.47999743304419507,-386.7073344444443,0.5804150779100655,0.26355503738163616
MIX-Warm,Area 24,MIX-Warm Area 24,31,MIX,-6.4755066666665595,0.6408457679387467,0.04859994799051372,5.598416000000046,0.3667534261268958,0.4394268815298891,-124.18179833333335,0.5878040230634598,0.16098285486168662
MIX-Warm,Area 3,MIX-Warm Area 3,34,MIX,3.63828888888909,0.6175298814624797,0.042928188034725,49.246485333333496,0.35223561388021496,0.37222794745672433,-387.3278677777776,0.5641388176508497,0.1789623140419844
MIX-Warm,Area 4,MIX-Warm Area 4,33,MIX,-66.27434666666676,0.6387603621614399,0.05499845430342225,-112.14153333333326,0.38253937356051493,0.5611041899465353,-476.15533277777774,0.5765578833140973,0.41477239668394295
MIX-Warm,Area 5,MIX-Warm Area 5,32,MIX,-0.6179511111111625,0.6167910687722948,0.061953306256528916,-9.317191999999972,0.35047454582238124,0.47300177832457696,-364.91019555555556,0.529605749798691,0.2596811159710084
MIX-Warm,Area 6,MIX-Warm Area 6,31,MIX,24.176462222221986,0.6757724378198157,0.05336963098418944,19.109669333333198,0.42767750305724256,0.46884301480953183,0.5054933333333281,0.614089908874661,0.23953559601101793
MIX-Warm,Area 7,MIX-Warm Area 7,38,MIX,-5.940595555555693,0.6769638094045338,0.06114266785708162,-25.162637333333503,0.42437729441259725,0.4706885278163456,-45.65577944444461,0.5701250045109016,0.34732332471930744
MIX-Warm,Area 8,MIX-Warm Area 8,37,MIX,-19.878724444444458,0.6372345881717545,0.05259398758870107,-155.81352266666653,0.3568559471518538,0.47481899433214764,-608.6432577777778,0.5610287434207544,0.3119991331976985
MIX-Warm,Area 9,MIX-Warm Area 9,34,MIX,4.665817777777718,0.6078847374657267,0.04837369644259687,-74.54960799999981,0.3390983188281559,0.45330153069533524,-519.6015133333333,0.5203132746674,0.3058190008676678
WT-Cold,Area 1,WT-Cold Area 1,29,WT,-8.133053333333212,0.6542120463333041,0.05825658203662063,-31.079607999999958,0.3911483717492102,0.3977572451494749,-120.64074388888884,0.6040669898888337,0.2759466788777947
WT-Cold,Area 10,WT-Cold Area 10,24,WT,-34.693453333333224,0.5533609220262894,0.016887158250050674,-121.79420533333332,0.31715005101346544,0.2650492001881491,-456.22696999999994,0.5259677985134243,0.10183374506865654
