Date,TimeStart,TimeEnd,Sample.ID,Well,SDR,Tank,Symbiont,Type,Salinity,Plate,Run,Volume,Org.Number,Notes
20230622,1420,1747,16,C4,710,NA,NA,Blank,33,4,2,0.00008,NA,
20230622,1420,1747,22,D4,710,WT2,WT,Sample,33,4,2,0.00008,5,
20230622,1420,1747,5,A5,710,NA,NA,Blank,33,4,2,0.00008,NA,
20230622,1420,1747,11,B5,710,MIX2,MIX,Sample,33,4,2,0.00008,5,
20230622,1420,1747,17,C5,710,C2,C,Sample,33,4,2,0.00008,5,
20230622,1420,1747,23,D5,710,WT2,WT,Sample,33,4,2,0.00008,5,
20230622,1420,1747,6,A6,710,WT2,WT,Sample,33,4,2,0.00008,5,
20230622,1420,1747,12,B6,710,MIX2,MIX,Sample,33,4,2,0.00008,5,
20230622,1420,1747,18,C6,710,C2,C,Sample,33,4,2,0.00008,5,
20230622,1420,1747,24,D6,710,MIX1,MIX,Sample,33,4,2,0.00008,5,
