sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
R57,197957,0.28112012648409423,0.27028921919029,0.06614483979744361,-0.048587838440311004,-0.01637153768928873,-0.02149514400514417,0.021285053101031605,0.0013409306765923567,0.00018228639033787797,-0.0,0.0,0.0,0.0
R61,197961,0.0017789561984375586,-0.022475834473045516,-0.017916338866264928,-0.10249094729027296,-0.05066129226380777,0.017473394081839306,-0.011475500697864693,-0.01224669256970965,-0.008037446133991709,-0.0,0.0,0.0,0.0
R62,197962,-0.27401252032612206,-0.0625647791356694,-0.06007018159081778,-0.029701728814272958,-0.02133214366312846,0.0183793681119976,0.021470800289709928,-0.006472707438163549,0.004612981096252766,-0.0,0.0,0.0,0.0
R63,197963,-0.24607825190659913,0.020133390110998437,-0.056890444753755744,-0.022257060505076046,0.061761514762516304,0.03670905141281399,0.03396264297395683,0.002359944228554628,-0.004258447532567343,-0.0,0.0,0.0,0.0
R64,197964,0.0469326903038938,-0.10166006321037216,0.08374301630777647,0.053217337513103015,0.011247705803556182,-0.03260950544515365,0.017793778267015798,-0.012306201351544817,-0.006474453762261006,-0.0,0.0,0.0,0.0
R65,197965,-0.3823745547456244,0.14287621802298228,-0.10907694103594075,0.029778588085137194,0.015876714332958827,-0.030449441431249648,-0.03269046742257566,0.00013944294604516708,0.0009964520530245343,-0.0,0.0,0.0,0.0
R66,197966,-0.09796445804629304,-0.09979676693044241,0.06530120465442665,-0.08812175969066224,0.0656707887109064,-0.03347165360780026,0.0003207489158679244,0.009064478016951738,0.007257665519100518,-0.0,0.0,0.0,0.0
R67,197967,0.12091431636683551,0.009135476525042246,0.028430462178631162,0.050868512046244235,-0.04595145963786315,0.04728815583339692,0.010840656122559269,0.016598149620130172,0.0057550037552826965,-0.0,0.0,0.0,0.0
R68,197968,0.20850823625080428,-0.0635451659433658,-0.041501165759284135,0.02512583690599814,0.0025021559805552636,-0.014179984411542345,-0.009353178308986555,0.03006064371219448,-0.007882804953158674,-0.0,0.0,0.0,0.0
R69,197969,0.39454635151255957,-0.047070925818766936,0.008157130116506484,-0.0459547705539188,0.01155443179927651,0.02618034736851614,-0.0427159263602674,-0.005700352864656592,0.002780448395600331,-0.0,0.0,0.0,0.0
R70,197970,-0.5351184446033561,0.008170601339672224,0.128302478801603,0.05274033002570421,-0.03111828292211519,0.010356597968988515,-0.020955040379324445,-0.00032730663899617403,-0.0006267619935422027,-0.0,0.0,0.0,0.0
R71,197971,0.158645272173257,-0.08431468362883884,-0.07882911478003791,0.03080377499556279,-0.06611155356441853,-0.04228404811903718,0.015005591980650435,-0.006342261522720892,0.004558643209435066,-0.0,0.0,0.0,0.0
R72,197972,0.323102280338114,0.030823313951516364,-0.01579494507028741,0.09457972572276467,0.0629329583508517,0.01810286224237424,-0.0034891584817748626,-0.01616806681468063,0.0011364339564795855,-0.0,0.0,0.0,0.0
proportion_explained,0,0.7817489398599335,0.10376854035190074,0.04698042837827004,0.03410824677347303,0.018208042016072998,0.008508187588325344,0.004906178644630789,0.0015178967575952434,0.00025353962979842267,0.0,0.0,0.0,0.0
