ID,File,Class,Height,Area
162,20240423_Mcap_pos_1,WT_3C,253439,2302785
162,20240423_Mcap_pos_10,B_3C,1878907,21157913
162,20240423_Mcap_pos_11,WT_3C,464148,3902663
162,20240423_Mcap_pos_12,B_0C,1425061,13857350
162,20240423_Mcap_pos_13,WT_6C,155135,1337794
162,20240423_Mcap_pos_14,B_3C,1834212,17540291
162,20240423_Mcap_pos_15,Blank,0,0
162,20240423_Mcap_pos_16,Blank,0,0
162,20240423_Mcap_pos_17,B_6C,2591383,28455523
162,20240423_Mcap_pos_18,B_6C,412089,3542521
162,20240423_Mcap_pos_19,Blank,0,0
162,20240423_Mcap_pos_2,Blank,0,0
162,20240423_Mcap_pos_20,Blank,0,0
162,20240423_Mcap_pos_21,WT_6C,745590,6386771
162,20240423_Mcap_pos_22,NB_3C,987171,8203282
162,20240423_Mcap_pos_23,WT_6C,169853,1370170
162,20240423_Mcap_pos_24,B_0C,1197592,10743939
162,20240423_Mcap_pos_25,Blank,0,0
162,20240423_Mcap_pos_26,NB_6C,1330823,11544147
162,20240423_Mcap_pos_27,B_3C,1405316,12575281
162,20240423_Mcap_pos_28,NB_3C,890791,7562263
162,20240423_Mcap_pos_29,Blank,0,0
162,20240423_Mcap_pos_3,NB_0C,1281273,11205465
162,20240423_Mcap_pos_30,NB_0C,380601,3158765
162,20240423_Mcap_pos_31,NB_3C,579095,4813285
162,20240423_Mcap_pos_32,NB_0C,1171898,10130420
162,20240423_Mcap_pos_33,NB_3C,1254666,11575493
162,20240423_Mcap_pos_34,B_0C,701208,5744020
162,20240423_Mcap_pos_35,WT_0C,484505,4051514
162,20240423_Mcap_pos_36,Blank,0,231
162,20240423_Mcap_pos_37,B_6C,2377274,24064166
162,20240423_Mcap_pos_38,NB_6C,1138146,9620093
162,20240423_Mcap_pos_39,NB_0C,1999516,20629798
162,20240423_Mcap_pos_4,WT_3C,388469,3269678
162,20240423_Mcap_pos_40,NB_3C,1412753,12584909
162,20240423_Mcap_pos_41,B_6C,2045089,21123897
162,20240423_Mcap_pos_42,B_3C,2504266,27946423
162,20240423_Mcap_pos_43,Blank,0,0
162,20240423_Mcap_pos_44,B_0C,2771566,32805174
162,20240423_Mcap_pos_45,NB_6C,1166306,9839901
162,20240423_Mcap_pos_46,WT_3C,820012,6998307
162,20240423_Mcap_pos_47,WT_0C,363724,3017066
162,20240423_Mcap_pos_48,NB_3C,1972984,18988688
162,20240423_Mcap_pos_49,WT_6C,1055790,9010953
162,20240423_Mcap_pos_5,B_6C,1252107,11845896
162,20240423_Mcap_pos_50,NB_6C,1079012,9292310
162,20240423_Mcap_pos_51,B_6C,2472701,27055823
162,20240423_Mcap_pos_52,WT_6C,421864,3492633
