"","Date","Sample.ID","Chamber.ID","SDR","Group","Temperature","Type","Salinity","Plate","Run","Volume","Org.Number","unique","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"1",20230625,1,"A1",641,"F1-NB",27,"Sample",33,1,1,8e-05,5,"1 - A1",1,191.634796440489,-0.135973303670735,-1.08778642936588e-05,-1.21837154102888e-05,1.30585111662997e-06,2.61170223325994e-07,0.000261170223325994,0.1
"2",20230625,1,"A1",641,"F1-NB",27,"Sample",33,1,1,8e-05,5,"1 - A1",2,177.00828427371,0.422901320528209,3.38321056422567e-05,-1.21837154102888e-05,4.60158210525455e-05,9.2031642105091e-06,0.0092031642105091,50
"3",20230625,1,"A1",641,"F1-NB",27,"Sample",33,1,1,8e-05,5,"1 - A1",3,174.248668368759,0.685332677104804,5.48266141683843e-05,-1.21837154102888e-05,6.70103295786731e-05,1.34020659157346e-05,0.0134020659157346,100
"4",20230625,1,"A1",641,"F1-NB",27,"Sample",33,1,1,8e-05,5,"1 - A1",4,104.664180061484,1.98890645586298,0.000159112516469038,-1.21837154102888e-05,0.000171296231879327,3.42592463758654e-05,0.0342592463758654,500
"5",20230625,1,"A1",641,"F1-NB",27,"Sample",33,1,1,8e-05,5,"1 - A1",5,354.085710131332,-2.22157973733584,-0.000177726378986867,-1.21837154102888e-05,-0.000165542663576578,-3.31085327153157e-05,-0.0331085327153157,0.2
"6",20230625,7,"B1",641,"F2-NB",27,"Sample",33,1,1,8e-05,5,"1 - B1",1,190.952758467023,-0.307005347593597,-2.45604278074878e-05,-1.21837154102888e-05,-1.2376712397199e-05,-2.4753424794398e-06,-0.0024753424794398,0.1
"7",20230625,7,"B1",641,"F2-NB",27,"Sample",33,1,1,8e-05,5,"1 - B1",2,192.006705446854,-0.194597567424643,-1.55678053939714e-05,-1.21837154102888e-05,-3.38408998368267e-06,-6.76817996736534e-07,-0.000676817996736534,50
"8",20230625,7,"B1",641,"F2-NB",27,"Sample",33,1,1,8e-05,5,"1 - B1",3,205.379318181818,-0.404090909090911,-3.23272727272729e-05,-1.21837154102888e-05,-2.01435573169841e-05,-4.02871146339682e-06,-0.00402871146339682,100
"9",20230625,7,"B1",641,"F2-NB",27,"Sample",33,1,1,8e-05,5,"1 - B1",4,110.49426742532,1.8148506401138,0.000145188051209104,-1.21837154102888e-05,0.000157371766619393,3.14743533238786e-05,0.0314743533238786,500
"10",20230625,7,"B1",641,"F2-NB",27,"Sample",33,1,1,8e-05,5,"1 - B1",5,366.167875041033,-2.48789145420724,-0.000199031316336579,-1.21837154102888e-05,-0.00018684760092629,-3.73695201852581e-05,-0.0373695201852581,0.2
