"","Date","Plate","Temp.C","Light"
"25","20230625","1",25.1612765957447,1
"24","20230625","1",25.7630158730159,2
"241","20230625","1",26.564406779661,3
"242","20230625","1",28.5227118644068,4
"243","20230625","1",28.4467647058824,5
"244","20230625","3",29.3914893617021,1
"245","20230625","3",30.2320634920635,2
"246","20230625","3",31.365593220339,3
"247","20230625","3",33.0383050847458,4
"248","20230625","3",33.8501960784314,5
"249","20230625","2",25.4363829787234,1
"2410","20230625","2",25.8885714285714,2
"2411","20230625","2",26.6479661016949,3
"2412","20230625","2",28.0693220338983,4
"2413","20230625","2",27.9802941176471,5
"2414","20230625","4",29.1617021276596,1
"2415","20230625","4",30.5085714285714,2
"2416","20230625","4",31.8620338983051,3
"2417","20230625","4",33.5054237288136,4
"2418","20230625","4",34.0982352941177,5
