sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
R57,200346,0.047680400207485964,0.12597827146462612,8.957771072327651e-05,0.0013670949657332385,0.0019205639828294133,0.0061474232445551755,0.0017349181175746998,0.0006434347591098646,-0.0005266079651079648,-0.0,0.0,0.0,0.0
R61,200350,-0.019850713136204474,0.0035337536658989034,-0.023561993414413302,-0.013530144377821816,-0.020680869553702314,0.003165144733957443,0.00803132089829718,-0.0073667749685117105,0.0014381371144097572,-0.0,0.0,0.0,0.0
R62,200351,-0.06001855485816086,-0.019896069078518205,-0.012440909704992934,0.0051029999264447885,-0.009318146559807755,-0.013687356674238912,0.008031439879107854,0.003974951183316126,-0.0017545603973295964,-0.0,0.0,0.0,0.0
R63,200352,-0.05786025351445563,0.010908606531484849,-0.04474193774965125,-0.010407577079003196,0.003235620637082106,-0.015869301860401506,-0.009951345962166916,0.001647543239148756,0.00140850493628089,-0.0,0.0,0.0,0.0
R64,200353,-0.030204363414962035,-0.017372637664326188,0.03462529397828835,0.01365388933102294,-0.0033362230764863612,0.0008669426934833632,-0.011766949600817998,-0.01249095856789136,0.00047111058979667613,-0.0,0.0,0.0,0.0
R65,200354,-0.07415084360150138,-0.027270364196392012,-0.03205694960389156,-0.003778574566703655,0.022251421786080812,0.02356305178354097,0.003938704338865862,-0.0014016903890655779,-0.00085756004021464,-0.0,0.0,0.0,0.0
R66,200355,-0.034069837466438616,-0.017037891546880513,0.028186904550283713,-0.012198912833147623,-0.02635211680738237,0.012826470456395475,-0.0019303879170459999,0.010634806057863948,0.0017895544621817272,-0.0,0.0,0.0,0.0
R67,200356,0.014281542473207343,-0.017717936486221893,0.031521146725278094,-0.014281804872318926,0.01534094523650367,-0.006451845346734591,0.0151370796912395,0.0003372533292832208,-0.0022367387840331464,-0.0,0.0,0.0,0.0
R68,200357,0.08472088129474174,-0.015162388879780482,0.0004394507480242246,0.02859612496213564,0.0063066481179540205,-0.0044239755713232284,0.013789646534672377,-0.0009958220273888607,0.003816729400595629,-0.0,0.0,0.0,0.0
R69,200358,0.13121772517520539,-0.022188303103530017,-0.01183878590858029,-0.02922885105391786,-0.017435074384715147,-0.00021088735560233573,-0.004476531353557634,-0.0029098900145528932,-0.002553559119674557,-0.0,0.0,0.0,0.0
R70,200359,-0.11382950426843425,0.028536566521001238,0.030336557765088815,-0.0030774702373444194,0.005156429510105915,-0.006747173670114028,-0.0023859657676784593,-0.00027889160767866425,-0.00040590699186631894,-0.0,0.0,0.0,0.0
R71,200360,0.03546822358403109,-0.013272926281808404,-0.00932461896207445,0.061766939141281174,-0.003481641502286857,0.002331318680912668,-0.007998916983185573,0.003912389363228682,-0.0020426135235076196,-0.0,0.0,0.0,0.0
R72,200361,0.07661529752548582,-0.019038680945553218,0.008766263865917261,-0.023983713306360403,0.026392442613824528,-0.0015098111144311683,-0.012153011875305292,0.004293649643137401,0.0014535103184689434,-0.0,0.0,0.0,0.0
proportion_explained,0,0.6022650467100074,0.19587066603709083,0.07739227358884036,0.06759814755112409,0.029627182587615274,0.012867641327823828,0.01017611517657657,0.0037735832800332362,0.00042934374088847617,0.0,0.0,0.0,0.0
