"","Date","Plate","Temp.C","Light"
"25","20230624","1",29.0510126582278,1
"24","20230624","1",29.1469014084507,2
"241","20230624","1",28.5945,3
"242","20230624","3",31.8470886075949,1
"243","20230624","3",33.4205633802817,2
"244","20230624","3",33.575,3
"245","20230624","5",29.9010126582278,1
"246","20230624","5",31.7239436619718,2
"247","20230624","5",32.0978571428571,3
"248","20230624","7",26.4829113924051,1
"249","20230624","7",26.7239436619718,2
"2410","20230624","7",26.3753846153846,3
"2411","20230624","2",28.9892405063291,1
"2412","20230624","2",28.9925352112676,2
"2413","20230624","2",28.40225,3
"2414","20230624","4",31.7829113924051,1
"2415","20230624","4",33.9884507042254,2
"2416","20230624","4",34.2276923076923,3
"2417","20230624","6",29.7845569620253,1
"2418","20230624","6",31.5523943661972,2
"2419","20230624","6",31.8961904761905,3
"2420","20230624","8",26.3486075949367,1
"2421","20230624","8",26.7398591549296,2
"2422","20230624","8",26.3446153846154,3
