"","Date","SDR","Run","Plate","Well","Light_Level","Light_Value","IntervalStart","IntervalStop","Slope","Intercept","unique","Type","Symbiont","Temperature","Volume","Org.Number","umol.min","code","Blank.umol.min","umol.min.corr","umol.org.min","nmol.org.min"
"21",20230624,641,1,1,"D6",1,100,6,24,0.0938121683327172,244.71692706405,"20230624 641 1 1 D6","Sample","C",27,8e-05,5,7.50497346661738e-06,"1_1",-6.42310913653378e-05,7.17360648319552e-05,1.4347212966391e-05,0.014347212966391
"22",20230624,641,1,1,"A1",2,500,26,42,1.63089510489511,207.278335664336,"20230624 641 1 1 A1","Sample","WT",27,8e-05,5,0.000130471608391608,"1_2",-5.73179020979021e-05,0.000187789510489511,3.75579020979021e-05,0.0375579020979021
"23",20230624,641,1,1,"B1",2,500,26,42,0.689036713286715,205.34829020979,"20230624 641 1 1 B1","Sample","MIX",27,8e-05,5,5.51229370629372e-05,"1_2",-5.73179020979021e-05,0.000112440839160839,2.24881678321679e-05,0.0224881678321679
"24",20230624,641,1,1,"D1",2,500,26,42,1.5175815018315,205.048,"20230624 641 1 1 D1","Sample","C",27,8e-05,5,0.00012140652014652,"1_2",-5.73179020979021e-05,0.000178724422244422,3.57448844488844e-05,0.0357448844488844
"25",20230624,641,1,1,"B2",2,500,26,42,0.197015734265734,260.444234265734,"20230624 641 1 1 B2","Sample","C",27,8e-05,5,1.57612587412587e-05,"1_2",-5.73179020979021e-05,7.30791608391608e-05,1.46158321678322e-05,0.0146158321678322
"26",20230624,641,1,1,"C2",2,500,26,42,-0.192035959809622,261.634680063458,"20230624 641 1 1 C2","Sample","MIX",27,8e-05,5,-1.53628767847698e-05,"1_2",-5.73179020979021e-05,4.19550253131323e-05,8.39100506262646e-06,0.00839100506262646
"27",20230624,641,1,1,"D2",2,500,26,42,0.622643356643354,238.171664335665,"20230624 641 1 1 D2","Sample","WT",27,8e-05,5,4.98114685314683e-05,"1_2",-5.73179020979021e-05,0.00010712937062937,2.14258741258741e-05,0.0214258741258741
"28",20230624,641,1,1,"A3",2,500,26,42,0.182438811188815,250.424003496503,"20230624 641 1 1 A3","Sample","MIX",27,8e-05,5,1.45951048951052e-05,"1_2",-5.73179020979021e-05,7.19130069930072e-05,1.43826013986014e-05,0.0143826013986014
"29",20230624,641,1,1,"B3",2,500,26,42,1.33172377622378,215.795545454546,"20230624 641 1 1 B3","Sample","C",27,8e-05,5,0.000106537902097902,"1_2",-5.73179020979021e-05,0.000163855804195804,3.27711608391608e-05,0.0327711608391608
"30",20230624,641,1,1,"C3",2,500,26,42,1.29420104895104,229.522548951049,"20230624 641 1 1 C3","Sample","WT",27,8e-05,5,0.000103536083916083,"1_2",-5.73179020979021e-05,0.000160853986013985,3.21707972027971e-05,0.0321707972027971
"31",20230624,641,1,1,"D3",2,500,26,42,1.06940909090909,203.311167832168,"20230624 641 1 1 D3","Sample","MIX",27,8e-05,5,8.55527272727276e-05,"1_2",-5.73179020979021e-05,0.00014287062937063,2.85741258741259e-05,0.0285741258741259
"32",20230624,641,1,1,"A4",2,500,26,42,1.41722161172161,202.29005540293,"20230624 641 1 1 A4","Sample","WT",27,8e-05,5,0.000113377728937729,"1_2",-5.73179020979021e-05,0.000170695631035631,3.41391262071262e-05,0.0341391262071262
"33",20230624,641,1,1,"B4",2,500,26,42,0.0559685314685349,244.409685314685,"20230624 641 1 1 B4","Sample","WT",27,8e-05,5,4.4774825174828e-06,"1_2",-5.73179020979021e-05,6.17953846153849e-05,1.2359076923077e-05,0.012359076923077
"34",20230624,641,1,1,"C4",2,500,26,42,0.661493006993006,220.393545454546,"20230624 641 1 1 C4","Sample","MIX",27,8e-05,5,5.29194405594405e-05,"1_2",-5.73179020979021e-05,0.000110237342657343,2.20474685314685e-05,0.0220474685314685
"35",20230624,641,1,1,"D4",2,500,26,42,0.576582167832163,237.002052447553,"20230624 641 1 1 D4","Sample","WT",27,8e-05,5,4.6126573426573e-05,"1_2",-5.73179020979021e-05,0.000103444475524475,2.0688895104895e-05,0.020688895104895
"36",20230624,641,1,1,"A5",2,500,26,42,-0.286576923076925,250.215918269231,"20230624 641 1 1 A5","Sample","C",27,8e-05,5,-2.2926153846154e-05,"1_2",-5.73179020979021e-05,3.43917482517481e-05,6.87834965034962e-06,0.00687834965034962
"37",20230624,641,1,1,"B5",2,500,26,42,0.28109265734266,230.069465034965,"20230624 641 1 1 B5","Sample","WT",27,8e-05,5,2.24874125874128e-05,"1_2",-5.73179020979021e-05,7.98053146853149e-05,1.5961062937063e-05,0.015961062937063
"38",20230624,641,1,1,"D5",2,500,26,42,0.35021503496503,249.180227272728,"20230624 641 1 1 D5","Sample","C",27,8e-05,5,2.80172027972024e-05,"1_2",-5.73179020979021e-05,8.53351048951045e-05,1.70670209790209e-05,0.0170670209790209
"39",20230624,641,1,1,"A6",2,500,26,42,0.448192307692306,226.181307692308,"20230624 641 1 1 A6","Sample","MIX",27,8e-05,5,3.58553846153845e-05,"1_2",-5.73179020979021e-05,9.31732867132865e-05,1.86346573426573e-05,0.0186346573426573
"40",20230624,641,1,1,"B6",2,500,26,42,0.509784965034968,252.962849650349,"20230624 641 1 1 B6","Sample","C",27,8e-05,5,4.07827972027975e-05,"1_2",-5.73179020979021e-05,9.81006993006995e-05,1.96201398601399e-05,0.0196201398601399
"41",20230624,641,1,1,"C6",2,500,26,42,0.128575174825177,257.773367132867,"20230624 641 1 1 C6","Sample","MIX",27,8e-05,5,1.02860139860141e-05,"1_2",-5.73179020979021e-05,6.76039160839162e-05,1.35207832167832e-05,0.0135207832167832
