Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum
746,0.859,225.16470,FA 14:1,[M-H]-,null,0.61,True,4.660,225.18600,C14H26O2,FA,YWWVWXASSLXJHU-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,746,0,0.00,0.91,0.28,0.36,0.75,1.00,2.00,2.20,52.04,20240423_Mcap_neg_57,225.16460:2439109 226.16926:0 227.17393:0,65.03840:4788 68.65091:2153 70.71667:16642 79.95591:4974 80.96393:6118 93.03350:4303 96.95886:6697 97.87331:2066 115.05424:5926 121.19578:2713 134.02573:2317 141.07047:3150 188.19073:2734 225.16432:25272
747,1.180,225.16484,FA 14:1,[M-H]-,null,0.65,True,4.660,225.18600,C14H26O2,FA,YWWVWXASSLXJHU-UHFFFAOYSA-N,O=C(O)CCCCCCCC=CCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,747,0,0.00,0.91,0.23,0.32,0.75,1.00,2.00,2.18,9.76,20240423_Mcap_neg_33,225.16484:377158 226.16951:0 227.17418:0,68.08140:2811 72.20612:3452 73.62962:2291 92.62421:2455 112.71190:2159 112.81614:2141 128.59447:2234 225.16487:5226
862,2.587,227.20154,FA 14:0,[M-H]-,null,0.96,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,862,0,0.00,1.00,0.75,0.66,0.75,1.00,2.00,2.41,132.58,20240423_Mcap_neg_10,227.20149:4261200 228.20616:626519 229.21083:47305,68.99442:5705 71.80221:4809 84.17894:2210 104.02532:10846 117.20251:2842 193.32755:2754 227.20126:89823
870,8.009,227.20161,FA 14:0,[M-H]-,null,0.83,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,870,0,0.00,1.00,0.22,0.34,0.75,1.00,2.00,2.23,33.54,20240423_Mcap_neg_4,227.20137:1148573 228.20604:252702 229.21071:0,51.58915:2157 52.81211:2349 57.03336:4391 68.99458:73854 71.21557:2011 77.04745:2261 87.18888:2395 110.71721:2006 112.98452:16700 147.01479:1998 227.20113:30509
878,8.089,227.20166,FA 14:0,[M-H]-,null,0.15,True,5.300,227.20171,C14H28O2,FA,TUNFSRHWOTWDNC-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,878,0,0.00,1.00,0.20,0.29,0.75,1.00,2.00,2.21,34.95,20240423_Mcap_neg_18,227.20166:1117204 228.20633:231786 229.21100:0,57.03336:5428 59.01281:2626 68.99464:71274 112.98457:16562 173.07390:2398 174.27628:2109 213.11861:2376 227.20107:25965 227.87973:3207
1020,0.857,233.11844,FA 15:4,[M-H]-,null,1.00,True,4.330,233.15469,C15H22O2,FA,VYNPFWKAZJBFBM-UHFFFAOYSA-N,O=C(O)CC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1020,0,0.00,0.77,0.32,0.41,0.75,1.00,2.00,2.15,24438.39,20240423_Mcap_neg_2,233.11824:373734 234.12291:49847 235.12758:163008,54.27295:2084 59.01266:3204 69.45489:1924 72.20432:4077 72.21217:3195 75.00745:2458 79.95615:2583 91.67094:2736 121.10078:3504 130.10724:2147 142.10431:2186 233.15456:13874
1256,1.167,239.05989,RIKEN N-VS1 ID-248 from Mouse_Liver_WT_N_F1AA,[M-H]-,null,0.96,True,9.670,239.06090,null,Unknown,null,null,430,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1256,0,0.00,1.00,0.57,0.67,0.94,4.00,1.00,1.63,9.93,20240423_Mcap_neg_PBQC5,239.05989:362912 240.06456:40060 241.06923:20125,55.16082:2165 59.96608:7036 70.76920:5354 70.77354:11826 74.98978:25359 81.95218:4731 91.02107:10797 93.00040:29529 104.34666:2215 124.43580:2786 149.00908:11174 157.86240:2105 206.99745:3943 216.65254:2171 223.02811:52327 223.04860:4052
1349,8.096,241.21739,FA 15:0,[M-H]-,null,0.14,True,5.960,241.21730,C15H30O2,FA,WQEPLUUGTLDZJY-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1349,0,0.00,1.00,0.48,0.51,0.75,1.00,2.00,2.32,28.73,20240423_Mcap_neg_15,241.21733:664792 242.22200:66656 243.22667:0,57.03329:3107 59.01281:3198 71.78598:6834 97.64304:2182 99.95185:2706 117.88914:2038 200.41170:2224 232.81670:2847 241.21695:23600
1350,9.403,241.21741,FA 15:0,[M-H]-,null,0.83,True,5.960,241.21730,C15H30O2,FA,WQEPLUUGTLDZJY-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1350,0,0.00,1.00,0.66,0.65,0.75,1.00,2.00,2.39,27.88,20240423_Mcap_neg_32,241.21756:798788 242.22223:131461 243.22690:0,64.65273:2069 71.82938:3900 71.83276:3312 79.28049:1988 241.21745:21556
1352,9.488,241.21744,FA 15:0,[M-H]-,null,0.15,True,5.960,241.21730,C15H30O2,FA,WQEPLUUGTLDZJY-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCC,410,False,True,True,Normalized unit: nmol_per_microL_plasma; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,1352,0,0.00,1.00,0.58,0.54,0.75,1.00,2.00,2.35,28.94,20240423_Mcap_neg_7,241.21730:831093 242.22197:118628 243.22664:0,66.52815:2274 72.21817:4751 145.16698:2317 163.14633:2143 235.05493:2462 241.21648:18945
