ID,File,Class,Height,Area
1020,20240423_Mcap_neg_51,B_6C,1245414692,9932236121
1020,20240423_Mcap_neg_52,WT_6C,1076325021,8094937521
1020,20240423_Mcap_neg_53,NB_6C,932255691,7220394711
1020,20240423_Mcap_neg_54,WT_0C,1065567612,8430640691
1020,20240423_Mcap_neg_55,B_0C,1201318561,9310677558
1020,20240423_Mcap_neg_56,WT_3C,946448130,7474592191
1020,20240423_Mcap_neg_57,NB_0C,962332289,7867019428
1020,20240423_Mcap_neg_58,NB_6C,738708674,5387931131
1020,20240423_Mcap_neg_59,WT_0C,1566561236,12389311449
1020,20240423_Mcap_neg_6,NB_0C,1292560310,9288606979
1020,20240423_Mcap_neg_60,B_3C,683292245,5273584850
1020,20240423_Mcap_neg_61,B_0C,616444390,4654531343
1020,20240423_Mcap_neg_62,WT_0C,1079217652,8213479410
1020,20240423_Mcap_neg_63,WT_6C,1095198787,8515564768
1020,20240423_Mcap_neg_7,WT_3C,1060888402,7728590647
1020,20240423_Mcap_neg_8,B_3C,969672953,7607350223
1020,20240423_Mcap_neg_9,WT_0C,1251793910,9653788002
1020,20240423_Mcap_neg_PBQC1_10,PBQC,982445526,7301669207
1020,20240423_Mcap_neg_PBQC1_20,PBQC,1642894310,12373281752
1020,20240423_Mcap_neg_PBQC1_5,PBQC,458710824,4069728489
1020,20240423_Mcap_neg_PBQC2,PBQC,979076620,7453891963
1020,20240423_Mcap_neg_PBQC3,PBQC,1012802326,7619669972
1020,20240423_Mcap_neg_PBQC4,PBQC,1034500055,7579185807
1020,20240423_Mcap_neg_PBQC5,PBQC,1018343749,7793607195
1020,20240423_Mcap_neg_PBQC6,PBQC,987133681,7686605825
1020,20240423_Mcap_neg_PBQC7,PBQC,1025349874,7838780216
1419,20240423_Mcap_neg_1,WT_3C,1586038,8617989
1419,20240423_Mcap_neg_10,B_3C,850159,4920539
1419,20240423_Mcap_neg_11,WT_3C,2374166,14256433
1419,20240423_Mcap_neg_12,B_0C,8057575,51489482
1419,20240423_Mcap_neg_13,WT_6C,2295284,13931563
1419,20240423_Mcap_neg_14,B_3C,9892349,63770256
1419,20240423_Mcap_neg_15,Blank,54877,292063
1419,20240423_Mcap_neg_16,Blank,50354,337926
1419,20240423_Mcap_neg_17,B_6C,10545277,68476293
1419,20240423_Mcap_neg_18,B_6C,4186384,27647139
1419,20240423_Mcap_neg_19,Blank,50248,323019
1419,20240423_Mcap_neg_2,Blank,52160,330955
1419,20240423_Mcap_neg_20,Blank,51407,346020
1419,20240423_Mcap_neg_21,WT_6C,1719687,10784090
1419,20240423_Mcap_neg_22,NB_3C,8529194,53981760
1419,20240423_Mcap_neg_23,WT_6C,1843250,11701418
1419,20240423_Mcap_neg_24,B_0C,6618761,42091249
1419,20240423_Mcap_neg_25,Blank,43253,239518
1419,20240423_Mcap_neg_26,NB_6C,6428010,40407299
1419,20240423_Mcap_neg_27,B_3C,6451400,40357734
1419,20240423_Mcap_neg_28,NB_3C,5194783,32485651
1419,20240423_Mcap_neg_29,Blank,58562,407092
1419,20240423_Mcap_neg_3,NB_0C,3417810,18852371
1419,20240423_Mcap_neg_30,NB_0C,5771949,35764877
1419,20240423_Mcap_neg_31,NB_3C,4262242,27794584
1419,20240423_Mcap_neg_32,NB_0C,4633513,29077606
1419,20240423_Mcap_neg_33,NB_3C,14400694,87363070
1419,20240423_Mcap_neg_34,B_0C,4558974,26080246
1419,20240423_Mcap_neg_35,WT_0C,3076555,18161550
1419,20240423_Mcap_neg_36,Blank,48473,314101
1419,20240423_Mcap_neg_37,B_6C,7432480,46648178
1419,20240423_Mcap_neg_38,NB_6C,6930438,44779048
1419,20240423_Mcap_neg_39,NB_0C,10531517,64498049
1419,20240423_Mcap_neg_4,WT_3C,2982042,18219967
1419,20240423_Mcap_neg_40,NB_3C,7340302,44858301
1419,20240423_Mcap_neg_41,B_6C,3966308,23750553
1419,20240423_Mcap_neg_42,B_3C,11680366,73759169
1419,20240423_Mcap_neg_43,Blank,5097,16970
1419,20240423_Mcap_neg_44,B_0C,8751970,56714341
1419,20240423_Mcap_neg_45,NB_6C,8908571,56365248
1419,20240423_Mcap_neg_46,WT_3C,3976746,24730872
1419,20240423_Mcap_neg_47,WT_0C,3036235,18698555
1419,20240423_Mcap_neg_48,NB_3C,6773480,40672274
1419,20240423_Mcap_neg_49,WT_6C,2754123,16659861
1419,20240423_Mcap_neg_5,B_6C,7087893,41759060
1419,20240423_Mcap_neg_50,NB_6C,7564947,49146063
1419,20240423_Mcap_neg_51,B_6C,11663472,74062542
1419,20240423_Mcap_neg_52,WT_6C,2437591,15018874
1419,20240423_Mcap_neg_53,NB_6C,8865986,55485808
1419,20240423_Mcap_neg_54,WT_0C,5282019,34413196
1419,20240423_Mcap_neg_55,B_0C,10765398,67079767
1419,20240423_Mcap_neg_56,WT_3C,3854452,24391302
1419,20240423_Mcap_neg_57,NB_0C,10883804,65218197
1419,20240423_Mcap_neg_58,NB_6C,1965904,11684024
1419,20240423_Mcap_neg_59,WT_0C,7800121,49233338
1419,20240423_Mcap_neg_6,NB_0C,7446553,45188731
1419,20240423_Mcap_neg_60,B_3C,2263415,12596140
1419,20240423_Mcap_neg_61,B_0C,3588083,21980917
1419,20240423_Mcap_neg_62,WT_0C,5977503,37163607
1419,20240423_Mcap_neg_63,WT_6C,4511123,29439734
1419,20240423_Mcap_neg_7,WT_3C,3988974,23989651
1419,20240423_Mcap_neg_8,B_3C,6343443,40981071
1419,20240423_Mcap_neg_9,WT_0C,5420605,33831840
1419,20240423_Mcap_neg_PBQC1_10,PBQC,5081827,30853623
1419,20240423_Mcap_neg_PBQC1_20,PBQC,10299754,64726277
1419,20240423_Mcap_neg_PBQC1_5,PBQC,329698,1795378
1419,20240423_Mcap_neg_PBQC2,PBQC,5544411,34656978
1419,20240423_Mcap_neg_PBQC3,PBQC,5613885,34658821
1419,20240423_Mcap_neg_PBQC4,PBQC,5446078,32809202
1419,20240423_Mcap_neg_PBQC5,PBQC,5646644,36047684
