Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum
3905,2.226,301.21793,FA 20:5,[M-H]-,null,0.89,True,5.690,301.21729,C20H30O2,FA,JAZBEHYOTPTENJ-UHFFFAOYSA-N,O=C(O)CCCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,3905,0,0.00,1.00,0.14,0.27,0.75,1.00,2.00,2.19,126.48,20240423_Mcap_neg_PBQC2,301.21777:1382996 302.22244:290588 303.22711:32608,56.81856:2313 57.13773:2166 59.01264:10096 103.44675:2287 187.92970:3370 301.21869:3177
4022,3.595,305.24893,FA 20:3,[M-H]-,null,0.93,True,6.410,305.24860,C20H34O2,FA,AHANXAKGNAKFSK-UHFFFAOYSA-N,O=C(O)CCCCCCCCCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4022,0,0.00,1.00,0.69,0.66,0.75,1.00,2.00,2.40,834.43,20240423_Mcap_neg_33,305.24915:3137324 306.25381:665360 307.25848:68936,52.48255:2130 59.01287:11332 66.56635:2314 71.01243:4050 72.21061:3868 73.13136:2633 102.53285:2254 107.26596:2759 168.38315:2424 223.46642:2557 305.24881:79846
4194,1.059,311.22308,FA 18:2;O2,[M-H]-,null,0.28,True,5.230,311.22281,C18H32O4,OxFA,NMONGVDUESEHOK-UHFFFAOYSA-N,O=C(O)CCCCCC(O)C(O)C=CCC=CCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4194,0,0.00,1.00,0.06,0.07,0.75,1.00,2.00,2.14,15.81,20240423_Mcap_neg_46,311.22308:360507 312.22775:27513 313.23242:97045,57.03341:2570 57.64118:2138 59.36845:2101 62.81364:2270 70.86509:4685 70.86931:9665 72.12836:2499 178.74191:2791 183.01137:4935 211.13440:2568 257.85611:2997 267.19785:12266 293.21124:2810 311.16907:6405 311.22260:3709
4685,0.856,325.18454,Dodecylbenzenesulfonic acid,[M-H]-,null,1.00,True,5.363,325.18430,C18H30O3S,Others,KWXICGTUELOLSQ-UHFFFAOYSA-N,CCCCCCCCCCCCC1=CC=C(C=C1)S(O)(=O)=O,430,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4685,0,0.00,1.00,0.94,0.86,0.86,12.00,0.92,1.84,9012.60,20240423_Mcap_neg_14,325.18451:382728832 326.18918:79307280 327.19384:7152224,59.01269:15498 59.74552:31480 63.96131:19287 72.17009:9917 78.95802:10875 79.95611:2170975 80.96391:112679 80.96859:6849 81.23533:5533 83.01202:5691 84.22139:6278 88.82730:4620 91.05424:6438 93.03345:29823 95.01270:30477 96.95901:14374 117.03468:7644 119.04927:4900560 132.05699:7340 133.06506:181694 147.08041:14581 155.98756:93592 158.97411:10890 170.00365:1046559 175.11252:11356 180.99811:10537 183.01154:29430534 184.01924:1364707 195.01218:89741 196.01984:127116 197.02719:1854719 198.03522:327417 199.00537:32217 201.99353:19860 209.02802:13339 211.02553:6938 211.04272:182621 212.05151:124149 216.00961:164374 225.05872:362923 226.06738:78429 230.02579:46371 239.07457:409594 240.08087:48122 244.03976:11256 253.09050:148108 254.09839:23181 261.22250:177318 267.10718:54896 281.12134:33937 295.13596:21789 325.18427:23380226
4773,2.573,327.23355,FA 22:6,[M-H]-,null,0.88,True,5.950,327.23300,C22H32O2,FA,MBMBGCFOFBJSGT-UHFFFAOYSA-N,O=C(O)CCC=CCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4773,0,0.00,1.00,0.09,0.19,0.75,1.00,2.00,2.17,174.74,20240423_Mcap_neg_4,327.23318:2915466 328.23785:662196 329.24252:81501,59.01270:16835 71.21456:5843 71.21875:5333 82.83750:2277 90.32868:2290 126.70156:2588 209.40997:2279 283.24176:3226 327.23312:4184
4861,3.271,329.24924,FA 22:5,[M-H]-,null,0.89,True,6.170,329.24860,C22H34O2,FA,YUFFSWGQGVEMMI-UHFFFAOYSA-N,O=C(O)CCCCCC=CCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4861,0,0.00,1.00,0.33,0.51,0.75,1.00,2.00,2.29,101.40,20240423_Mcap_neg_24,329.24911:1345321 330.25378:316614 331.25845:74418,51.74845:2375 53.34221:2354 54.06495:2112 59.01254:4093 72.00467:4874 173.21207:2540 329.24924:9129
4907,3.834,331.26495,FA 22:4,[M-H]-,null,0.89,True,6.570,331.26431,C22H36O2,FA,IGFLWIHPPADNDL-UHFFFAOYSA-N,O=C(O)CCCCCCCCC=CCC=CCC=CCC=CCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4907,0,0.00,1.00,0.69,0.63,0.75,1.00,2.00,2.39,130.49,20240423_Mcap_neg_39,331.26480:5241730 332.26947:1243962 333.27414:141514,59.01282:15301 71.01305:3458 97.46223:6105 287.27481:5145 313.25659:5083 331.26474:77268
4994,4.271,333.28033,FA 22:3,[M-H]-,null,0.86,True,6.940,333.27991,C22H38O2,FA,RILVNGKQIULBOQ-UHFFFAOYSA-N,O=C(O)CCCCCCCCC=CCC=CCC=CCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,4994,0,0.00,1.00,0.60,0.61,0.75,1.00,2.00,2.37,40.54,20240423_Mcap_neg_28,333.28073:317465 334.28540:95326 335.29007:10639,58.23853:2319 61.70357:2536 146.23805:2590 214.15758:2361 333.28073:14849
5169,0.858,339.20007,Norethisterone acetate,[M-H]-,null,1.00,True,5.669,339.19656,C22H28O3,Others,IMONTRJLAWHYGT-ZCPXKWAGSA-N,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,430,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,5169,0,0.00,1.00,0.94,0.87,0.86,12.00,1.00,1.90,6205.60,20240423_Mcap_neg_48,339.20013:91979896 340.20480:19195156 341.20947:1875435,71.84748:101331 79.95607:421118 119.04927:926918 133.06465:66741 170.00386:319401 183.01158:7962268 184.01926:285475 197.02721:497584 198.03522:74288 211.04315:67656 212.05161:72790 225.05986:95438 239.07437:50178 253.08810:42366 297.24261:50298 339.20001:7312332
6099,7.598,367.35852,FA 24:0,[M-H]-,null,0.97,True,8.500,367.35818,C24H48O2,FA,QZZGJDVWLFXDLK-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCCCCCCCCCCCC,410,False,True,True,Normalized unit: Intensity; Annotation method: Msp20240227103228_conventional_converted_dev_1; Tag: Confirmed,False,False,6099,0,0.00,1.00,0.94,0.74,0.75,1.00,2.00,2.47,116.35,20240423_Mcap_neg_54,367.35852:4286618 368.36319:1023679 369.36786:136564,78.24143:2425 85.56892:2867 90.50890:2408 110.91942:2276 129.87682:2863 219.92249:2819 367.35806:257023
