Measurement Name :,20230622_SDR710_Run02_Plate04_PI,,Generated On :,"22/06/2023, 17:48:24",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
22.06.23 14:25:00,4.53,186.48,194.33,187.68,189.44,188.27,197.57,198.42,197.88,194.6,189.55,202.7,199.01,196.1,193.86,189.18,191.9,189.02,196.04,202.71,193.29,200.11,200.39,198.66,198.52,,25,965,33,24.96,
22.06.23 14:25:15,4.78,187.34,192.9,186.87,187.26,187.13,197.85,197.28,197.03,194.89,189.27,200.7,198.16,194.39,192.16,189.18,189.09,188.46,194.31,202.12,194.17,200.68,200.1,202.13,198.52,,25,965,33,24.98,
22.06.23 14:25:30,5.03,187.05,193.19,186.87,187.81,186.27,198.14,196.71,196.47,194.03,188.42,202.7,197.88,196.67,192.73,188.9,189.93,188.74,194.31,200.08,194.46,201.55,199.53,201.84,197.69,,25,965,33,24.98,
22.06.23 14:25:45,5.28,187.34,192.61,187.95,185.36,185.99,199.56,195.86,194.22,191.74,187.01,201.27,198.16,194.96,192.16,188.06,190.49,188.46,194.6,197.17,194.46,200.39,197.8,199.53,197.69,,25,965,33,24.98,
22.06.23 14:26:00,5.53,187.05,190.9,187.14,184.82,184.29,198.71,193.88,194.78,191.45,188.14,200.7,199.29,194.67,191.88,188.62,190.49,189.02,194.88,196.3,194.46,201.26,196.94,198.95,196.58,,25,965,33,24.98,
22.06.23 14:26:15,5.78,187.34,190.9,187.68,185.36,184,198.42,192.75,193.94,190.31,188.14,200.7,197.59,194.39,191.03,188.06,190.21,189.02,193.45,197.75,193.59,200.97,198.09,196.94,196.86,,25,965,33,24.98,
22.06.23 14:26:30,6.03,187.34,191.47,187.14,184.28,182.87,199.28,192.75,194.5,189.17,187.86,201.27,199.01,194.67,191.03,188.62,191.05,187.62,192.3,196.01,194.17,201.26,196.07,197.8,198.8,,25,965,33,24.99,
22.06.23 14:26:45,6.28,187.63,191.76,187.41,183.47,183.72,199.28,191.62,193.94,189.45,187.86,198.98,199.01,194.67,189.62,188.34,189.93,189.87,191.15,196.88,193.88,200.68,193.78,197.51,197.13,,25,965,33,24.99,
22.06.23 14:27:00,6.53,186.77,191.47,187.14,183.2,182.59,198.42,191.62,193.38,186.32,186.73,200.41,199.57,194.39,191.31,188.9,190.21,188.46,190.01,195.43,194.17,200.39,194.07,197.8,195.75,,25,965,33,24.99,
22.06.23 14:27:15,6.78,187.63,190.9,186.07,182.66,183.43,199.85,192.75,193.38,186.89,186.73,198.69,199.57,194.96,190.75,188.34,190.21,189.31,188.87,195.43,194.76,201.55,194.64,196.65,197.13,,25,965,33,24.99,
22.06.23 14:27:30,7.03,187.05,190.9,187.14,183.2,184.29,198.99,191.05,193.38,187.74,188.42,198.12,199.01,194.96,191.03,188.9,189.37,188.18,188.87,196.01,193.29,200.39,194.93,196.94,197.96,,25,965,33,25,
22.06.23 14:27:45,7.28,187.05,190.33,186.34,182.12,183.15,197.29,191.62,192.82,186.89,187.01,197.55,199.29,194.39,190.75,188.34,189.37,188.74,191.73,195.14,194.17,199.53,194.64,196.36,198.52,,25,965,33,24.99,
22.06.23 14:28:00,7.53,187.34,189.76,186.07,182.66,185.14,197.85,191.62,194.22,187.17,188.14,198.41,200.43,193.25,192.16,188.62,189.93,188.74,191.73,194.85,193,200.97,194.36,194.64,197.69,,25,965,33,25,
22.06.23 14:28:15,7.78,186.77,189.19,186.34,182.12,186.27,198.14,191.62,192.82,188.31,187.57,199.84,199.29,193.53,191.88,187.78,189.09,188.46,193.73,195.14,194.76,201.84,195.5,195.5,194.92,,25,965,33,25.02,
22.06.23 14:28:30,8.03,187.63,189.76,186.87,182.66,186.84,198.14,191.34,194.22,190.02,188.14,197.84,201.56,194.1,188.78,188.62,188.81,188.74,193.16,194.85,193.29,201.26,196.94,198.37,193.82,,25,965,33,25,
22.06.23 14:28:45,8.28,187.63,189.19,186.07,183.2,186.27,198.42,192.18,193.66,190.59,188.42,197.84,201.56,193.25,188.5,188.34,188.53,189.02,192.01,195.72,192.42,200.97,194.93,196.07,191.07,,25,965,33,25,
22.06.23 14:29:00,8.53,187.63,189.48,185.26,184.55,186.56,197.29,190.49,191.42,190.02,188.14,198.41,200.14,193.25,189.91,188.9,187.69,188.18,187.73,195.14,193.59,199.53,194.64,197.51,191.62,,25,965,33,25.03,
22.06.23 14:29:15,8.78,187.34,188.62,185.53,185.9,185.99,197,191.34,191.98,190.31,187.29,198.12,198.44,192.96,188.22,188.9,186.57,188.74,188.3,195.43,194.17,200.97,193.5,196.36,189.98,,25,965,33,25,
22.06.23 14:29:30,9.03,187.34,188.91,184.99,187.26,184.57,196.15,190.77,191.14,190.88,186.73,198.69,196.46,191.83,188.22,188.34,188.25,189.02,185.45,195.72,193.29,199.24,194.93,194.64,191.35,,25,965,33,25.03,
22.06.23 14:29:45,9.28,187.05,189.19,185.8,188.08,182.59,195.3,191.9,191.7,189.74,186.45,197.84,197.03,193.25,187.66,188.9,187.41,189.02,184.32,194.56,193.88,199.53,196.07,195.21,191.9,,25,965,33,25.03,
22.06.23 14:30:00,9.53,187.34,188.91,185.53,186.45,184.29,194.17,192.75,191.98,189.74,186.16,197.27,196.46,192.4,187.38,188.9,188.53,189.59,185.45,195.14,193,199.53,194.93,195.5,192.99,,25,965,33,25.03,
22.06.23 14:30:15,9.78,187.34,188.62,186.07,186.72,181.74,196.15,192.18,192.82,190.59,187.01,197.55,196.46,191.54,189.06,188.62,188.53,188.18,185.74,195.14,193.29,199.82,194.93,196.07,194.37,,25,965,33,25.03,
22.06.23 14:30:30,10.03,187.91,190.05,186.6,185.09,182.3,196.44,192.46,192.54,191.45,187.01,196.98,196.75,191.83,187.94,188.9,187.13,187.9,187.16,199.49,193.59,200.68,193.78,194.93,192.99,,25,965,33,25.03,
22.06.23 14:30:46,10.3,187.91,187.49,185.8,184.55,182.02,195.59,191.9,192.26,191.45,185.6,196.98,196.18,191.26,187.1,188.06,187.69,188.46,187.44,201.25,193.29,199.24,193.5,195.21,194.09,,25,965,33,25.03,
22.06.23 14:31:01,10.55,187.34,189.48,186.34,182.66,182.87,194.17,192.75,193.1,191.74,185.88,196.41,195.62,191.26,187.38,188.62,187.97,188.46,185.74,202.42,193.59,199.24,194.36,196.94,194.65,,25,965,33,25.04,
22.06.23 14:31:16,10.8,187.91,188.34,185.26,182.12,182.3,191.64,190.77,193.94,190.02,185.04,197.27,197.31,191.83,188.5,188.62,188.25,187.9,184.6,203.3,193.59,200.39,196.36,196.94,191.35,,25,965,33,25.06,
22.06.23 14:31:31,11.05,188.2,188.91,184.99,181.58,182.02,191.92,191.05,193.1,191.16,185.04,196.7,197.59,190.98,189.91,187.23,187.41,189.31,184.6,202.12,194.76,200.11,198.37,195.5,189.98,,25,965,33,25.06,
22.06.23 14:31:46,11.3,187.34,189.19,184.73,181.31,180.61,191.64,191.05,193.66,186.89,184.76,196.13,197.31,191.26,189.91,187.78,186.57,188.46,185.45,198.91,195.34,198.38,196.94,195.5,189.43,,25,965,33,25.06,
22.06.23 14:32:01,11.55,187.34,188.62,184.46,180.77,181.17,191.64,191.62,193.94,185.47,183.92,194.71,196.46,190.98,189.06,188.06,186.85,189.59,184.04,197.75,195.64,198.38,196.36,194.64,189.7,,25,965,33,25.06,
22.06.23 14:32:16,11.8,187.34,188.62,184.46,180.5,184,190.23,191.9,193.94,184.9,185.04,195.84,197.59,190.69,190.19,188.06,186.29,188.46,183.47,196.3,195.05,198.95,195.5,195.21,190.25,,25,965,33,25.06,
22.06.23 14:32:31,12.05,188.2,188.62,184.19,180.5,183.72,189.67,191.05,193.94,184.34,185.6,196.7,197.03,191.54,191.03,188.62,185.73,188.46,183.75,196.3,195.34,199.53,195.5,194.07,189.98,,25,965,33,25.06,
22.06.23 14:32:46,12.3,187.63,188.05,183.39,179.7,180.33,189.95,191.05,193.38,183.77,184.76,196.7,195.9,192.11,189.06,187.78,185.73,188.46,182.91,195.14,195.93,198.66,192.93,194.07,189.43,,25,965,33,25.06,
22.06.23 14:33:01,12.55,188.2,188.62,183.39,180.5,182.02,189.95,189.65,194.5,182.93,187.29,196.7,198.73,191.83,188.5,188.62,184.89,188.46,185.17,197.75,195.93,198.09,193.21,192.36,188.61,,25,965,33,25.06,
22.06.23 14:33:16,12.8,187.34,187.49,183.12,180.23,180.89,190.23,189.09,195.91,183.21,185.88,194.99,198.44,190.69,187.38,186.95,185.17,189.02,180.65,196.59,195.64,198.09,191.5,195.5,191.62,,25,965,33,25.07,
22.06.23 14:33:31,13.05,188.2,187.77,184.19,181.31,182.59,189.95,188.53,193.94,182.64,185.88,194.99,198.44,191.83,187.1,187.78,186.29,188.74,182.62,195.43,195.64,199.82,192.36,193.5,191.07,,25,965,33,25.07,
22.06.23 14:33:46,13.3,187.63,186.35,183.39,181.04,182.3,190.23,187.13,193.94,182.08,183.08,195.28,197.59,190.98,186.82,188.62,186.29,188.46,183.75,193.11,196.52,198.38,194.93,193.21,190.8,,25,965,33,25.07,
22.06.23 14:34:01,13.55,187.63,186.35,183.65,181.04,182.02,190.51,187.13,192.82,182.08,184.48,196.13,198.73,191.26,186.82,187.51,187.97,188.18,183.47,193.98,195.64,200.11,193.21,193.21,191.35,,25,965,33,25.07,
22.06.23 14:34:16,13.8,187.91,185.79,183.65,181.31,180.89,190.8,187.41,191.98,183.49,183.36,195.56,197.88,190.41,186.82,188.06,187.13,187.05,180.93,192.25,194.76,200.39,192.64,191.22,191.07,,25,965,33,25.09,
22.06.23 14:34:31,14.05,187.63,186.64,183.39,181.58,180.61,192.2,187.13,193.66,183.21,184.48,194.99,196.46,189.28,186.26,188.9,186.29,189.02,181.5,190.81,195.64,200.97,190.93,191.5,191.35,,25,965,33,25.07,
22.06.23 14:34:46,14.3,188.49,188.05,182.85,184.01,181.17,191.08,186.01,193.94,181.8,182.8,195.56,198.44,189,185.98,188.06,184.89,188.74,182.62,189.09,197.1,200.97,191.22,190.08,190.25,,25,965,33,25.07,
22.06.23 14:35:01,14.55,188.2,187.2,182.85,183.74,179.76,191.08,185.73,192.26,181.8,182.24,195.84,197.31,189.85,185.14,188.06,184.62,188.46,182.34,190.52,195.34,201.26,188.95,190.08,187.52,,25,965,33,25.1,
22.06.23 14:35:16,14.8,187.34,187.49,183.12,182.12,180.04,189.39,185.73,192.54,183.21,184.76,195.28,195.34,189.28,185.42,187.78,185.45,188.74,182.91,189.37,196.22,199.82,188.95,188.66,187.25,,25,965,33,25.1,
22.06.23 14:35:31,15.05,188.2,187.77,183.65,181.85,178.64,190.23,185.45,191.7,182.08,183.92,194.99,196.75,188.43,185.14,187.78,184.06,189.02,182.34,192.54,195.34,200.11,187.53,190.08,187.79,,25,965,33,25.1,
22.06.23 14:35:46,15.3,187.91,188.34,184.19,184.28,179.48,189.11,184.89,192.26,182.36,182.8,196.13,194.77,189,185.98,188.34,184.89,188.74,182.91,193.69,196.22,200.97,188.38,188.95,188.34,,25,965,33,25.1,
22.06.23 14:36:02,15.57,189.06,188.34,182.85,182.93,178.92,189.11,185.17,192.26,183.77,186.16,196.13,193.93,188.15,185.14,187.78,184.34,188.18,180.93,192.54,196.81,200.97,190.08,189.23,187.25,,25,965,33,25.1,
22.06.23 14:36:17,15.82,187.63,187.2,183.12,180.77,179.48,189.95,185.73,191.42,182.64,184.76,194.71,195.34,188.43,184.02,187.78,184.89,189.02,181.78,193.11,195.05,200.68,192.93,190.08,186.7,,25,965,33,25.1,
22.06.23 14:36:32,16.07,187.91,186.92,182.85,180.5,179.48,190.8,185.17,191.7,182.64,181.68,194.99,193.65,189.85,185.42,187.23,184.89,187.9,181.21,192.54,195.93,200.11,191.22,189.23,187.79,,25,965,33,25.1,
22.06.23 14:36:47,16.32,187.63,188.05,182.85,180.23,179.76,190.8,185.45,191.98,182.64,181.12,196.13,195.62,190.69,185.42,188.06,184.06,188.46,182.06,191.67,195.93,200.39,192.93,188.38,187.52,,25,965,33,25.11,
22.06.23 14:37:02,16.57,187.63,186.35,183.12,179.16,178.36,189.95,184.34,190.86,181.52,180.84,195.28,195.34,190.13,185.42,187.23,184.34,187.33,181.21,191.67,195.93,199.53,193.5,188.38,187.25,,25,965,33,25.1,
22.06.23 14:37:17,16.82,187.34,186.07,182.59,179.96,179.2,189.39,185.17,190.02,181.24,181.96,196.13,193.93,188.72,185.14,188.06,184.89,187.62,181.5,190.23,196.22,199.82,190.65,187.81,186.7,,25,965,33,25.11,
22.06.23 14:37:32,17.07,188.49,185.5,183.39,179.7,179.48,190.23,185.17,190.02,181.8,183.08,196.7,195.34,189.28,186.82,188.06,183.5,187.9,179.53,189.66,195.05,198.66,192.36,188.38,186.98,,25,965,33,25.1,
22.06.23 14:37:47,17.32,188.2,184.37,183.39,178.35,178.64,189.11,186.01,190.02,180.11,180.56,195.84,196.75,190.41,185.42,187.78,184.06,188.74,179.53,191.96,195.64,198.95,191.79,187.81,185.89,,25,965,33,25.11,
22.06.23 14:38:02,17.57,188.49,185.5,182.59,179.16,178.64,188.83,186.57,189.75,180.67,181.4,196.98,196.18,192.11,185.42,187.51,182.11,187.9,179.53,192.54,195.64,199.53,190.37,186.96,186.7,,25,965,33,25.11,
22.06.23 14:38:17,17.82,187.91,184.66,182.85,179.16,178.08,187.16,186.57,189.47,180.39,180.84,195.28,195.9,191.26,184.02,187.78,182.39,188.18,179.25,191.67,196.22,198.38,189.23,188.1,186.7,,25,965,33,25.11,
22.06.23 14:38:32,18.07,187.91,183.81,183.12,180.5,180.33,188.27,186.57,188.35,180.95,181.68,195.28,193.65,192.11,183.47,188.62,181.84,187.9,179.53,188.8,196.52,198.09,188.95,189.51,186.98,,25,965,33,25.11,
22.06.23 14:38:47,18.32,188.2,182.4,183.12,181.31,178.36,187.44,186.85,189.19,178.99,181.4,194.71,193.09,193.82,184.58,187.78,182.95,189.59,179.25,187.37,195.64,196.94,188.38,188.1,188.61,,25,965,33,25.13,
22.06.23 14:39:02,18.57,188.49,183.81,182.05,180.23,177.23,187.16,186.57,187.8,178.15,180.56,194.99,191.69,193.53,184.58,187.23,183.5,187.9,178.12,186.51,194.76,196.08,188.95,187.81,187.25,,25,965,33,25.13,
22.06.23 14:39:17,18.82,188.2,184.09,182.85,179.96,178.92,188.55,187.41,186.97,179.83,181.4,194.43,193.93,193.25,184.58,187.51,183.78,189.02,180.09,187.94,195.93,196.65,188.95,188.1,187.52,,25,965,33,25.13,
22.06.23 14:39:32,19.07,187.34,184.37,183.92,178.89,179.2,187.44,186.57,188.63,179.83,181.12,196.41,190.85,191.83,184.86,188.34,184.06,189.31,181.21,187.08,195.05,194.94,188.38,188.1,185.89,,25,965,33,25.14,
22.06.23 14:39:47,19.32,188.77,184.09,183.65,179.16,177.23,189.39,187.97,187.52,178.43,179.45,194.71,188.9,192.11,184.02,187.51,182.95,188.74,181.78,186.51,195.05,196.37,187.53,188.95,185.89,,25,965,33,25.14,
22.06.23 14:40:02,19.57,188.49,181.56,183.12,177.02,178.36,189.67,187.13,187.8,179.55,178.89,195.28,188.9,192.11,183.75,188.34,183.5,187.9,181.5,184.8,195.93,195.22,187.25,186.96,186.7,,25,965,33,25.14,
22.06.23 14:40:17,19.82,188.77,182.4,183.65,176.75,178.64,189.67,187.97,187.8,178.43,179.73,194.43,187.23,192.4,184.02,186.95,182.39,188.46,180.37,184.52,195.34,196.65,186.96,187.81,186.7,,25,965,33,25.14,
22.06.23 14:40:32,20.07,188.2,181.84,182.05,175.95,178.36,187.44,187.41,188.35,179.55,180.84,193.58,188.06,193.53,183.75,187.78,182.11,188.46,179.81,184.52,196.52,196.94,185.84,187.81,187.25,,25,965,33,25.14,
22.06.23 14:40:47,20.32,188.49,182.4,181.52,176.22,176.11,187.99,187.97,188.35,178.99,181.4,192.73,190.01,192.96,184.3,188.06,181.84,188.46,177.84,185.37,194.46,197.8,184.71,186.12,186.16,,25,965,33,25.16,
22.06.23 14:41:02,20.57,188.49,181.84,181.78,175.41,178.08,187.71,189.09,188.35,179.27,181.12,193.86,191.41,192.4,184.3,188.9,181.84,189.02,178.4,186.8,195.34,198.38,184.71,187.25,186.7,,25,965,33,25.16,
22.06.23 14:41:17,20.82,188.2,182.4,181.25,174.08,178.08,187.16,188.53,188.91,178.71,181.96,193.01,190.29,191.83,184.86,187.23,181.01,188.46,176.72,186.51,195.34,196.65,183.58,185.84,186.43,,25,965,33,25.17,
22.06.23 14:43:15,22.78,199.78,195.19,179.92,184.28,170.26,180.22,189.09,163.57,182.93,171.98,204.14,204.99,197.82,177.37,187.23,174.4,165.79,182.62,188.8,203.6,193.51,172.17,206.49,173.26,,25,965,33,25.2,965D6-(E1);
22.06.23 14:43:30,23.03,200.95,174.57,176.48,174.88,180.33,178.84,191.62,185.03,175.91,188.7,188.5,210.16,184.22,179.3,183.63,181.28,229.2,164.81,178.57,177.42,212.93,182.46,176.32,194.09,,25,965,33,25.2,965D6-(E1);
22.06.23 14:43:45,23.28,195.12,195.19,178.06,157.82,176.39,183.54,181.01,202.99,189.17,189.27,187.1,189.73,185.06,191.88,188.9,166.78,204.15,155.28,178.29,173.45,197.8,183.86,176.6,170.34,,25,965,33,25.21,965D6-(E1);
22.06.23 14:44:00,23.53,193.38,195.48,192.82,179.16,173.88,186.04,191.62,194.78,172.85,179.73,184.3,205.56,190.69,187.38,186.95,192.46,171.24,185.17,176.6,189.22,198.38,179.66,169.69,197.69,,25,965,33,25.23,965D6-(E1);
22.06.23 14:44:15,23.78,186.48,177.92,178.86,176.75,182.87,180.77,194.16,197.88,158.58,178.89,185.98,177.86,179.19,176.54,184.18,180.18,181.74,163.17,182.81,188.64,203,181.62,192.64,153.66,,25,965,33,25.23,965D6-(E1);
22.06.23 14:44:30,24.03,188.2,170.42,179.92,176.22,182.87,190.23,180.73,197.32,201.54,168.69,204.43,187.23,187.59,173.8,181.42,189.93,167.15,173.93,201.83,190.38,188.11,186.68,199.53,182.37,,25,965,33,25.21,965D6-(E1);
22.06.23 14:44:45,24.28,178.24,176.52,181.78,168,162.54,193.05,181.56,210.15,167.87,198.96,178.75,195.06,180.86,191.88,174.58,171.12,194.97,165.64,187.66,191.25,207.07,163.94,194.93,210.29,,25,965,33,25.23,965D6-(E1);
22.06.23 14:45:00,24.53,189.64,173.46,183.12,166.42,161.45,188.55,185.73,185.3,190.02,166.23,190.19,208.43,202.71,179.03,189.45,191.34,204.15,153.67,206.82,187.48,188.39,165.85,178.54,222.88,,25,965,33,25.24,965D6-(E1);
22.06.23 14:45:15,24.78,187.05,184.66,173.31,175.41,159.27,184.93,196.71,221.2,166.5,192.67,184.58,183.9,203.57,169.7,179.77,165.16,183.97,160.71,192.83,198.28,192.37,181.62,179.1,194.92,,25,965,33,25.24,965D6-(E1);
22.06.23 14:45:30,25.03,192.81,175.41,184.19,181.31,169.71,203.28,202.99,220.03,151.3,188.99,195.56,200.99,213.78,181.24,197.31,179.9,224.11,174.21,194.85,178.85,186.13,187.25,207.95,188.07,,25,965,33,25.24,965D6-(E1);
22.06.23 14:45:45,25.28,184.2,188.62,187.95,172.76,174.16,173.63,198.7,186.97,165.67,168.69,192.16,172.41,180.58,189.62,180.32,182.39,173.16,177.28,193.98,195.05,189.24,191.5,212.35,197.69,,25,965,33,25.24,965D6-(E1);
22.06.23 14:46:00,25.53,200.37,192.33,185.8,184.55,195.45,185.48,191.9,210.73,182.36,181.12,179.03,189.18,207.34,191.88,210.16,181.28,179.51,185.17,197.46,208.07,205.61,201.26,203.87,200.19,,25,965,33,25.25,965D6-(E1);
22.06.23 14:46:16,25.8,182.77,181.84,193.37,186.45,195.45,193.61,191.9,164.64,163.48,160.81,194.99,183.9,183.94,195.84,180.05,191.34,205.3,195.17,174.91,211.67,204.16,169.69,191.79,210.86,,25,965,33,25.25,965D6-(E1);
22.06.23 14:46:31,26.05,181.92,175.13,164.71,181.31,185.99,208.17,195.29,221.79,209.74,171.15,190.47,187.23,195.81,178.2,180.05,192.75,182.57,178.4,197.46,204.49,185.01,192.64,207.36,183.99,,25,965,33,25.25,965D6-(E1);
22.06.23 14:46:46,26.3,184.77,188.34,179.12,176.48,174.44,198.42,189.93,216.52,169.25,187.29,192.44,209,190.69,185.42,183.08,186.29,185.37,162.08,172.67,197.1,196.37,157.98,164.49,169.29,,25,965,33,25.25,965D6-(E1);
