tris.date,mVTris,Ttris
20230617,-64.2,23.69
20230617,-62.6,25.03
20230617,-61.4,25.98
20230617,-60.4,26.64
20230617,-59.5,27.4
20230617,-58.4,28.24
20230617,-57.4,28.96
20230617,-56.4,29.73
20230617,-55.8,30.17
20230617,-55.5,30.57
20230617,-54.2,31.25
20230617,-53.6,31.74
20230617,-53.2,32.08
20230617,-52.5,32.4
20230617,-52.3,32.67
