date,time,tank,group,pH.mV,pH.nbs,temp.C,sal.psu,flow.mL.5s,par,tris.date,notes
6/18/23,945,Parent NB1,Parent,-51.1,8.05,27.84,34,400,196,20230617,
6/18/23,946,Parent NB2,Parent,-50.5,8.03,27.43,34,450,312,20230617,
6/18/23,947,Parent B1,Parent,-50.7,8.03,27.52,34,375,268,20230617,
6/18/23,948,Parent B2,Parent,-53.4,8.09,27.99,34,450,251,20230617,
6/18/23,1709,C1,Cladocopium,-50.6,8.04,26.81,33,1,12,20230617,
6/18/23,1710,C2,Cladocopium,-50.7,8.04,26.41,33,2,10,20230617,
6/18/23,1711,C3,Cladocopium,-50.8,8.04,27.16,33,3,11,20230617,
6/18/23,1712,D1,Durusdinium,-49.7,8.02,26.94,33,0,12,20230617,
6/18/23,1713,D2,Durusdinium,-50.6,8.04,27.16,33,1,14,20230617,
6/18/23,1715,D3,Durusdinium,-50.7,8.04,27.01,33,3,11,20230617,
6/19/23,952,C1,Cladocopium,-47,7.98,26.67,33,2,15,20230617,
6/19/23,953,C2,Cladocopium,-47.9,7.99,26.64,33,1,15,20230617,
6/19/23,954,C3,Cladocopium,-48.1,8,26.8,33,3,18,20230617,
6/19/23,955,D1,Durusdinium,-48.1,8,26.86,33,1,20,20230617,
6/19/23,956,D2,Durusdinium,-48.3,8,26.8,33,0,17,20230617,
6/19/23,1000,D3,Durusdinium,-48.3,8,26.73,33,3,18,20230617,
6/19/23,1001,Bucket D,Bucket,-46.3,7.96,26.05,33,0,0,20230617,
6/19/23,1002,Bucket C1,Bucket,-48.1,8,26.14,33,0,0,20230617,
6/19/23,1003,Bucket C2,Bucket,-48.4,8,26.23,33,0,0,20230617,
6/19/23,1147,C1,Cladocopium,-44.8,7.93,27.12,33,2,15,20230617,
6/19/23,1153,C2,Cladocopium,-48,7.99,27.04,33,2,15,20230617,
6/19/23,1157,C3,Cladocopium,-48.7,8.01,27.16,33,3,18,20230617,
6/19/23,1148,D1,Durusdinium,-47.6,7.99,27.14,33,4,17,20230617,
6/19/23,1151,D2,Durusdinium,-45.9,7.95,27.13,33,1,16,20230617,
6/19/23,1155,D3,Durusdinium,-48.5,8,27.03,33,0,12,20230617,
6/19/23,1200,Bucket D,Bucket,-46.9,7.97,26.96,33,0,0,20230617,
6/19/23,1202,Bucket C1,Bucket,-48,7.99,27.05,33,0,0,20230617,
6/19/23,1204,Bucket C2,Bucket,-48,7.99,27.29,33,0,0,20230617,
6/19/23,1940,C1,Cladocopium,-49.2,8.01,26.83,33,0,0,20230617,
6/19/23,1942,C2,Cladocopium,-49.5,8.02,26.87,33,0,0,20230617,
6/19/23,1943,C3,Cladocopium,-49.4,8.02,26.88,33,0,0,20230617,
6/19/23,1945,D1,Durusdinium,-46.8,7.97,26.8,33,0,0,20230617,
6/19/23,1946,D2,Durusdinium,-49.3,8.02,26.97,33,0,0,20230617,
6/19/23,1947,D3,Durusdinium,-49.6,8.02,26.73,33,0,0,20230617,
6/19/23,1948,NB1,Mixed,-48.7,8,26.74,33,0,0,20230617,
6/19/23,1949,NB2,Mixed,-49.1,8.01,26.9,33,0,0,20230617,
6/19/23,1950,NB3,Mixed,-49.3,8.02,26.89,33,0,0,20230617,
6/19/23,1951,NB4,Mixed,-49.3,8.02,26.69,33,0,0,20230617,
6/19/23,1953,NB5,Mixed,-49.5,8.02,26.82,33,0,0,20230617,
6/19/23,1954,NB6,Mixed,-49.4,8.02,26.71,33,0,0,20230617,
6/19/23,1955,NB7,Mixed,-49.3,8.01,26.61,33,0,0,20230617,
6/19/23,1956,NB8,Mixed,-49.6,8.02,26.76,33,0,0,20230617,
6/20/23,1129,C1,Cladocopium,-48,7.99,26.6,33,3,15,20230617,
6/20/23,1130,C2,Cladocopium,-47.3,7.98,26.56,33,2,12,20230617,
6/20/23,1131,C3,Cladocopium,-47.9,7.99,26.63,33,3,16,20230617,
6/20/23,1132,D1,Durusdinium,-48,7.99,26.54,33,2,12.5,20230617,
6/20/23,1133,D2,Durusdinium,-48,7.99,26.46,33,1,17.5,20230617,
6/20/23,1135,D3,Durusdinium,-48.2,8,26.7,33,0,10,20230617,
6/20/23,1136,Bucket C1,Bucket,-44.4,7.93,26.99,33,0,0,20230617,
6/20/23,1137,Bucket C2,Bucket,-44.8,7.94,27.29,33,0,0,20230617,
