sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
R55,200344,-0.07606770171645505,0.037555734240962035,-0.009335900987485228,0.04856421183373265,-0.04445438235430553,0.03882880477701758,-0.0019006351853201777,0.0031599594987846732,0.016501655623847165,-0.009263125295738108,0.002877834710161488,0.0003538690172598892,0.0,0.0,0.0,0.0,0.0,0.0
R56,200345,-0.10351387706053264,-0.046379870933615855,-0.04201432107158104,0.013078153347827427,0.003896588807190529,-0.015281631389418104,6.692394278314651e-05,-0.0057327246731468315,0.0033545456973813345,0.006074385600019143,0.017093721705864363,0.007602200081052652,0.0,0.0,0.0,0.0,0.0,0.0
R57,200346,-0.11390353889270229,-0.04521036059636034,-0.04073280920370539,0.004152791682823309,0.0038812648346970725,-0.008160076733400894,0.004425040256164787,0.0014945661554728747,-0.019093338605321628,0.004728562878321657,-0.005794539919353267,-0.005978286743404139,0.0,0.0,0.0,0.0,0.0,0.0
R58,200347,-0.039827184781256804,-0.01970742290799037,0.0061590401022624235,0.007529533129443314,-0.011356349989369166,0.006965171775424204,0.011287875236918784,-0.011191062390539531,-0.039522956850610406,-0.006188898632853906,0.0052915628050202515,0.0030964997796165085,0.0,0.0,0.0,0.0,0.0,0.0
R59,200348,-0.06262314573734003,-0.004424136045353039,0.015374134010383953,-0.012504113131309771,0.016413863958282867,0.012528856594652218,0.012561009086177447,0.006953429768607253,-1.0371172450366718e-05,-0.02714054272228905,-0.01895346226246934,0.006024921791517484,0.0,0.0,0.0,0.0,0.0,0.0
R60,200349,-0.10181807290836606,-0.013170160371688285,-0.019774949827078617,0.02034128305968942,-0.00890572153891085,-0.01239239790088578,-0.030360831593199685,0.003134922341834274,0.009425505195597796,0.01071677582360098,-0.013377201094751783,-0.0025491833044418684,0.0,0.0,0.0,0.0,0.0,0.0
R61,200350,0.17773742479204088,-0.08575569627365792,0.05892311785313934,0.07614478767913328,0.015001122660602127,0.00479275411083462,-0.004792527795876253,-0.0056264410687641335,0.0008194581966777158,0.0019716445069712023,-0.0026771774536520974,0.0006281918708259562,0.0,0.0,0.0,0.0,0.0,0.0
R62,200351,0.10824200848242803,0.03324327308659488,-0.05128402932691821,0.00748712996347206,-0.002866115835357158,0.021447064879051257,0.0037833626550973854,0.02288413018547429,-0.010983755234456213,0.013562400777368715,-0.009593923044945621,-0.009977051508299466,0.0,0.0,0.0,0.0,0.0,0.0
R63,200352,0.12312515745892573,0.010838046550884209,-0.053383496820760934,-0.007808032826343022,-0.026954225400213635,0.016646151539725675,0.010354411162421053,-0.029748437279695023,0.00813790514162421,-0.005110176589670158,0.005382453112125344,-0.0022760413204798526,0.0,0.0,0.0,0.0,0.0,0.0
R64,200353,0.12397594032375625,0.008605414214097417,-0.004071139839520904,-0.06344544224131951,0.003572859091521598,-0.0068400916757123354,-0.0020648508711449288,0.01878501657453604,-0.006743626022462356,-0.0036849934267275354,0.004896072991454531,0.0012805584985492826,0.0,0.0,0.0,0.0,0.0,0.0
