sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
R55,200344,-0.061017329902025616,-0.01762679821378133,-0.007969845599717378,-0.04069899178561348,-0.013704852280372395,-0.004973053398712958,-0.010081655142433272,0.017128529154629125,-0.0010667231255315607,-0.005859129176093535,0.010744305100870065,0.009439929176919942,0.0011160458969791426,-0.0,0.0,0.0,0.0,0.0
R56,200345,-0.05336977865909382,-0.062339867500931755,-0.02671005930436967,0.030292935026465375,-0.021986234232149123,-0.003144980486831389,0.004866023680706651,-0.016628384794521858,-0.00422037959496629,-0.00341039868814618,-0.007664180895694352,0.007337038847712524,0.00015298086301688172,-0.0,0.0,0.0,0.0,0.0
R57,200346,-0.07446503061933209,-0.059111373653418314,-0.026055773467470754,0.004646210415559792,0.010519193063721248,0.0071291276017111825,0.0031039375424791586,0.0015312403876784153,-0.0031625640694708775,0.01233432703265172,0.0015817736139829455,-0.00990254560925065,0.0021058994677355717,-0.0,0.0,0.0,0.0,0.0
R58,200347,-0.034473102236913994,0.004535787186060749,-0.024743778433078983,-0.04216941541568428,0.027137677408900485,-0.021854855037625465,0.0014656298683748703,-0.005128616012374917,-0.010646941898628014,-0.005056544248179842,-0.011335346470930485,-0.007067550358452578,-0.0020005605622212983,-0.0,0.0,0.0,0.0,0.0
R59,200348,-0.04970987267632683,0.020459500095411115,-0.003359385580170512,-0.018252490369739856,0.04034191426282834,-0.012339199809322104,0.015618127279874874,-0.004412248053232117,0.0192797091765212,-0.007132403268828542,0.009585367352812004,-0.00042792594032681165,0.0012905282966375808,-0.0,0.0,0.0,0.0,0.0
R60,200349,-0.06492723826870234,-0.04063302036524018,-0.023626019167359163,-0.012154307252870847,0.0008369373664206076,0.014439234145231261,-0.014354960584506896,-0.009405721959533096,0.0136991427168513,-0.0022430885055560925,-0.0020810161365814733,0.005189617777440183,-0.0020337373489830155,-0.0,0.0,0.0,0.0,0.0
R61,200350,0.16099064139183847,0.04954118508134091,-0.09750617139053944,0.0006161881479205809,-0.022082971126147915,0.00023175592908834694,0.004590218460585056,-2.0890168472527634e-05,0.005106553894388434,0.0018631129399982876,0.0002734382515356589,0.0006848346636626686,0.0007434659815332497,-0.0,0.0,0.0,0.0,0.0
R62,200351,0.08857362333360057,-0.026982943248614014,0.039629158416159854,-0.022797808025278546,0.0007182110822930387,0.008824455507903202,0.0010411385995304087,0.01625111398101094,0.016860176933168054,0.003580219567736259,-0.01434344968666664,-0.00031884055839487816,0.002924963041268052,-0.0,0.0,0.0,0.0,0.0
R63,200352,0.12203613968928646,-0.029438624468086556,0.02573496959794495,-0.024840714173465932,-0.0012540191950790541,-0.02691346186220167,-0.013214237223237677,-0.0034150076439098077,-0.019219887017014065,0.0037429052564184797,0.004871836382116428,5.913553976293724e-05,0.00026426473725391124,-0.0,0.0,0.0,0.0,0.0
R64,200353,0.11112665222589331,0.005876212037858367,0.03459410665476297,0.025721271017982755,0.03506900793509411,0.007154664015708922,0.0037190860332940432,-0.00588834280263774,-0.00026484822651075284,-0.01051550732602472,-0.0035245882208619216,0.005469293317212578,-0.001299492132520414,-0.0,0.0,0.0,0.0,0.0
