"LION-term","LION:0000001","LION:0000002","LION:0000003","LION:0000004","LION:0000005","LION:0000010","LION:0000011","LION:0000012","LION:0000013","LION:0000014","LION:0000019","LION:0000021","LION:0000030","LION:0000031","LION:0000034","LION:0000035","LION:0000038","LION:0000039","LION:0000040","LION:0000042","LION:0000043","LION:0000044","LION:0000047","LION:0000048","LION:0000053","LION:0000054","LION:0000059","LION:0000067","LION:0000069","LION:0000077","LION:0000078","LION:0000080","LION:0000081","LION:0000084","LION:0000088","LION:0000093","LION:0000094","LION:0000095","LION:0000100","LION:0000143","LION:0000147","LION:0000148","LION:0000150","LION:0000151","LION:0000152","LION:0000153","LION:0000155","LION:0000156","LION:0000159","LION:0000162","LION:0000163","LION:0000164","LION:0000169","LION:0000170","LION:0000173","LION:0000174","LION:0000175","LION:0000176","LION:0000180","LION:0000182","LION:0000187","LION:0000192","LION:0000193","LION:0000195","LION:0000199","LION:0000200","LION:0000205","LION:0000206","LION:0000215","LION:0000254","LION:0000259","LION:0000377","LION:0000453","LION:0000462","LION:0000464","LION:0000465","LION:0000466","LION:0000467","LION:0000496","LION:0000557","LION:0000563","LION:0000580","LION:0000582","LION:0000583","LION:0000584","LION:0000585","LION:0000589","LION:0000590","LION:0000592","LION:0000596","LION:0000597","LION:0000598","LION:0000599","LION:0000602","LION:0000603","LION:0000604","LION:0000607","LION:0000608","LION:0000619","LION:0000622","LION:0000623","LION:0000627","LION:0000629","LION:0000630","LION:0000631","LION:0000633","LION:0000634","LION:0000635","LION:0000636","LION:0000637","LION:0000638","LION:0000639","LION:0000641","LION:0000643","LION:0000644","LION:0000645","LION:0000646","LION:0000647","LION:0000648","LION:0000649","LION:0000650","LION:0000651","LION:0000652","LION:0000653","LION:0000656","LION:0000657","LION:0000659","LION:0000660","LION:0000661","LION:0000664","LION:0000666","LION:0000667","LION:0000668","LION:0000670","LION:0000671","LION:0000673","LION:0000674","LION:0000675","LION:0000680","LION:0000682","LION:0000683","LION:0000694","LION:0000696","LION:0000697","LION:0000700","LION:0000702","LION:0000708","LION:0000710","LION:0000715","LION:0000716","LION:0000728","LION:0001268","LION:0001322","LION:0001323","LION:0001324","LION:0001326","LION:0001328","LION:0001330","LION:0001331","LION:0001334","LION:0001335","LION:0001338","LION:0001340","LION:0001345","LION:0001346","LION:0001347","LION:0001350","LION:0001357","LION:0001370","LION:0001579","LION:0001734","LION:0001735","LION:0001736","LION:0001737","LION:0001738","LION:0001740","LION:0001741","LION:0001742","LION:0001744","LION:0001745","LION:0001746","LION:0001747","LION:0001748","LION:0001749","LION:0001750","LION:0001751","LION:0001752","LION:0001753","LION:0001754","LION:0001755","LION:0001756","LION:0001757","LION:0001759","LION:0001760","LION:0001761","LION:0001762","LION:0001763","LION:0001764","LION:0001765","LION:0001766","LION:0001774","LION:0002564","LION:0002569","LION:0002578","LION:0002882","LION:0002900","LION:0002921","LION:0002922","LION:0002923","LION:0002924","LION:0002925","LION:0002926","LION:0002927","LION:0002928","LION:0002929","LION:0002930","LION:0002931","LION:0002932","LION:0002933","LION:0002934","LION:0002935","LION:0002936","LION:0002937","LION:0002938","LION:0002939","LION:0002940","LION:0002941","LION:0002942","LION:0002943","LION:0002944","LION:0002945","LION:0002946","LION:0002947","LION:0002948","LION:0002949","LION:0002950","LION:0002951","LION:0002952","LION:0002953","LION:0002954","LION:0002955","LION:0002956","LION:0002957","LION:0002958","LION:0002959","LION:0002960","LION:0002961","LION:0002962","LION:0002963","LION:0002964","LION:0002965","LION:0002966","LION:0002967","LION:0002968","LION:0002969","LION:0002970","LION:0002971","LION:0002972","LION:0002973","LION:0002974","LION:0002975","LION:0002976","LION:0002977","LION:0002978","LION:0002979","LION:0002980","LION:0002981","LION:0002982","LION:0002983","LION:0002984","LION:0002985","LION:0002986","LION:0002987","LION:0012009","LION:0012010","LION:0012011","LION:0012017","LION:0012080","LION:0012081","LION:0012082","LION:0012084","LION:0012085","LION:0012086","LION:0012441","LION:0015974","LION:0016011","LION:0022223","LION:0022229","LION:0022230","LION:0022231","LION:0022234","LION:0022236","LION:0022241","LION:0022242","LION:0022245","LION:0022247","LION:0022255","LION:0022259","LION:0022260","LION:0022261","LION:0022262","LION:0022263","LION:0022264","LION:0022265","LION:0022266","LION:0022267","LION:0022269","LION:0022270","LION:0022271","LION:0022272","LION:0022273","LION:0022274","LION:0022276","LION:0022277","LION:0022281","LION:0022282","LION:0022285","LION:0022290","LION:0022296","LION:0022355","LION:0022375","LION:0022381","LION:0022389","LION:0022405","LION:0022407","LION:0041232","LION:0041234","LION:0041235","LION:0041237","LION:0041245","LION:0041261","LION:0041262","LION:0041266","LION:0041271","LION:0041276","LION:0041280","LION:0041409","LION:0052727","LION:0052744","LION:0052767","LION:0052768","LION:0052770","LION:0052781","LION:0052782","LION:0052785","LION:0052786","LION:0052812","LION:0052813","LION:0052814","LION:0052815","LION:0052829","LION:0052830","LION:0052831","LION:0052833","LION:0052834","LION:0052840","LION:0052843","LION:0052851","LION:0052852","LION:0052864","LION:0052867","LION:0052868","LION:0072011","LION:0080968","LION:0080969","LION:0080970","LION:0080971","LION:0080972","LION:0080973","LION:0080974","LION:0080977","LION:0080978","LION:0080979","LION:0080980","LION:0080981","LION:0080982","LION:0092577","LION:0092587","LION:0100466","LION:0100467","LION:0100469","LION:0100470","LION:0100473","LION:0100474","LION:0100475","LION:0100477","LION:0100478","LION:0100479","LION:0100480","LION:0100481","LION:0100482","LION:0100483","LION:0100484","LION:0100485","LION:0100486","LION:0100487","LION:0100488","LION:0100491","LION:0100493","LION:0100494","LION:0100495","LION:0100498","LION:0100500","LION:0100501","LION:0100502","LION:0100503","LION:0100504","LION:0100505","LION:0100508","LION:0100516","LION:0100517","LION:0100522","LION:0100534","LION:0100535","LION:0100536","LION:0100541","LION:0100549","LION:0100550","LION:0100556","LION:0100558","LION:0100565","LION:0100573","LION:0100581","LION:0100590","LION:0100593","LION:0100599","LION:0100605","LION:0100607","LION:0100608","LION:0100613"
"LION-name","fatty acids [FA]","glycerolipids [GL]","glycerophospholipids [GP]","sphingolipids [SP]","sterol lipids [ST]","glycerophosphocholines [GP01]","glycerophosphoethanolamines [GP02]","glycerophosphoinositols [GP06]","glycerophosphoserines [GP03]","glycerophosphoglycerols [GP04]","glycerophosphates [GP10]","glycerophosphoglycerophosphoglycerols [GP12]","diacylglycerophosphocholines [GP0101]","1-alkyl,2-acylglycerophosphocholines [GP0102]","monoacylglycerophosphocholines [GP0105]","monoalkylglycerophosphocholines [GP0106]","diacylglycerophosphoethanolamines [GP0201]","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]","1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]","monoacylglycerophosphoethanolamines [GP0205]","monoalkylglycerophosphoethanolamines [GP0206]","1z-alkenylglycerophosphoethanolamines [GP0207]","diacylglycerophosphoinositols [GP0601]","1-alkyl,2-acylglycerophosphoinositols [GP0602]","diacylglycerophosphoserines [GP0301]","1-alkyl,2-acylglycerophosphoserines [GP0302]","diacylglycerophosphoglycerols [GP0401]","monoacylglycerophosphomonoradylglycerols [GP0410]","diacylglycerophosphates [GP1001]","ceramides [SP02]","phosphosphingolipids [SP03]","neutral glycosphingolipids [SP05]","acidic glycosphingolipids [SP06]","ceramide phosphocholines (sphingomyelins) [SP0301]","sulfoglycosphingolipids (sulfatides) [SP0602]","headgroup with negative charge","headgroup with neutral charge","headgroup with positive charge / zwitter-ion","fatty acid with 18 carbons or less","PC(O-30:0)","PC(30:0)","PC(O-32:6)","PC(O-32:3)","PC(O-32:2)","PC(O-32:1)","PC(O-32:0)","PC(32:5)","PC(32:3)","PC(32:0)","PC(O-34:4)","PC(O-34:3)","PC(O-34:2)","PC(34:3)","PC(34:2)","PC(O-36:6)","PC(O-36:4)","PC(O-36:3)","PC(O-36:2)","PC(36:4)","PC(36:2)","PC(O-38:4)","PC(38:5)","PC(38:4)","PC(38:2)","PC(O-40:5)","PC(O-40:4)","PC(40:4)","PC(40:3)","PC(42:4)","C12:0","C14:0","PS(40:4)","simple glc series [SP0501]","C14:1","negative intrinsic curvature","neutral intrinsic curvature","positive intrinsic curvature","contains ether-bond","PI(40:4)","sterols [ST01]","steryl esters [ST0102]","PC(16:0/0:0)","PC(18:0/0:0)","PC(18:1/0:0)","PC(18:2/0:0)","PC(18:3/0:0)","PC(20:3/0:0)","PC(20:4/0:0)","PC(22:0/0:0)","PC(22:4/0:0)","PC(22:5/0:0)","PC(22:6/0:0)","lysoglycerophospholipids","monoradylglycerols [GL01]","diradylglycerols [GL02]","triradylglycerols [GL03]","diacylglycerols [GL0201]","1-alkyl,2-acylglycerols [GL0202]","monoacylglycerols [GL0101]","triacylglycerols [GL0301]","alkyldiacylglycerols [GL0302]","DG(28:0)","DG(28:2)","DG(30:0)","DG(30:1)","DG(32:0)","DG(32:1)","DG(32:2)","DG(32:3)","DG(32:4)","DG(34:0)","DG(34:1)","DG(34:3)","DG(34:5)","DG(34:6)","DG(36:0)","DG(36:1)","DG(36:2)","DG(36:3)","DG(36:4)","DG(36:5)","DG(36:6)","DG(36:7)","DG(38:0)","DG(38:3)","DG(38:4)","DG(38:6)","DG(38:7)","DG(38:8)","DG(40:10)","DG(40:3)","DG(40:4)","DG(40:5)","DG(40:7)","DG(40:8)","DG(42:0)","DG(42:1)","DG(42:10)","DG(42:5)","DG(42:7)","DG(42:8)","DG(44:6)","DG(44:8)","DG(44:9)","DG(46:10)","DG(46:12)","DG(46:6)","DG(46:8)","DG(48:11)","DG(48:12)","diacylglycerophosphoglycerophosphodiradylglycerols [GP1201]","CE(22:4)","PC(O-34:0)","PC(O-36:8)","PC(O-36:5)","PC(O-36:0)","PC(O-38:1)","PC(O-40:8)","PC(O-40:7)","PC(O-42:10)","PC(O-42:9)","PC(O-42:5)","PC(O-42:3)","PC(O-44:5)","PC(O-44:4)","PC(O-40:1)","PE(O-32:1)","PE(O-36:9)","PE(O-34:4)","PE(20:4/0:0)","contains vinyl ether bond (plasmalogen)","very low transition temperature","low transition temperature","average transition temperature","high transition temperature","above average transition temperature","below average transition temperature","fatty acids and conjugates [FA01]","FFA(14:0)","FFA(14:1)","FFA(16:0)","FFA(16:1)","FFA(18:0)","FFA(18:1)","FFA(18:2)","FFA(18:3)","FFA(20:0)","FFA(20:1)","FFA(20:2)","FFA(20:3)","FFA(20:4)","FFA(20:5)","FFA(22:0)","FFA(22:1)","FFA(22:2)","FFA(22:3)","FFA(22:4)","FFA(22:5)","FFA(22:6)","FFA(24:0)","FFA(26:0)","PC(32:4)","PC(40:9)","PC(44:12)","C16:0","C16:1","C18:0","C18:1","C18:2","C18:3","C20:0","C20:1","C20:2","C20:3","C20:4","C20:5","C22:0","C22:1","C22:2","C22:3","C22:4","C22:5","C22:6","C24:0","C24:1","C24:2","C24:3","C24:4","C24:5","C24:6","fatty acid with more than 18 carbons","fatty acid with less than 13 carbons","fatty acid with 13-15 carbons","fatty acid with 16-18 carbons","fatty acid with 19-21 carbons","fatty acid with 22-24 carbons","fatty acid with more than 24 carbons","fatty acid with 13 carbons","fatty acid with 14 carbons","fatty acid with 15 carbons","fatty acid with 16 carbons","fatty acid with 17 carbons","fatty acid with 18 carbons","fatty acids with 19 carbons","fatty acid with 20 carbons","fatty acid with 21 carbons","fatty acid with 22 carbons","fatty acid with 23 carbons","fatty acid with 24 carbons","fatty acid with 25 carbons","fatty acid with 26 carbons","fatty acid with less than 2 double bonds","polyunsaturated fatty acid","saturated fatty acid","monounsaturated fatty acid","fatty acid with 2 double bonds","fatty acid with 3 double bonds","fatty acid with 4 double bonds","fatty acid with 5 double bonds","fatty acid with 6 double bonds","fatty acid with 7 double bonds","fatty acid with more than 3 double bonds","fatty acid with 3-5 double bonds","fatty acid with more than 5 double bonds","C26:0","fatty acid with 12 carbons","C26:1","C26:2","C26:3","C26:4","C26:5","C26:6","C26:7","lipid-mediated signalling","membrane component","lipid storage","hexosylceramides","endoplasmic reticulum (ER)","mitochondrion","plasma membrane","lipid droplet","golgi apparatus","endosome/lysosome","N-acylsphingosines (ceramides) [SP0201]","PE(P-38:6)","PE(P-40:6)","C13:0","C15:0","C15:1","C17:0","C17:1","C17:2","C19:0","C19:1","C19:2","C19:3","FFA(15:0)","FFA(17:0)","FFA(17:1)","C21:0","C21:1","C21:2","C21:3","C21:4","C23:0","C23:1","C23:3","C23:4","C23:5","C25:0","C25:1","C25:2","C25:4","C25:5","FFA(19:0)","FFA(19:1)","FFA(21:0)","FFA(23:0)","FFA(25:0)","PC(19:1/0:0)","PC(21:2/0:0)","PC(21:4/0:0)","PC(23:1/0:0)","PC(25:0/0:0)","PC(25:1/0:0)","PC(29:0)","PC(29:2)","PC(30:3)","PC(31:1)","PC(33:3)","PC(35:1)","PC(35:2)","PC(35:4)","PC(35:5)","PC(37:1)","PC(37:5)","PC(45:4)","PC(O-33:2)","PC(O-33:3)","PC(O-35:4)","PC(O-35:5)","PC(O-37:1)","PC(O-37:3)","PC(O-37:4)","PC(O-37:7)","PC(O-33:5)","PC(O-39:3)","PC(O-39:4)","PC(O-39:5)","PC(O-39:6)","PC(O-41:3)","PC(O-41:4)","PC(O-41:5)","PC(O-41:7)","PC(O-41:8)","PC(O-43:4)","PC(O-43:7)","PC(O-38:8)","PC(O-40:9)","PC(O-41:9)","PC(O-40:10)","PC(O-42:11)","PE(O-51:4)","very low bilayer thickness","low bilayer thickness","average bilayer thickness","high bilayer thickness","very high bilayer thickness","below average bilayer thickness","above average bilayer thickness","low lateral diffusion","average lateral diffusion","high lateral diffusion","very high lateral diffusion","below average lateral diffusion","above average lateral diffusion","PS(37:4)","PS(39:4)","DG(26:0)","DG(26:1)","DG(27:1)","DG(29:0)","DG(30:3)","DG(31:0)","DG(31:1)","DG(31:3)","DG(32:5)","DG(33:0)","DG(33:1)","DG(33:2)","DG(33:3)","DG(33:4)","DG(35:0)","DG(35:1)","DG(35:2)","DG(35:3)","DG(35:4)","DG(37:1)","DG(37:3)","DG(37:4)","DG(37:5)","DG(33:5)","DG(39:0)","DG(39:1)","DG(39:2)","DG(39:3)","DG(39:4)","DG(39:5)","DG(39:8)","DG(41:7)","DG(41:8)","DG(43:4)","DG(45:5)","DG(45:6)","DG(45:7)","DG(45:11)","DG(47:6)","DG(47:7)","DG(47:13)","DG(49:1)","DG(49:8)","DG(50:3)","DG(50:11)","DG(51:5)","DG(51:8)","DG(50:14)","DG(52:4)","DG(52:6)","DG(52:7)","DG(52:12)"
"[#0001] 13-Docosenamide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0002] AHexCer 36:2;O2|AHexCer (O-12:0)24:2;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","x","x","","","","x","","","","","","","","","","","","","x","","","x","x","x","","x","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0003] AHexCer 38:3;O2|AHexCer (O-14:0)24:3;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","x","","x","","","x","","","x","","","","","","","","","","x","","","x","x","x","","","x","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0004] AHexCer 39:1;O3|AHexCer (O-15:0)24:1;O3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","","x","","","x","","","","x","","","","","","","","","x","","","x","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0005] AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","x","","","","","","","","","","","","","x","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0006] AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","","x","","","","","x","","","","","","","","x","","x","x","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0007] AHexCer 42:3;O2|AHexCer (O-18:0)24:3;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","x","","","","x","","","x","","x","","","","","","","x","","","","","","x","","","x","x","x","","","x","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0008] AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","","","","","x","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[#0009] AHexCer 43:3;O2|AHexCer (O-15:0)28:3;O2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
