Measurement Name :,20230623_SDR710_Run09_Plate18_TPC,,Generated On :,"23/06/2023, 18:19:23",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"23/06/2023, 17:51:09",,,,,,Batch No.:  ,PSt5-1624-01_25°C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"23/06/2023, 18:18:31",,,,,,O2_cal0 [°],54.76,,Adjustment at ,100, % air saturation,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,Adjustment at ,39, °C,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-710,,,,,,O2_T0 [°C],24.8,,Adjustment at ,965, mbar,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPA Phase values  ,,44.88,44.88,44.95,44.75,44.99,45.16,45.11,45.08,45.09,45.09,45.16,45.19,44.75,45.17,45.18,45.34,44.91,45.63,45,45.23,44.44,45.47,44.92,44.82,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
23.06.23 17:51:11,0.03,127.98,130.41,137.52,139.31,131.89,136.71,128.82,136.58,131.13,132.59,132.92,136.05,128.8,136.28,135.85,131.4,127.93,128.75,133.12,129.24,129.28,130.98,131.58,131.71,,39,965,33,34.75,
23.06.23 17:51:26,0.28,130.01,133.26,139.61,141.57,136.03,138.84,130.69,138.68,134.05,135.52,135.23,138.82,131.2,139.05,139.25,133.75,130.98,131.83,136.23,130.92,132,135.55,135.07,134.35,,39,965,33,34.42,
23.06.23 17:51:41,0.53,131.23,135.31,143.8,144.87,137.7,140.76,132.35,139.95,136.57,137.62,138.41,140.74,134.63,139.9,139.68,136.76,131.39,133.6,138.32,131.77,137.9,137.74,136.1,137.01,,39,965,33,34.24,
23.06.23 17:51:56,0.78,134.49,136.75,144.22,144.25,138.54,141.4,135.5,142.07,138.04,138.89,139.9,142.46,135.85,141.83,141.18,138.28,134.25,134.93,139.37,134.1,137.9,139.94,136.72,138.65,,39,965,33,34.13,
23.06.23 17:52:11,1.03,135.11,139.03,147.83,145.29,141.47,142.47,135.08,142.71,138.89,139.95,140.97,142.25,138.09,143.12,142.68,139.36,135.08,136.93,141.89,133.88,139.89,141.04,137.75,140.92,,39,965,33,34.03,
23.06.23 17:52:26,1.28,136.96,140.48,148.68,145.29,142.95,142.26,136.13,143.99,139.95,141.01,141.62,144.19,138.7,144.19,144.19,140.45,137.35,137.15,141.68,136.22,138.9,141.7,139.42,140.92,,39,965,33,33.98,
23.06.23 17:52:41,1.53,138.2,140.27,148.25,148.21,144.22,144.84,138.24,142.93,139.31,141.64,143.98,146.36,139.11,144.41,144.41,141.32,137.55,139.16,144.64,134.52,142.49,144.14,141.08,142.58,,39,965,33,33.95,
