Measurement Name :,20230623_SDR641_Run06_Plate11_TPC,,Generated On :,"23/06/2023, 14:20:14",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.06.23 13:48:51,1.28,188.2,192.86,194.34,194.43,195.28,189.65,187.24,189.64,187.75,189,187.76,191.62,186.02,185.26,188.09,186.38,190.39,188.49,191.47,185.53,185.32,188.12,190.41,187.5,,32,965,33,28.51,
23.06.23 13:49:06,1.53,187.41,192.07,195.12,194.16,195.28,189.65,187.24,189.38,187.75,187.95,188.27,190.32,184.98,186.3,189.39,188.43,191.44,189.28,192.52,185.79,184.81,188.91,190.92,188.77,,32,965,33,28.54,
23.06.23 13:49:21,1.78,187.94,192.6,195.39,192.32,196.34,188.09,188.01,189.13,187.48,187.95,187.24,192.92,184.98,184.22,189.91,189.21,190.91,190.6,191.47,185.26,185.06,188.91,190.92,189.53,,32,965,33,28.58,
23.06.23 13:49:36,2.03,187.94,191.81,195.12,193.11,196.34,188.09,186.98,190.41,189.33,184.28,188.53,192.66,187.06,185.78,189.65,189.21,189.61,191.13,192.25,186.06,185.83,190.48,191.44,190.81,,32,965,33,28.6,
23.06.23 13:49:51,2.28,188.46,193.92,194.6,194.16,197.14,189.13,186.72,193.76,190.66,186.11,188.27,192.66,187.84,185.78,190.7,189.98,190.91,190.33,192.52,185.26,185.57,189.69,191.95,190.55,,32,965,33,28.63,
23.06.23 13:50:06,2.53,188.46,194.98,195.39,193.11,196.61,187.83,189.05,191.18,189.07,184.02,187.5,190.58,187.32,186.3,190.44,189.21,191.18,190.86,193.3,184.99,185.06,188.91,192.98,190.3,,32,965,33,28.64,
23.06.23 13:50:21,2.78,189.51,193.65,195.65,194.43,198.47,188.87,189.57,191.18,190.66,186.11,188.53,192.14,186.02,186.56,190.96,192.56,190.13,190.33,193.04,184.46,185.06,188.65,192.98,189.53,,32,965,33,28.66,
23.06.23 13:50:36,3.03,187.94,195.24,195.92,195.75,196.34,188.35,190.61,192.47,190.39,182.46,188.27,192.4,186.02,185.78,190.17,191.53,190.13,190.6,193.57,184.46,184.81,189.43,191.44,188.01,,32,965,33,28.66,
23.06.23 13:50:51,3.28,187.94,193.39,195.39,195.75,198.2,188.35,192.17,191.44,190.39,185.07,187.5,192.14,186.54,186.56,190.7,191.01,190.13,191.66,192.78,184.46,183.03,190.22,192.21,188.77,,32,965,33,28.69,
23.06.23 13:51:06,3.53,189.25,192.07,196.97,193.9,199.01,187.83,189.57,192.72,190.39,182.2,188.53,192.66,185.76,188.12,190.96,190.24,190.13,191.92,194.09,184.73,184.56,189.69,191.69,188.52,,32,965,33,28.72,
23.06.23 13:51:21,3.78,189.78,192.6,197.5,195.75,198.47,189.65,190.87,193.5,189.33,181.68,187.76,192.14,185.76,186.82,190.96,190.75,189.35,193.51,193.83,184.73,185.06,189.96,193.24,190.3,,32,965,33,28.74,
23.06.23 13:51:36,4.03,188.99,192.07,197.5,195.49,199.81,189.13,190.09,193.24,190.39,181.42,187.24,192.4,186.8,186.56,191.74,191.27,191.44,192.72,194.62,184.46,185.83,189.43,192.98,189.53,,32,965,33,28.78,
23.06.23 13:51:51,4.28,188.72,190.49,196.97,195.75,200.61,190.17,190.09,192.47,189.6,178.31,187.76,196.06,186.8,186.82,193.06,188.95,189.61,191.92,194.88,184.99,186.08,189.69,192.21,189.79,,32,965,33,28.79,
23.06.23 13:52:06,4.53,188.2,190.23,198.56,197.34,199.27,187.31,190.61,196.87,189.07,177.54,188.53,194.23,187.06,184.22,189.65,188.69,188.31,191.66,194.62,185.53,183.79,189.43,192.47,188.26,,32,965,33,28.82,
23.06.23 13:52:21,4.78,188.72,189.45,197.5,195.75,199.81,186.01,189.31,192.98,188.28,178.05,189.31,193.97,186.28,184.22,190.44,190.75,191.44,192.45,195.14,185.79,184.56,189.96,193.5,189.28,,32,965,33,28.83,
23.06.23 13:52:36,5.03,187.41,190.49,198.56,197.34,199.27,186.53,187.5,191.95,189.33,181.94,187.76,191.1,187.58,186.3,188.09,192.05,187.53,193.25,194.88,186.6,184.56,188.65,192.72,188.52,,32,965,33,28.85,
23.06.23 13:52:51,5.28,187.15,193.13,197.76,196.81,200.34,186.53,186.46,192.47,188.28,183.76,188.79,190.58,186.28,185.52,188.09,193.08,187.53,193.51,195.94,186.33,184.3,188.65,191.95,188.01,,32,965,33,28.86,
23.06.23 13:53:06,5.53,187.94,194.45,196.97,193.9,199.81,188.09,189.05,192.47,189.6,185.07,189.31,192.66,187.32,189.17,188.09,192.82,188.05,193.51,196.2,186.06,184.05,187.6,191.95,189.03,,32,965,33,28.9,
23.06.23 13:53:21,5.78,188.46,192.6,198.03,196.01,198.74,186.79,186.72,192.21,189.6,183.76,188.01,192.92,186.28,186.3,188.09,189.98,188.05,190.86,196.46,186.06,183.29,186.82,191.18,188.26,,32,965,33,28.91,
23.06.23 13:53:36,6.03,187.67,193.92,198.82,195.75,201.68,186.27,187.5,192.21,188.28,182.72,186.46,193.44,186.28,186.04,189.39,187.92,187.79,191.92,195.94,184.73,184.05,187.86,192.47,189.53,,32,965,33,28.93,
23.06.23 13:53:51,6.28,187.41,196.57,198.03,193.37,200.88,188.61,188.53,190.92,189.33,182.2,187.76,191.88,184.98,187.86,187.57,189.46,188.31,191.13,197.26,184.2,182.53,187.6,190.92,188.01,,32,965,33,28.96,
23.06.23 13:54:06,6.53,187.94,193.92,197.24,193.9,201.15,188.35,188.27,189.64,189.33,180.38,187.5,194.23,185.76,188.65,187.57,189.72,189.61,191.13,196.73,184.46,182.53,188.12,191.44,188.26,,32,965,33,28.96,
23.06.23 13:54:21,6.78,187.94,192.6,200.15,193.11,200.88,187.57,188.79,189.9,188.01,183.5,186.98,192.92,185.24,188.12,185.49,188.43,188.57,189.81,196.73,183.66,183.54,188.39,190.92,187.25,,32,965,33,29,
23.06.23 13:54:36,7.03,187.41,191.02,199.62,194.69,200.61,187.31,188.79,189.9,190.13,182.46,185.95,194.23,187.06,187.08,186.53,187.92,189.35,190.33,196.99,183.13,184.3,186.3,191.69,187.5,,32,965,33,29.01,
23.06.23 13:54:51,7.28,187.94,190.76,199.09,193.9,202.76,186.79,189.83,189.9,190.92,181.42,185.69,192.14,187.32,185.52,186.01,188.18,189.87,190.07,197.79,181.54,183.54,186.56,191.95,187,,32,965,33,29.03,
23.06.23 13:55:06,7.53,187.67,194.18,199.35,194.69,202.22,187.57,188.53,191.44,191.19,182.98,186.21,190.84,186.54,186.04,185.23,187.66,189.09,189.81,196.99,183.13,183.54,186.82,190.67,187.25,,32,965,33,29.03,
23.06.23 13:55:21,7.78,188.46,197.1,199.35,194.16,201.41,185.75,190.09,190.92,191.19,184.54,184.92,187.22,185.5,185.26,184.71,185.36,188.57,190.33,197.79,182.87,183.03,186.04,191.69,188.52,,32,965,33,29.07,
23.06.23 13:55:37,8.05,188.46,191.55,199.35,194.69,201.68,185.49,190.09,189.13,189.86,184.54,184.66,187.73,186.28,187.6,185.49,182.55,189.61,190.33,197.52,183.66,183.29,186.82,192.98,187.25,,32,965,33,29.08,
23.06.23 13:55:52,8.3,190.3,188.14,200.42,194.16,203.03,190.17,191.91,195.31,189.07,184.28,183.38,186.96,184.21,186.56,185.49,183.57,189.61,189.01,198.05,184.2,184.56,186.82,193.5,187.5,,32,965,33,29.11,
23.06.23 13:56:07,8.55,191.36,186.83,199.88,193.64,201.95,187.83,192.43,193.5,187.75,183.24,184.66,186.44,184.98,187.86,184.97,182.3,188.57,190.07,197.79,184.46,183.03,186.3,193.76,187.5,,32,965,33,29.14,
23.06.23 13:56:22,8.8,191.36,187.09,199.62,194.96,201.41,185.49,190.87,191.44,188.01,180.38,184.15,187.22,183.43,183.44,184.46,182.3,188.05,190.33,198.85,183.13,184.3,186.82,194.02,185.99,,32,965,33,29.14,
23.06.23 13:56:37,9.05,191.1,186.57,198.82,195.49,202.49,186.79,192.69,191.69,185.64,181.68,183.63,187.73,183.43,183.19,185.49,180.52,188.31,191.66,197.52,183.93,184.3,186.04,194.53,185.73,,32,965,33,29.15,
23.06.23 13:56:52,9.3,192.68,185.79,198.82,193.64,202.22,187.57,191.65,191.44,185.64,182.98,183.63,184.9,184.21,181.12,185.75,181.03,188.83,191.66,198.58,183.93,182.78,185.52,193.76,185.23,,32,965,33,29.15,
23.06.23 13:57:07,9.55,193.21,187.61,199.09,195.75,202.76,188.87,190.87,191.18,185.38,182.46,184.66,185.16,183.69,180.35,186.53,181.03,187.79,190.86,198.05,183.93,184.05,185,194.02,185.48,,32,965,33,29.18,
23.06.23 13:57:22,9.8,192.42,185.27,199.88,194.69,203.57,187.83,190.35,190.41,184.06,182.72,182.86,186.44,182.91,180.09,185.23,180.77,190.91,191.39,198.32,183.93,182.27,184.22,192.47,184.98,,32,965,33,29.19,
23.06.23 13:57:37,10.05,193.74,183.19,199.62,194.43,204.1,186.53,189.57,190.67,185.11,183.5,183.12,187.22,182.91,180.09,184.97,180.77,190.65,192.72,199.38,184.73,181.51,185,191.95,184.72,,32,965,33,29.22,
23.06.23 13:57:52,10.3,193.21,183.45,201.21,193.64,203.83,185.49,188.79,190.67,184.06,180.64,184.92,185.41,181.88,180.09,183.94,181.28,188.83,195.11,198.85,183.93,184.05,184.48,194.02,185.73,,32,965,33,29.25,
23.06.23 13:58:07,10.55,193.21,184.23,199.88,191.79,202.49,185.75,189.57,190.92,183.54,180.64,184.4,186.96,182.4,180.09,184.97,182.04,190.91,192.19,198.32,184.46,184.56,185,193.76,186.24,,32,965,33,29.25,
23.06.23 13:58:22,10.8,194.27,184.75,200.42,193.9,203.03,186.27,191.13,188.87,184.06,180.38,183.63,187.22,183.43,179.58,184.71,182.81,189.09,192.45,199.64,184.46,184.3,185.26,192.98,185.23,,32,965,33,29.26,
23.06.23 13:58:37,11.05,194.01,184.49,199.88,194.69,204.37,184.2,190.87,189.38,185.64,182.46,186.46,186.44,183.43,180.35,184.71,183.57,190.65,191.66,198.85,183.93,185.06,184.48,192.47,185.23,,32,965,33,29.29,
23.06.23 13:58:52,11.3,194.01,185.27,201.48,192.84,204.64,182.91,189.83,190.15,184.59,181.16,186.72,188.25,183.43,178.81,184.46,182.55,188.83,190.07,199.64,183.66,184.81,184.48,191.18,184.72,,32,965,33,29.29,
23.06.23 13:59:07,11.55,194.27,185.01,199.88,194.43,203.57,183.42,191.91,191.18,184.06,182.98,189.57,188.77,182.65,180.35,184.46,182.81,188.57,189.28,199.11,183.4,185.32,183.44,190.15,184.72,,32,965,33,29.3,
23.06.23 13:59:22,11.8,194.54,187.35,201.48,194.16,204.91,181.36,193.22,191.95,184.33,181.68,191.91,190.58,183.95,178.04,184.97,183.83,187.27,189.54,199.38,182.6,185.06,183.96,190.67,182.96,,32,965,33,29.33,
23.06.23 13:59:37,12.05,195.34,187.09,201.48,194.16,204.37,181.36,193.74,193.24,183.54,180.38,190.61,190.32,183.43,179.83,184.2,188.18,186.24,190.33,199.11,182.87,184.05,184.22,190.41,184.22,,32,965,33,29.36,
23.06.23 13:59:52,12.3,196.14,188.14,201.48,193.64,204.1,182.13,191.39,192.21,181.71,178.83,189.83,189.03,183.17,178.55,182.65,188.18,186.75,191.13,200.44,183.13,181.77,183.7,190.15,183.21,,32,965,33,29.36,
23.06.23 14:00:07,12.55,195.34,186.05,200.95,194.43,205.18,181.88,189.57,194.27,181.19,177.28,189.57,187.73,183.69,177.01,183.68,187.92,186.75,191.39,199.64,183.13,181.77,184.22,190.41,181.46,,32,965,33,29.39,
23.06.23 14:00:22,12.8,194.01,185.27,201.21,195.22,206.27,183.42,190.87,193.76,182.49,177.54,192.43,188.77,182.65,179.06,183.68,187.92,188.83,190.6,200.44,183.66,182.02,183.96,190.15,181.46,,32,965,33,29.4,
23.06.23 14:00:37,13.05,194.27,184.49,201.48,193.64,204.1,183.42,190.61,192.47,181.97,176.51,192.43,189.03,183.17,175.99,183.42,186.38,189.09,189.54,200.44,183.4,180.75,184.48,190.15,180.21,,32,965,33,29.4,
23.06.23 14:00:52,13.3,194.27,184.23,201.48,193.9,206.81,184.71,191.91,193.76,179.62,177.54,195.31,187.73,182.4,177.01,182.65,184.85,189.35,190.33,199.91,183.13,182.02,183.44,190.67,179.96,,32,965,33,29.43,
23.06.23 14:01:07,13.55,194.8,183.71,201.21,192.84,206.81,185.75,190.35,194.79,180.67,176.77,195.05,187.22,182.91,180.35,182.65,184.34,189.35,189.54,200.17,183.93,182.78,183.7,191.44,179.71,,32,965,33,29.43,
23.06.23 14:01:22,13.8,193.74,184.23,200.42,193.37,207.08,185.23,191.13,195.83,180.93,176.77,191.65,186.44,182.14,179.58,184.46,184.08,189.61,190.33,200.17,183.4,183.54,182.93,191.44,181.71,,32,965,33,29.43,
23.06.23 14:01:37,14.05,194.01,181.38,202.55,191.79,204.64,183.94,190.09,194.27,180.67,176.51,192.43,187.47,182.65,179.06,183.68,186.89,190.65,190.33,199.91,182.87,184.56,183.44,191.95,180.21,,32,965,33,29.47,
23.06.23 14:01:52,14.3,194.8,181.38,200.95,192.06,206,184.46,191.39,196.09,180.41,177.8,194.26,186.44,184.21,180.35,184.71,186.12,190.39,190.6,199.91,183.4,184.56,183.96,192.47,180.46,,32,965,33,29.49,
23.06.23 14:02:07,14.55,194.01,181.13,201.48,190.22,206.81,182.65,189.57,194.27,179.36,177.8,192.17,186.19,183.17,176.5,183.16,181.54,189.09,190.6,200.71,184.46,184.81,181.64,192.21,179.96,,32,965,33,29.5,
23.06.23 14:02:22,14.8,195.07,183.45,200.95,189.69,207.89,183.94,189.05,194.79,179.89,178.57,194.79,186.96,183.69,177.78,182.65,180.27,189.87,191.39,199.38,184.2,187.62,183.7,192.72,179.96,,32,965,33,29.53,
23.06.23 14:02:37,15.05,194.8,182.93,201.75,190.48,204.91,184.46,188.79,195.57,179.11,181.16,194,186.7,182.65,181.12,181.1,180.02,189.09,192.19,200.44,183.93,187.62,181.89,192.47,180.96,,32,965,33,29.51,
23.06.23 14:02:52,15.3,193.48,183.71,201.21,189.96,207.35,186.79,188.53,192.72,179.36,183.24,194.53,184.9,181.37,177.27,182.39,179,189.61,190.6,201.51,186.06,184.81,181.38,192.21,180.71,,32,965,33,29.54,
23.06.23 14:03:07,15.55,194.8,184.23,201.48,190.48,207.89,185.75,188.27,193.76,179.11,181.94,195.84,188.25,181.11,179.32,181.1,177.49,191.7,191.39,200.44,184.73,184.3,180.86,192.47,179.71,,32,965,33,29.54,
23.06.23 14:03:22,15.8,195.07,182.42,202.55,190.48,207.62,183.68,187.5,193.24,178.33,182.46,195.31,190.06,180.6,177.01,180.08,177.49,191.96,189.54,200.71,184.46,183.54,180.61,192.21,179.21,,32,965,33,29.57,
23.06.23 14:03:37,16.05,195.87,184.23,202.28,189.69,205.72,182.39,187.76,194.02,178.59,181.16,196.1,190.32,179.06,175.48,182.39,177.24,190.65,189.28,200.71,183.66,182.78,180.61,192.47,178.71,,32,965,33,29.58,
23.06.23 14:03:52,16.3,195.87,184.75,200.95,190.22,207.35,185.23,187.24,194.02,178.07,180.64,197.42,190.32,178.8,177.01,182.65,180.27,191.7,189.54,200.97,184.99,184.3,181.89,191.69,178.46,,32,965,33,29.6,
23.06.23 14:04:07,16.55,194.8,183.71,200.95,189.96,207.89,184.2,186.72,194.02,177.29,184.54,193.22,187.22,179.82,177.01,181.1,178.75,188.57,189.54,200.97,184.2,183.79,181.64,192.47,178.46,,32,965,33,29.61,
23.06.23 14:04:22,16.8,195.34,185.01,203.35,191,207.89,182.91,187.24,192.98,179.89,182.72,191.39,186.96,180.08,177.27,182.91,179.51,188.83,190.86,201.24,184.46,183.54,180.61,191.95,178.96,,32,965,33,29.61,
23.06.23 14:04:37,17.05,194.27,183.45,202.28,189.69,209.25,181.36,188.01,193.24,178.33,181.94,192.43,186.7,179.06,179.83,183.94,180.77,190.13,187.96,200.71,184.2,183.79,179.58,193.24,178.21,,32,965,33,29.64,
23.06.23 14:04:52,17.3,194.8,182.93,202.55,189.17,206.54,181.1,187.5,193.76,179.11,180.38,192.69,186.96,180.85,177.01,182.65,180.52,189.87,187.17,202.04,183.4,183.29,178.29,194.27,177.71,,32,965,33,29.64,
23.06.23 14:05:07,17.55,194.8,184.23,202.81,188.91,207.08,181.88,188.79,194.27,179.36,180.38,190.87,185.93,181.37,174.46,182.65,181.28,190.39,186.91,202.04,184.73,183.29,178.55,194.02,177.96,,32,965,33,29.65,
23.06.23 14:05:22,17.8,194.8,185.79,202.01,189.96,207.89,180.08,190.61,193.24,180.41,181.94,189.83,184.9,182.4,174.71,183.42,181.28,188.57,187.17,201.51,184.2,184.56,177.78,192.72,177.71,,32,965,33,29.65,
23.06.23 14:05:37,18.05,194.54,186.57,203.08,191,207.35,181.88,191.13,193.24,179.11,179.6,189.31,185.41,181.37,175.73,182.13,180.77,188.57,187.7,201.77,183.4,183.29,176.5,192.47,178.21,,32,965,33,29.68,
23.06.23 14:05:52,18.3,195.6,187.35,201.75,188.91,208.44,179.05,188.79,194.79,178.59,180.12,190.09,186.96,180.34,172.43,182.91,181.03,187.79,187.7,202.31,183.66,183.54,178.55,192.21,177.71,,32,965,33,29.72,
23.06.23 14:06:07,18.55,194.27,185.53,202.55,186.82,207.62,177.01,189.57,193.24,177.29,180.9,188.01,187.47,181.88,172.68,182.39,181.54,188.83,187.17,201.77,183.66,183.79,179.83,194.02,178.96,,32,965,33,29.72,
23.06.23 14:06:22,18.8,195.07,185.27,202.55,188.65,209.52,179.05,190.87,192.47,177.03,179.6,186.46,185.93,181.62,174.21,184.2,183.06,187.53,185.86,203.64,183.4,184.05,179.83,195.05,179.96,,32,965,33,29.72,
23.06.23 14:06:37,19.05,193.74,183.71,204.69,189.69,209.25,178.28,191.91,191.95,178.07,177.8,186.98,187.47,181.37,177.78,183.16,183.32,186.24,186.12,201.51,182.87,185.32,179.83,194.53,179.96,,32,965,33,29.74,
23.06.23 14:06:52,19.3,192.95,183.97,204.15,188.12,208.71,177.26,193.22,190.92,177.81,177.54,186.98,187.22,182.91,176.76,183.68,180.52,187.01,188.22,202.84,183.13,186.59,179.32,193.24,180.21,,32,965,33,29.75,
23.06.23 14:07:07,19.55,193.48,185.53,203.88,187.6,207.08,179.05,192.17,190.67,177.81,176.25,187.5,187.99,181.37,174.97,184.71,180.02,186.5,188.22,202.31,183.4,186.85,179.06,192.72,179.96,,32,965,33,29.76,
23.06.23 14:07:22,19.8,192.68,186.83,203.88,187.6,208.16,178.8,192.69,190.67,176,174.45,187.76,188.77,182.65,177.27,183.42,180.77,185.98,188.49,203.11,184.2,188.13,179.32,192.21,178.71,,32,965,33,29.76,
23.06.23 14:07:37,20.05,194.01,187.88,204.42,188.12,209.8,176.24,190.87,189.38,176.51,175.48,188.27,189.28,183.69,174.46,183.42,180.77,185.2,190.07,202.04,183.4,188.38,180.61,191.95,179.21,,32,965,33,29.76,
23.06.23 14:07:52,20.3,193.48,187.35,204.42,186.56,207.89,177.01,190.09,188.36,178.07,174.71,187.24,187.73,183.17,175.48,183.68,179.76,184.43,188.22,202.84,184.46,188.38,180.09,192.47,179.71,,32,965,33,29.79,
23.06.23 14:08:07,20.55,192.95,186.57,204.69,188.91,210.07,176.5,189.05,188.36,177.81,177.54,187.76,189.28,184.46,175.73,182.13,179.51,184.43,189.81,203.38,184.46,188.38,179.83,191.69,179.71,,32,965,33,29.79,
23.06.23 14:08:22,20.8,192.95,183.97,205.49,188.91,208.71,175.23,189.57,188.87,176.77,176.77,185.95,189.8,183.95,174.97,182.65,179.51,184.94,189.01,202.84,183.4,187.62,181.12,192.47,178.96,,32,965,33,29.83,
23.06.23 14:08:37,21.05,193.21,182.68,204.95,187.6,207.89,176.5,188.53,188.87,177.03,175.74,186.72,190.06,182.14,174.97,183.68,180.02,183.14,187.7,203.64,183.93,187.11,180.86,192.98,176.47,,32,965,33,29.83,
