Tube.ID,Number.Larvae,Parent,Date
F1,28,Wildtype,20230622
F2,24,Wildtype,20230622
F3,30,Wildtype,20230622
F4,20,Wildtype,20230622
F5,23,Wildtype,20230622
F6,20,Wildtype,20230622
F7,22,Nonbleached,20230622
F8,26,Nonbleached,20230622
F9,24,Nonbleached,20230622
F10,23,Nonbleached,20230622
F11,28,Nonbleached,20230622
F12,24,Nonbleached,20230622
F13,22,Bleached,20230622
F14,20,Bleached,20230622
F15,25,Bleached,20230622
F16,23,Bleached,20230622
F17,21,Bleached,20230622
F18,25,Bleached,20230622
F19,50,Wildtype,20230623
F20,28,Wildtype,20230623
F21,31,Wildtype,20230623
F22,29,Wildtype,20230623
F23,16,Wildtype,20230623
F24,32,Wildtype,20230623
F25,34,Bleached,20230623
F26,23,Bleached,20230623
F27,39,Bleached,20230623
F28,25,Bleached,20230623
F29,15,Bleached,20230623
F30,28,Bleached,20230623
F31,40,Nonbleached,20230623
F32,31,Nonbleached,20230623
F33,31,Nonbleached,20230623
F34,47,Nonbleached,20230623
F35,36,Nonbleached,20230623
F36,26,Nonbleached,20230623
F37,65,Wildtype,20230624
F38,73,Wildtype,20230624
F39,63,Wildtype,20230624
F40,78,Wildtype,20230624
F41,78,Wildtype,20230624
F42,38,Wildtype,20230624
F43,83,Nonbleached,20230624
F44,42,Nonbleached,20230624
F45,66,Nonbleached,20230624
F46,53,Nonbleached,20230624
F47,68,Nonbleached,20230624
F48,40,Nonbleached,20230624
F49,61,Bleached,20230624
F50,89,Bleached,20230624
F51,51,Bleached,20230624
F52,91,Bleached,20230624
F53,68,Bleached,20230624
F54,100,Bleached,20230624
F55,14,Wildtype,20230626
F56,19,Wildtype,20230626
F57,13,Wildtype,20230626
F58,20,Wildtype,20230626
F59,19,Wildtype,20230626
F60,18,Wildtype,20230626
F61,25,Nonbleached,20230626
F62,20,Nonbleached,20230626
F63,23,Nonbleached,20230626
F64,28,Nonbleached,20230626
F65,20,Nonbleached,20230626
F66,32,Nonbleached,20230626
F67,20,Bleached,20230626
F68,22,Bleached,20230626
F69,24,Bleached,20230626
F70,20,Bleached,20230626
F71,20,Bleached,20230626
F72,32,Bleached,20230626
F73,28,Bleached,20230627
F74,23,Bleached,20230627
F75,44,Bleached,20230627
F76,25,Bleached,20230627
F77,29,Bleached,20230627
F78,43,Bleached,20230627
F79,49,Wildtype,20230627
F80,74,Wildtype,20230627
F81,47,Wildtype,20230627
F82,78,Wildtype,20230627
F83,115,Wildtype,20230627
F84,61,Wildtype,20230627
F85,71,Nonbleached,20230627
F86,46,Nonbleached,20230627
F87,56,Nonbleached,20230627
F88,47,Nonbleached,20230627
F89,86,Nonbleached,20230627
F90,75,Nonbleached,20230627
