Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
26.06.23 12:42:02,4.03,168.81,169.29,164.34,170.71,169.2,174.84,169.16,169.01,171.19,159.98,165.85,167.68,157.19,153.05,162.95,171.67,167.66,159.28,181.47,174.48,160.44,183.37,165.72,166.55,,36,965,33,31.83,
26.06.23 12:42:17,4.28,168.57,169.76,164.8,171.65,168.24,175.31,168.23,168.55,170.95,160.91,167.23,167.23,157.19,153.28,163.42,172.14,167.43,159.05,181.47,174.73,160.67,183.37,166.65,167.7,,36,965,33,31.85,
26.06.23 12:42:32,4.53,170.25,168.82,164.57,171.18,168.24,176.02,169.16,169.01,172.16,160.91,167.45,164.48,158.58,154.2,163.42,172.14,168.61,159.75,182.43,173.73,161.6,183.86,162.95,169.54,,36,965,33,31.86,
26.06.23 12:42:47,4.78,170.73,168.82,166.19,173.78,165.87,176.26,170.32,169.92,174.82,159.51,167.68,165.17,156.73,154.66,163.42,172.83,170.49,159.52,182.68,173.98,158.82,185.33,162.72,166.09,,36,965,33,31.9,
26.06.23 12:43:02,5.03,171.46,169.53,164.8,170.94,164.21,176.73,168.46,171.76,175.55,159.75,169.52,165.17,157.42,154.66,163.88,173.53,172.62,159.28,182.92,171.5,158.59,185.09,162.72,165.87,,36,965,33,31.93,
26.06.23 12:43:17,5.28,171.94,170.23,165.73,171.65,164.21,176.26,168.23,171.99,173.36,159.28,169.75,168.6,158.82,153.97,164.11,173.77,172.15,160.22,183.16,170.52,158.36,185.33,164.79,164.72,,36,965,33,31.93,
26.06.23 12:43:32,5.53,171.21,170.71,165.96,171.89,164.69,177.2,169.39,172.45,173.85,159.28,168.83,168.14,159.28,153.05,166.66,174,170.73,160.93,183.64,172.74,158.82,185.82,165.95,165.41,,36,965,33,31.97,
26.06.23 12:43:47,5.78,171.46,170.23,165.5,171.89,165.63,177.68,170.09,172.22,173.12,159.05,168.83,164.71,159.05,153.05,165.5,173.53,171.68,159.99,184.13,171.75,158.36,186.56,161.57,164.72,,36,965,33,31.99,
26.06.23 12:44:02,6.03,170.73,170.47,165.04,171.18,163.74,177.2,168.46,172.22,173.61,158.58,169.06,165.62,159.51,152.59,166.66,174.94,169.55,159.28,184.13,171.75,157.66,185.82,165.95,163.58,,36,965,33,32.01,
26.06.23 12:44:17,6.28,171.21,170.94,165.27,169.53,164.21,177.44,168,172.68,174.09,159.51,169.52,165.62,158.58,151.68,165.96,175.17,171.2,160.22,184.86,170.76,158.82,186.31,166.18,162.67,,36,965,33,32.05,
26.06.23 12:44:32,6.53,172.67,172.36,166.66,169.06,163.27,178.15,168.23,174.53,175.06,159.75,169.52,166.31,159.51,152.59,165.96,175.64,173.34,161.63,185.83,172,159.97,187.79,164.33,162.67,,36,965,33,32.08,
26.06.23 12:44:47,6.78,172.18,172.12,166.43,168.35,162.09,177.68,167.07,173.14,175.06,159.75,170.91,164.71,159.28,153.74,165.96,173.77,169.08,160.22,186.08,171.5,159.28,186.31,164.33,161.99,,36,965,33,32.1,
26.06.23 12:45:02,7.03,170.25,172.12,168.52,168.35,162.09,178.39,168.46,172.68,177.01,159.98,170.68,163.35,159.98,153.74,165.27,173.3,170.02,160.93,186.08,172.25,156.97,186.81,163.18,161.99,,36,965,33,32.11,
26.06.23 12:45:17,7.28,170.25,172.12,166.19,167.65,163.03,178.15,167.07,172.68,175.06,161.61,169.52,164.48,159.05,156.27,165.27,172.6,170.97,160.46,186.32,172.99,156.97,187.3,165.25,162.44,,36,965,33,32.14,
26.06.23 12:45:32,7.53,170.01,170.94,166.19,168.35,163.03,178.87,167.07,172.45,176.76,161.85,170.21,168.37,158.35,156.04,164.8,173.77,171.2,159.52,186.08,172.49,158.12,188.04,165.72,162.9,,36,965,33,32.18,
26.06.23 12:45:47,7.78,170.25,170.23,166.19,168.12,163.51,178.39,167.3,172.91,176.76,160.68,171.6,164.48,158.82,155.12,164.11,172.6,171.91,160.22,186.81,172.99,156.51,188.28,165.72,161.54,,36,965,33,32.19,
26.06.23 12:46:02,8.03,169.29,170,166.89,169.29,162.8,178.39,167.53,172.91,176.76,163.72,170.91,163.57,158.35,154.2,164.57,173.07,171.68,162.58,187.3,172.74,156.51,187.05,164.33,161.99,,36,965,33,32.22,
26.06.23 12:46:17,8.28,170.97,170.94,167.36,168.59,162.33,178.87,168,172.45,174.58,165.6,170.21,164.48,159.51,153.97,165.5,173.3,170.02,159.99,188.03,172.25,156.51,187.79,164.33,162.44,,36,965,33,32.25,
26.06.23 12:46:32,8.53,170.73,170.71,167.36,169.06,162.09,178.87,168,172.68,176.52,163.48,170.44,165.4,159.75,153.97,164.34,173.3,170.26,159.28,188.28,172.49,156.28,188.53,161.57,163.13,,36,965,33,32.28,
26.06.23 12:46:47,8.78,172.18,171.65,166.43,169.76,161.86,179.34,168.92,173.61,177.25,163.25,170.68,164.71,161.38,152.82,163.88,173.07,169.78,158.81,187.54,172.49,156.28,188.53,160.88,163.13,,36,965,33,32.3,
26.06.23 12:47:03,9.05,172.67,169.06,165.96,169.53,161.62,178.87,170.32,174.07,176.03,161.61,172.53,163.8,157.42,151.9,164.11,174.47,174.53,157.64,188.28,173.98,155.59,188.28,160.65,162.67,,36,965,33,32.33,
