sample,analysis_type_uid,PC1,PC2,PC3
C31-C17d-C21-C31al-C21ac-C31.1-C31a-C17e-C31.10,794667,-0.1019575179213718,0.008052858240357513,0.0
C31-C17d-C21-C31al-C21ac,793085,-0.0899024819270111,-0.008397394870406135,0.0
C15,793301,0.1918599998483829,0.00034453663004843595,0.0
proportion_explained,0,0.9975554884293173,0.0024445115706826096,0.0
