sample,analysis_type_uid,PC1,PC2,PC3
C31-C17d-C21-C31al-C21ac-C31.1-C31a-C17e-C31.10,794667,0.33084500042240317,0.1219601215951361,0.0
C15,793301,-0.6616900008448066,7.659546687067172e-17,0.0
C31-C17d-C21-C31al-C21ac,793085,0.3308450004224032,-0.12196012159513595,0.0
proportion_explained,0,0.9566663006200101,0.043333699379989876,0.0
