sample,analysis_type_uid,PC1,PC2,PC3
C31-C17d-C21-C31al-C21ac-C31.1-C31a-C17e-C31.10,794667,-0.09866835773173765,-0.005337646133103026,0.0
C31-C17d-C21-C31al-C21ac,793085,-0.09327474460653172,0.005438583709589745,0.0
C15,793301,0.19194310233826936,-0.00010093757648589111,0.0
proportion_explained,0,0.9989504301295663,0.001049569870433718,0.0
