"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"    [#0522] FA 30:6","","","","","",""
"    [#0523] FA 30:7","","","","","",""
"    [#0524] FA 32:1","","","","","",""
"    [#0525] FA 32:7","","","","","",""
"    [#0526] FA 32:9","","","","","",""
"    [#0527] FA 34:7","","","","","",""
"    [#0528] FA 36:10","","","","","",""
"    [#0529] FA 36:8","","","","","",""
"    [#0530] FA 38:0","","","","","",""
"    [#0531] FA 40:8","","","","","",""
"LION:0001742","fatty acids and conjugates [FA01]","55","34","19.94","6.9e-05","0.003335"
"    [#0477] FA 14:0","","","","","",""
"    [#0478] FA 14:0;O","","","","","",""
"    [#0479] FA 14:1","","","","","",""
"    [#0480] FA 15:0","","","","","",""
"    [#0481] FA 15:4","","","","","",""
"    [#0482] FA 16:0","","","","","",""
"    [#0483] FA 16:1","","","","","",""
"    [#0484] FA 16:2","","","","","",""
"    [#0485] FA 17:0","","","","","",""
"    [#0486] FA 17:1","","","","","",""
"    [#0487] FA 18:0","","","","","",""
"    [#0488] FA 18:0;O2","","","","","",""
"    [#0489] FA 18:1","","","","","",""
"    [#0490] FA 18:1;O","","","","","",""
"    [#0491] FA 18:2","","","","","",""
"    [#0492] FA 18:2;O","","","","","",""
"    [#0493] FA 18:2;O2","","","","","",""
"    [#0494] FA 18:3","","","","","",""
"    [#0495] FA 18:4","","","","","",""
"    [#0496] FA 19:0","","","","","",""
"    [#0497] FA 19:1","","","","","",""
"    [#0498] FA 19:5","","","","","",""
"    [#0499] FA 20:0","","","","","",""
"    [#0500] FA 20:1","","","","","",""
"    [#0501] FA 20:2","","","","","",""
"    [#0502] FA 20:3","","","","","",""
"    [#0503] FA 20:4","","","","","",""
"    [#0504] FA 20:5","","","","","",""
"    [#0505] FA 21:0","","","","","",""
"    [#0506] FA 22:0","","","","","",""
"    [#0507] FA 22:1","","","","","",""
"    [#0508] FA 22:2","","","","","",""
"    [#0509] FA 22:3","","","","","",""
"    [#0510] FA 22:4","","","","","",""
"    [#0511] FA 22:5","","","","","",""
"    [#0512] FA 22:6","","","","","",""
"    [#0513] FA 23:0","","","","","",""
"    [#0514] FA 24:0","","","","","",""
"    [#0515] FA 25:0","","","","","",""
"    [#0516] FA 26:0","","","","","",""
"    [#0517] FA 27:0","","","","","",""
"    [#0518] FA 28:0","","","","","",""
"    [#0519] FA 28:6","","","","","",""
"    [#0520] FA 28:7","","","","","",""
"    [#0521] FA 30:0","","","","","",""
"    [#0522] FA 30:6","","","","","",""
