sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
200344	R55	HP801_S1_L001_R1_001.fastq.gz	1f7bf02de4a4459bf9a10dbff6b9ccb544c12fedb558cb830795338518deffb3	HP801_S1_L001_R2_001.fastq.gz	4f27b8fcbe6b8bed7418dd3f0a434ee075376ee03fde49874d90bdf4a9331d8f	996	20240621T165725_huffmar1	255701	43695	782	43358	778	337	4	0	0	39957	25	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200349	R60	HP806_S61_L001_R1_001.fastq.gz	c92dbd71cc51171b41d747bd65dcb2045461c69759e8626c0838ab4ceba8cc4f	HP806_S61_L001_R2_001.fastq.gz	f3de4e7971b2bfdb99cc8c846492561bcbba0c5fe23de9b9307e4bbc69a3fb4b	996	20240621T165725_huffmar1	175822	63217	1084	62668	1077	549	7	0	0	58052	30	0	0	304	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200345	R56	HP802_S13_L001_R1_001.fastq.gz	44a76ca778520718793d432ec779162cb5cfc46089ffe3cbfd02368e061fb229	HP802_S13_L001_R2_001.fastq.gz	e234cea68ee96bb5586ca20ae3570a7ea35998481de1c7c3f8d1b271940a6497	996	20240621T165725_huffmar1	156294	54038	973	53560	966	478	7	0	0	49324	36	0	0	275	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200346	R57	HP803_S25_L001_R1_001.fastq.gz	29ef3754224a1fc321c58b9839f65c2e11d08a132636211af1f0fbb1c5e34800	HP803_S25_L001_R2_001.fastq.gz	52cc58cb27d603d665e25eb315de784ae43ae3df48b6332e45e0c0e9051005e5	996	20240621T165725_huffmar1	152087	55531	1033	55190	1026	341	7	0	0	51192	37	0	0	293	4	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200347	R58	HP804_S37_L001_R1_001.fastq.gz	8f35a7e4355f17cc7915f4a7685ade573aaaab76676b232848a00fdd8347d595	HP804_S37_L001_R2_001.fastq.gz	d598e864fbc43ed68c7f4014405211fe73d0dee82c001ba452c603760ff41a8a	996	20240621T165725_huffmar1	186283	63765	1121	63244	1111	521	10	0	0	57323	30	0	0	299	13	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200348	R59	HP805_S49_L001_R1_001.fastq.gz	faf7cf35affe99e6f0079937e411000efaf570fd640e4b722bb2a6ea5ca5245c	HP805_S49_L001_R2_001.fastq.gz	60b558660ff4e0834a4850ef153669a69694caea0c2cace56a5a19cf92e9b8ec	996	20240621T165725_huffmar1	101992	36934	724	36515	718	419	6	0	0	33247	31	0	0	242	4	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200359	R70	HP816_S86_L001_R1_001.fastq.gz	3998f278829089f10d0750a1f8aa7c067347a84cc9403c6b04de61ba856086fc	HP816_S86_L001_R2_001.fastq.gz	ba88d43b65c9fef7c0def969513ccbea9684104e194a1d42c01886800f763831	996	20240621T165725_huffmar1	51219	3042	98	3000	96	42	2	0	0	2862	34	0	0	16	9	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200358	R69	HP815_S74_L001_R1_001.fastq.gz	aff669f742014c64b635ecddecca89f59b427490b2f150fc659d75b3a25e6049	HP815_S74_L001_R2_001.fastq.gz	f286f0a231a58dd3331a23ce77646faa749b852fdf4622bc76f5a7755b648ac5	996	20240621T165725_huffmar1	64683	14546	380	14259	372	287	8	0	0	13163	52	0	0	55	52	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200354	R65	HP811_S26_L001_R1_001.fastq.gz	59b6830169e286170d38ecb7d5bfc0e83cc54364df97c9447e23ec6f2bc784f2	HP811_S26_L001_R2_001.fastq.gz	f17073e0feca169f1ca2be511ed680fa1b1b6cc9befd8a8e2301f35d7bf5dab8	996	20240621T165725_huffmar1	180316	25868	464	25814	460	54	4	0	0	24087	40	0	6	102	50	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200361	R72	HP818_S15_L001_R1_001.fastq.gz	9b16182c0cd6e10c0723cf2a3878268d990e543cef439b4ac2ff750047719bc0	HP818_S15_L001_R2_001.fastq.gz	dacc68c0e9ffdf8359a0c8f5dbfa99c97fb3d54775b484feec109845b44aa073	996	20240621T165725_huffmar1	72561	25820	567	25582	561	238	6	0	0	23708	47	0	0	0	105	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
