sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
200344	R55	HP801_S1_L001_R1_001.fastq.gz	1f7bf02de4a4459bf9a10dbff6b9ccb544c12fedb558cb830795338518deffb3	HP801_S1_L001_R2_001.fastq.gz	4f27b8fcbe6b8bed7418dd3f0a434ee075376ee03fde49874d90bdf4a9331d8f	996	20240621T165725_huffmar1	6.399404359686663	1.093550566859374	0.01957103886678179	1.0851165002377556	0.019470931251094926	0.00843406662161824	0.00010010761568686337	0.0	0.0	1.0	0.0006256725980428961	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200349	R60	HP806_S61_L001_R1_001.fastq.gz	c92dbd71cc51171b41d747bd65dcb2045461c69759e8626c0838ab4ceba8cc4f	HP806_S61_L001_R2_001.fastq.gz	f3de4e7971b2bfdb99cc8c846492561bcbba0c5fe23de9b9307e4bbc69a3fb4b	996	20240621T165725_huffmar1	3.028698408323572	1.0889719561772204	0.0186729139392269	1.079514917660029	0.018552332391648867	0.009457038517191483	0.00012058154757803348	0.0	0.0	1.0	0.000516778061048715	0	0	0.005236684351960312	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200345	R56	HP802_S13_L001_R1_001.fastq.gz	44a76ca778520718793d432ec779162cb5cfc46089ffe3cbfd02368e061fb229	HP802_S13_L001_R2_001.fastq.gz	e234cea68ee96bb5586ca20ae3570a7ea35998481de1c7c3f8d1b271940a6497	996	20240621T165725_huffmar1	3.1687211093990757	1.0955721352688346	0.019726705052307194	1.0858811126429324	0.01958478631092369	0.009691022625902197	0.00014191874138350498	0.0	0.0	1.0	0.0007298678128294542	0	0	0.005575379125780553	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200346	R57	HP803_S25_L001_R1_001.fastq.gz	29ef3754224a1fc321c58b9839f65c2e11d08a132636211af1f0fbb1c5e34800	HP803_S25_L001_R2_001.fastq.gz	52cc58cb27d603d665e25eb315de784ae43ae3df48b6332e45e0c0e9051005e5	996	20240621T165725_huffmar1	2.9709134239724957	1.0847593373964681	0.020178934208470074	1.0780981403344272	0.020042194092827006	0.006661197062040944	0.00013674011564306923	0.0	0.0	1.0	0.0007227691826847945	0	0	0.005723550554774183	7.81372089388967e-05	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200347	R58	HP804_S37_L001_R1_001.fastq.gz	8f35a7e4355f17cc7915f4a7685ade573aaaab76676b232848a00fdd8347d595	HP804_S37_L001_R2_001.fastq.gz	d598e864fbc43ed68c7f4014405211fe73d0dee82c001ba452c603760ff41a8a	996	20240621T165725_huffmar1	3.249707796172566	1.1123807197808908	0.0195558501823003	1.1032918723723462	0.019381400136071036	0.009088847408544563	0.00017445004622926224	0.0	0.0	1.0	0.0005233501386877867	0	0	0.005216056382254941	0.00022678506009804093	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200348	R59	HP805_S49_L001_R1_001.fastq.gz	faf7cf35affe99e6f0079937e411000efaf570fd640e4b722bb2a6ea5ca5245c	HP805_S49_L001_R2_001.fastq.gz	60b558660ff4e0834a4850ef153669a69694caea0c2cace56a5a19cf92e9b8ec	996	20240621T165725_huffmar1	3.0677053568743045	1.110897223809667	0.021776400878274732	1.098294582969892	0.021595933467681294	0.012602640839775017	0.000180467410593437	0.0	0.0	1.0	0.0009324149547327578	0	0	0.0072788522272686255	0.00012031160706229134	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200359	R70	HP816_S86_L001_R1_001.fastq.gz	3998f278829089f10d0750a1f8aa7c067347a84cc9403c6b04de61ba856086fc	HP816_S86_L001_R2_001.fastq.gz	ba88d43b65c9fef7c0def969513ccbea9684104e194a1d42c01886800f763831	996	20240621T165725_huffmar1	17.89622641509434	1.0628930817610063	0.03424178895877009	1.0482180293501049	0.033542976939203356	0.014675052410901468	0.0006988120195667365	0.0	0.0	1.0	0.011879804332634521	0	0	0.005590496156533892	0.0031446540880503146	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200358	R69	HP815_S74_L001_R1_001.fastq.gz	aff669f742014c64b635ecddecca89f59b427490b2f150fc659d75b3a25e6049	HP815_S74_L001_R2_001.fastq.gz	f286f0a231a58dd3331a23ce77646faa749b852fdf4622bc76f5a7755b648ac5	996	20240621T165725_huffmar1	4.914001367469422	1.1050672339132417	0.02886879890602446	1.0832636936868496	0.02826103471852921	0.021803540226392158	0.0006077641874952519	0.0	0.0	1.0	0.003950467218719137	0	0	0.004178378789029856	0.0039504672187191375	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200354	R65	HP811_S26_L001_R1_001.fastq.gz	59b6830169e286170d38ecb7d5bfc0e83cc54364df97c9447e23ec6f2bc784f2	HP811_S26_L001_R2_001.fastq.gz	f17073e0feca169f1ca2be511ed680fa1b1b6cc9befd8a8e2301f35d7bf5dab8	996	20240621T165725_huffmar1	7.4860298086104535	1.0739402997467513	0.019263503134470877	1.0716984265371363	0.01909743845227716	0.0022418732096151452	0.00016606468219371444	0.0	0.0	1.0	0.0016606468219371444	0	0.00024909702329057166	0.0042346493959397186	0.0020758085274214305	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
200361	R72	HP818_S15_L001_R1_001.fastq.gz	9b16182c0cd6e10c0723cf2a3878268d990e543cef439b4ac2ff750047719bc0	HP818_S15_L001_R2_001.fastq.gz	dacc68c0e9ffdf8359a0c8f5dbfa99c97fb3d54775b484feec109845b44aa073	996	20240621T165725_huffmar1	3.0606124514931667	1.0890838535515437	0.023915977729036614	1.0790450480850347	0.023662898599628817	0.010038805466509195	0.00025307912940779483	0.0	0.0	1.0	0.0019824531803610598	0	0	0	0.00442888476463641	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1
