sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B2ah	B2aa	4130800_B	B2	C31	C17d	C21	C31al	C21ac	C31a	C31.1	C17i	C17e	C31j	C31.10	C17	C21bk	C17f	C31w	C31.9	C21bm	C31f	C31o	C31p	C17k	C21k	480050_C	C31ae	C31l	C15	C17m	C31b	C21bl	C21aj	C31k	C21ar	C31i	C17n	C15eo	C31g	C31ad	C93a	C3	456047_C	C15sj	C31h	71011_C	C31.5	C31ac	1249193_C	D1	D4	D6	D1ab	D17d	D3h	D17j	D4d	D1dg	D17al	D1r	D5m	D10b	D17e	D17c	15655_D	D17k	D1dh	D17l	946_D	70955_D	D17	D2p	D1.6	10612_D	10616_D	D2.2	15659_D	4130801_D	104877_D
200344	R55	HP801_S1_L001_R1_001.fastq.gz	1f7bf02de4a4459bf9a10dbff6b9ccb544c12fedb558cb830795338518deffb3	HP801_S1_L001_R2_001.fastq.gz	4f27b8fcbe6b8bed7418dd3f0a434ee075376ee03fde49874d90bdf4a9331d8f	996	20240621T165725_huffmar1	6.399404359686663	1.093550566859374	0.01957103886678179	1.0851165002377556	0.019470931251094926	0.00843406662161824	0.00010010761568686337	0.0	0.0	1.0	0.0006256725980428961	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.3174412493430438	0.25547463523287534	0.08381510123382636	0.05771204044347674	0.027679755737417724	0.029731961858998422	0.03168406036489226	0.016517756588332457	0.0233751282628826	0.02107265310208474	0.015216357584403234	0.01156242961183272	0.013464474309883125	0.01301399003929224	0.00848412042946167	0.005756187901994644	0.01036113822359036	0.011762644843206447	0	0	0.0050554345921866	0.005631053382386065	0	0.006281752884350677	0.009960707760842907	0	0	0.008809470180443977	0	0.004805165552969442	0	0.005330730535325475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200349	R60	HP806_S61_L001_R1_001.fastq.gz	c92dbd71cc51171b41d747bd65dcb2045461c69759e8626c0838ab4ceba8cc4f	HP806_S61_L001_R2_001.fastq.gz	f3de4e7971b2bfdb99cc8c846492561bcbba0c5fe23de9b9307e4bbc69a3fb4b	996	20240621T165725_huffmar1	3.028698408323572	1.0889719561772204	0.0186729139392269	1.079514917660029	0.018552332391648867	0.009457038517191483	0.00012058154757803348	0.0	0.0	1.0	0.000516778061048715	0	0	0.005236684351960312	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	8.612967684145249e-05	0.31189278577826773	0.24049128367670364	0.08452766485220148	0.0580169503204024	0.02487425067181148	0.027906015296630608	0.03800041342244884	0.018190587748914765	0.025494384345069936	0.01832839523186109	0.02838834148694274	0.010146075931923104	0.010800661475918143	0.009870460966030456	0.00864741955488183	0	0.009698201612347551	0.013642940811686075	0.006821470405843038	0.008440708330462345	0.007527733755942948	0	0.005236684351960312	0.006666436987528423	0.010318335285606009	0	0	0.010662853992971818	0	0	0	0.004530421001860401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034451870736580995	0	0.00022393715978777647	0	0	0.00013780748294632398	0	8.612967684145249e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200345	R56	HP802_S13_L001_R1_001.fastq.gz	44a76ca778520718793d432ec779162cb5cfc46089ffe3cbfd02368e061fb229	HP802_S13_L001_R2_001.fastq.gz	e234cea68ee96bb5586ca20ae3570a7ea35998481de1c7c3f8d1b271940a6497	996	20240621T165725_huffmar1	3.1687211093990757	1.0955721352688346	0.019726705052307194	1.0858811126429324	0.01958478631092369	0.009691022625902197	0.00014191874138350498	0.0	0.0	1.0	0.0007298678128294542	0	0	0.005575379125780553	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.3377666044927419	0.2022950287892304	0.08575946800746087	0.05922066336874544	0.027856621522990836	0.03164787932852161	0.04087259751844944	0.01873327386262266	0.02067958803016787	0.01780066499067391	0.030147595491038844	0.01023842348552429	0.013157894736842105	0.009103073554456248	0.007014840645527532	0	0.0063457951504338654	0.014577082150677155	0.006913470115967886	0.008312383423891007	0.0056564755494282705	0	0.005575379125780553	0.005332089854837401	0.01048171275646744	0	0	0.009751844943637986	0	0	0	0	0	0.005149622901630038	0	0	0.005717297867164058	0	0	0	0	0	0	0	0	0	0.0012569945665396156	0.0013786392020111913	0.0003649339064147271	0	0.00010137052955964642	0.00020274105911929284	0.00014191874138350498	0	0	0	0.00010137052955964642	0.0001216446354715757	0	0	0.00010137052955964642	0	0	0	0	0	0	0	0.0001216446354715757	0	0	0	0	0	0	0
200346	R57	HP803_S25_L001_R1_001.fastq.gz	29ef3754224a1fc321c58b9839f65c2e11d08a132636211af1f0fbb1c5e34800	HP803_S25_L001_R2_001.fastq.gz	52cc58cb27d603d665e25eb315de784ae43ae3df48b6332e45e0c0e9051005e5	996	20240621T165725_huffmar1	2.9709134239724957	1.0847593373964681	0.020178934208470074	1.0780981403344272	0.020042194092827006	0.006661197062040944	0.00013674011564306923	0.0	0.0	1.0	0.0007227691826847945	0	0	0.005723550554774183	7.81372089388967e-05	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.3163189560868886	0.2289029535864979	0.08003203625566495	0.049949210814189716	0.02605875918112205	0.02955539928113768	0.04717533989685888	0.018420847007344896	0.023304422566025943	0.017971558055946243	0.03160650101578372	0.01103688076261916	0.013439599937490233	0.0067197999687451165	0.010001562744178778	0	0.005723550554774183	0.015432098765432098	0.007872323800593843	0.008946710423503673	0.006583059853102047	0	0.005723550554774183	0.006895608688857634	0.010333645882169088	0	0	0.006622128457571495	0	0	0	0	0	0.0053328645100797	0	0	0.005157055789967183	0	0	0	0	0	0	0	0	0	0.0021683075480543835	0.0011915924363181747	0.0006446319737458978	0	0.00011720581340834506	0	7.81372089388967e-05	0	0	0.0001562744178777934	9.767151117362088e-05	0.00013674011564306923	0	0	0.00013674011564306923	0	0	0	7.81372089388967e-05	7.81372089388967e-05	0	0	0	0	0	0	0	0	0	0
200347	R58	HP804_S37_L001_R1_001.fastq.gz	8f35a7e4355f17cc7915f4a7685ade573aaaab76676b232848a00fdd8347d595	HP804_S37_L001_R2_001.fastq.gz	d598e864fbc43ed68c7f4014405211fe73d0dee82c001ba452c603760ff41a8a	996	20240621T165725_huffmar1	3.249707796172566	1.1123807197808908	0.0195558501823003	1.1032918723723462	0.019381400136071036	0.009088847408544563	0.00017445004622926224	0.0	0.0	1.0	0.0005233501386877867	0	0	0.005216056382254941	0.00022678506009804093	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.2850862655478604	0.2654780803516913	0.0902604539190203	0.053992289307956666	0.034436439125656367	0.026464072012979085	0.032709383667986675	0.021335240653838773	0.022521500968197758	0.019852415260890044	0.01648552936866528	0.014217678767684873	0.014060673726078537	0.011723043106606424	0.011740488111229349	0.0062104216457617364	0.008077037140414842	0.010606562810739144	0.006280201664253441	0.007065226872285121	0.006070861608778327	0.005669626502451023	0.005216056382254941	0.006123196622647105	0.006698881775203671	0	0.005791741534811507	0	0	0	0	0	0	0.005181166373009089	0	0	0	0	0	0	0	0	0	0	0	0	0.0003489000924585245	0	0	6.97800184917049e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022678506009804093	0
200348	R59	HP805_S49_L001_R1_001.fastq.gz	faf7cf35affe99e6f0079937e411000efaf570fd640e4b722bb2a6ea5ca5245c	HP805_S49_L001_R2_001.fastq.gz	60b558660ff4e0834a4850ef153669a69694caea0c2cace56a5a19cf92e9b8ec	996	20240621T165725_huffmar1	3.0677053568743045	1.110897223809667	0.021776400878274732	1.098294582969892	0.021595933467681294	0.012602640839775017	0.000180467410593437	0.0	0.0	1.0	0.0009324149547327578	0	0	0.0072788522272686255	0.00012031160706229134	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.29909465515685624	0.26158751165518696	0.08960206935964148	0.04680121514723133	0.03705597497518573	0.01988149306704364	0.02676933257135982	0.027160345294312268	0.02219749150299275	0.01973110355821578	0.013986224320991367	0.018497909585827293	0.012151472313291424	0.015610431016332301	0.008692513610250549	0.004722230577194935	0.005323788612506391	0.00860227990495383	0.010587421421481637	0.00986555177910789	0.00499293169308509	0.00541402231780311	0.0072788522272686255	0.00881282521731284	0.006346437272535868	0	0	0.005534333924865401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001624206695340933	0.0011730381688573406	0.0005714801335458838	0	0.00021054531235900983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012031160706229134
200359	R70	HP816_S86_L001_R1_001.fastq.gz	3998f278829089f10d0750a1f8aa7c067347a84cc9403c6b04de61ba856086fc	HP816_S86_L001_R2_001.fastq.gz	ba88d43b65c9fef7c0def969513ccbea9684104e194a1d42c01886800f763831	996	20240621T165725_huffmar1	17.89622641509434	1.0628930817610063	0.03424178895877009	1.0482180293501049	0.033542976939203356	0.014675052410901468	0.0006988120195667365	0.0	0.0	1.0	0.011879804332634521	0	0	0.005590496156533892	0.0031446540880503146	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.3162124388539483	0.22851153039832284	0.07477288609364081	0.031446540880503145	0.0220125786163522	0.017120894479385047	0.0143256464011181	0.008385744234800839	0.017120894479385047	0.015373864430468204	0.011530398322851153	0.004542278127183787	0.009084556254367574	0.019217330538085255	0.004542278127183787	0.009084556254367574	0.00803633822501747	0.006289308176100629	0	0.0041928721174004195	0.006638714185883997	0.006289308176100629	0	0.003843466107617051	0	0	0	0	0.003843466107617051	0	0	0.004542278127183787	0	0	0	0.0041928721174004195	0	0	0	0.005590496156533892	0	0	0	0	0.003843466107617051	0	0.06079664570230608	0.04122990915443746	0.02620545073375262	0.006638714185883997	0	0	0	0	0	0	0	0	0.001397624039133473	0	0	0.001397624039133473	0	0	0	0	0.0017470300489168414	0	0	0	0	0	0	0	0	0
200358	R69	HP815_S74_L001_R1_001.fastq.gz	aff669f742014c64b635ecddecca89f59b427490b2f150fc659d75b3a25e6049	HP815_S74_L001_R2_001.fastq.gz	f286f0a231a58dd3331a23ce77646faa749b852fdf4622bc76f5a7755b648ac5	996	20240621T165725_huffmar1	4.914001367469422	1.1050672339132417	0.02886879890602446	1.0832636936868496	0.02826103471852921	0.021803540226392158	0.0006077641874952519	0.0	0.0	1.0	0.003950467218719137	0	0	0.004178378789029856	0.0039504672187191375	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.29203069209146854	0.206335941654638	0.07088049836663375	0.03585808706221986	0.027729241054470867	0.015270075210818202	0.013522753171769354	0.01770113196079921	0.013066930031147915	0.009572285953050217	0.010104079617108562	0.014586340499886044	0.008736610195244245	0.013750664742080074	0.006001671351515612	0.010635873281166908	0.005165995593709641	0.004710172453088202	0.008356757578059712	0.008052875484312086	0.005545848210894173	0.004330319835903669	0.004178378789029856	0.004710172453088202	0.003950467218719137	0	0.006457494492137051	0	0	0	0	0.0052419661171465475	0.005469877687457266	0	0	0	0	0	0	0	0	0.004178378789029856	0	0	0	0	0.052799513788650006	0.04261946364810454	0.020436070804527844	0.005545848210894173	0.006761376585884677	0.0019752336093595683	0.004558231406214389	0.0022791157031071944	0.0015194104687381296	0.003950467218719137	0.0033427030312238853	0.0022791157031071944	0	0.0031147914609131657	0.002658968320291727	0.0006077641874952519	0.0015194104687381296	0.0015953809921750361	0.0022791157031071944	0.0012155283749905037	0	0	0	0.0006837347109321583	0.0008356757578059713	0.0006837347109321583	0	0.0006077641874952519	0	0
200354	R65	HP811_S26_L001_R1_001.fastq.gz	59b6830169e286170d38ecb7d5bfc0e83cc54364df97c9447e23ec6f2bc784f2	HP811_S26_L001_R2_001.fastq.gz	f17073e0feca169f1ca2be511ed680fa1b1b6cc9befd8a8e2301f35d7bf5dab8	996	20240621T165725_huffmar1	7.4860298086104535	1.0739402997467513	0.019263503134470877	1.0716984265371363	0.01909743845227716	0.0022418732096151452	0.00016606468219371444	0.0	0.0	1.0	0.0016606468219371444	0	0.00024909702329057166	0.0042346493959397186	0.0020758085274214305	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0.0007057748993232865	0	0.00024909702329057166	0	0.24656453688711752	0.15319466932370157	0.07128326483165193	0.07946195042969237	0.036036036036036036	0.026155187445510025	0.018640760576244447	0.011832108606302155	0.010046913272719725	0.012786980528916013	0.007057748993232864	0.005936812388425292	0.011583011583011582	0.0052310374891020054	0.005438618341844149	0.005355586000747291	0.004608294930875576	0	0.004566778760327147	0.004857391954166148	0.00568771536513472	0.009797816249429152	0.0042346493959397186	0.004442230248681862	0	0	0	0	0.0054801345123925765	0	0.004276165566488147	0	0	0	0	0	0	0	0.006019844729522149	0	0	0	0	0	0	0	0.09731390376551667	0.06459916137335492	0.039730975214846184	0.009756300078880724	0.0016191306513887158	0.00626894175281272	0	0.007971104745298293	0	0	0	0.002158840868518288	0.003736455349358575	0.0010379042637107152	0	0	0	0	0	0	0.0020758085274214305	0	0.0022003570390667164	0	0	0	0	0	0	0
200361	R72	HP818_S15_L001_R1_001.fastq.gz	9b16182c0cd6e10c0723cf2a3878268d990e543cef439b4ac2ff750047719bc0	HP818_S15_L001_R2_001.fastq.gz	dacc68c0e9ffdf8359a0c8f5dbfa99c97fb3d54775b484feec109845b44aa073	996	20240621T165725_huffmar1	3.0606124514931667	1.0890838535515437	0.023915977729036614	1.0790450480850347	0.023662898599628817	0.010038805466509195	0.00025307912940779483	0.0	0.0	1.0	0.0019824531803610598	0	0	0	0.00442888476463641	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	0.26054496372532476	0.18803779314999156	0.07478488274000337	0.03690737303863675	0.027121646701535346	0.015058208199763792	0.017378100219335245	0.019529272819301502	0.01223215792137675	0.01126202125864687	0.009870086046903998	0.012864855744896238	0.009026488948878015	0.008562510544963726	0.005145942297958495	0.008562510544963726	0.005862999831280581	0.006495697654800067	0.008267251560654632	0.00835161127045723	0.004302345199932512	0.004850683313649401	0	0.005230302007761093	0.003669647376413025	0	0.005230302007761093	0	0.005525560992070187	0.0037540070862156234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07988864518306057	0.058587818457904506	0.02834486249367302	0.008604690399865025	0.007212755188122153	0.0035009279568078287	0.004513244474439008	0	0.002362071874472752	0.0024886114391766494	0.004302345199932512	0.0031634891175974355	0.0026995107136831447	0.003290028682301333	0.0026151510038805465	0	0.002108992745064957	0.0016028344862493674	0.0018559136156571622	0.0022355323097688544	0	0	0	0	0.001181035937236376	0.0010123165176311793	0	0	0	0
