"","Date","Sample.ID","Chamber.ID","SDR","Tank","Symbiont","Type","Salinity","Plate","Run","Volume","Org.Number","unique","Light","Photo.Intercept","P.umol.L.min","P.umol.min","P.Blank.umol.min","P.umol.min.corr","P.umol.org.min","P.nmol.org.min","PAR"
"1",20230622,1,"A1",641,"WT1","WT","Sample",33,3,2,8e-05,5,"3 - A1",1,187.776152882206,-0.750152968628472,-6.00122374902778e-05,-3.05921823505318e-05,-2.9420055139746e-05,-5.88401102794919e-06,-0.00588401102794919,0
"2",20230622,1,"A1",641,"WT1","WT","Sample",33,3,2,8e-05,5,"3 - A1",2,186.912688145667,-0.705353271380725,-5.6428261710458e-05,-3.05921823505318e-05,-2.58360793599262e-05,-5.16721587198524e-06,-0.00516721587198524,16
"3",20230622,1,"A1",641,"WT1","WT","Sample",33,3,2,8e-05,5,"3 - A1",1,187.776152882206,-0.750152968628472,-6.00122374902778e-05,-3.05921823505318e-05,-2.9420055139746e-05,-5.88401102794919e-06,-0.00588401102794919,0
"4",20230622,1,"A1",641,"WT1","WT","Sample",33,3,2,8e-05,5,"3 - A1",2,186.912688145667,-0.705353271380725,-5.6428261710458e-05,-3.05921823505318e-05,-2.58360793599262e-05,-5.16721587198524e-06,-0.00516721587198524,16
"5",20230622,7,"B1",641,"MIX1","MIX","Sample",33,3,2,8e-05,5,"3 - B1",1,191.3183728223,-0.913358885017424,-7.30687108013939e-05,-3.05921823505318e-05,-4.24765284508621e-05,-8.49530569017242e-06,-0.00849530569017242,0
"6",20230622,7,"B1",641,"MIX1","MIX","Sample",33,3,2,8e-05,5,"3 - B1",2,184.940990430622,-0.40388516746411,-3.23108133971288e-05,-3.05921823505318e-05,-1.718631046597e-06,-3.437262093194e-07,-0.0003437262093194,16
"7",20230622,7,"B1",641,"MIX1","MIX","Sample",33,3,2,8e-05,5,"3 - B1",1,191.3183728223,-0.913358885017424,-7.30687108013939e-05,-3.05921823505318e-05,-4.24765284508621e-05,-8.49530569017242e-06,-0.00849530569017242,0
"8",20230622,7,"B1",641,"MIX1","MIX","Sample",33,3,2,8e-05,5,"3 - B1",2,184.940990430622,-0.40388516746411,-3.23108133971288e-05,-3.05921823505318e-05,-1.718631046597e-06,-3.437262093194e-07,-0.0003437262093194,16
"9",20230622,13,"C1",641,"C1","C","Sample",33,3,2,8e-05,5,"3 - C1",1,189.541999278499,-1.01656854256854,-8.13254834054832e-05,-3.05921823505318e-05,-5.07333010549514e-05,-1.01466602109903e-05,-0.0101466602109903,0
"10",20230622,13,"C1",641,"C1","C","Sample",33,3,2,8e-05,5,"3 - C1",2,181.236540392447,-0.419839170677525,-3.3587133654202e-05,-3.05921823505318e-05,-2.9949513036702e-06,-5.9899026073404e-07,-0.00059899026073404,16
"11",20230622,13,"C1",641,"C1","C","Sample",33,3,2,8e-05,5,"3 - C1",1,189.541999278499,-1.01656854256854,-8.13254834054832e-05,-3.05921823505318e-05,-5.07333010549514e-05,-1.01466602109903e-05,-0.0101466602109903,0
