Date,SDR,Run,Plate,Light_Level,Light_Value,IntervalStart,IntervalStop,Mean_T_internal_C,N_points
20230622,641,2,Plate03,1,0,0,21,24.731058823529413,85
20230622,641,2,Plate03,2,16,23,47,25.308453608247422,97
20230622,641,2,Plate03,3,60,49,57,25.795757575757577,33
20230622,641,2,Plate03,4,120,59,74,25.698524590163935,61
20230622,641,2,Plate03,5,165,76,89,25.939056603773587,53
20230622,641,2,Plate03,6,275,91,103,25.86,49
20230622,641,2,Plate03,7,425,105,120,26.370983606557377,61
20230622,641,2,Plate03,8,700,122,135,26.662264150943397,53
20230622,641,2,Plate03,9,1100,137,152,27.700327868852458,61
20230622,641,2,Plate03,10,1500,154,170,30.360153846153846,65
20230622,641,2,Plate03,11,1660,172,187,32.47176470588235,51
20230622,710,2,Plate04,1,0,0,21,25.032117647058822,85
20230622,710,2,Plate04,2,16,23,47,25.387319587628866,97
20230622,710,2,Plate04,3,60,49,57,25.775151515151514,33
20230622,710,2,Plate04,4,120,59,74,25.655409836065573,61
20230622,710,2,Plate04,5,165,76,89,25.89509433962264,53
20230622,710,2,Plate04,6,275,91,103,25.958367346938775,49
20230622,710,2,Plate04,7,425,105,120,26.619344262295083,61
20230622,710,2,Plate04,8,700,122,135,27.06811320754717,53
20230622,710,2,Plate04,9,1100,137,152,28.27360655737705,61
20230622,710,2,Plate04,10,1500,154,170,30.80846153846154,65
20230622,710,2,Plate04,11,1660,172,187,32.8743137254902,51
