sample,analysis_type_uid,PC1,PC2
C31-C17d-C21-C31.1-C31a-C17e-C21ac-C31.10,797700,-0.10595379161729337,-0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,799603,0.10595379161729337,-0.0
proportion_explained,0,1.0,0.0
