group,flow.L.min_mean,flow.L.min_sd,par_mean,par_sd,pH.nbs_mean,pH.nbs_sd,pH.total_mean,pH.total_sd,sal.psu_mean,sal.psu_sd,temp.C_mean,temp.C_sd
Bucket,0,0,0,0,8.653333333333334,1.131606527611667,7.826417410879879,0.018490792748901617,33,0,26.14,0.08999999999999986
Cladocopium,0.1076,0.09213096268743905,6.066666666666667,6.605913656572817,8.02,0.03184785258515412,7.856373283630694,0.032397698838239085,33.4,0.50709255283711,26.615333333333332,0.2712370251450265
Durusdinium,0.106,0.09910167938608738,6.666666666666668,7.659416862050705,8.021333333333333,0.0266904655707043,7.856019340795761,0.02629702419439999,33.4,0.50709255283711,26.746,0.2274642829105265
Parent,4.725,0.474341649025257,421.5,179.4308462094201,8.11,0.06782329983125274,7.934895537276953,0.060843605315542955,33.5,0.5345224838248488,27.855,0.2559575857721069
