"term","df","sumsq","meansq","statistic","p.value","metric"
"group",2,0.0382402314814867,0.0191201157407433,0.194548695708036,0.823609476747789,"temp.C"
"Residuals",77,7.56750851851854,0.0982793314093317,NA,NA,"temp.C"
"group",2,0.00197931252665781,0.000989656263328906,3.31316145148378,0.0416569414172783,"pH.total"
"Residuals",77,0.0230002471633848,0.000298704508615388,NA,NA,"pH.total"
"group",2,0.00202865253411313,0.00101432626705656,3.80247088374666,0.0266168881812077,"pH.nbs"
"Residuals",77,0.0205400974658874,0.000266754512543992,NA,NA,"pH.nbs"
"group",2,1.18610288092037e-27,5.93051440460183e-28,0.981009615384618,0.37956876015652,"sal.psu"
"Residuals",77,4.65489432512143e-26,6.0453173053525e-28,NA,NA,"sal.psu"
"group",2,7.29346978557504,3.64673489278752,1.08560408860298,0.342809563785842,"par"
"Residuals",77,258.656530214425,3.35917571707045,NA,NA,"par"
"group",2,0.0031620807017544,0.0015810403508772,1.28967279505321,0.281241189299429,"flow.L.min"
"Residuals",77,0.0943961192982457,0.00122592362724994,NA,NA,"flow.L.min"
