sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	B2ah	B2aa	4131155_B	B2	C31	C17d	C21	C21ac	C31a	C31.1	C17i	C17e	C31j	C31.10	C17	C21bk	C17f	C31w	C31.9	C21bm	C31f	C31o	C31p	C17k	C21k	C31ae	C31l	C15	C17m	C31b	C21bl	C21aj	C31k	C21ar	C31i	C17n	C15eo	C31g	C31ad	C93a	C3	456047_C	C15sj	C31h	71011_C	C31.5	C31ac	1249193_C	D1	D4	D6	D1ab	D17d	D3h	D17j	D4d	D1dg	D17al	D1r	D5m	D10b	D17e	D17c	15655_D	D17k	D1dh	D17l	946_D	70955_D	D17	D2p	D1.6	10612_D	10616_D	D2.2	15659_D	4131156_D	104877_D
197960	R60	HP806_S61_L001_R1_001.fastq.gz	c92dbd71cc51171b41d747bd65dcb2045461c69759e8626c0838ab4ceba8cc4f	HP806_S61_L001_R2_001.fastq.gz	f3de4e7971b2bfdb99cc8c846492561bcbba0c5fe23de9b9307e4bbc69a3fb4b	993	20240708T094517_huffmar1	175822	63217	1084	62668	1077	549	7	0	0	58052	28	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	5	21474	14265	4907	1444	1620	2206	1056	1480	1064	1648	589	627	573	502	0	563	792	396	490	437	0	387	599	0	0	619	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	13	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197955	R55	HP801_S1_L001_R1_001.fastq.gz	1f7bf02de4a4459bf9a10dbff6b9ccb544c12fedb558cb830795338518deffb3	HP801_S1_L001_R2_001.fastq.gz	4f27b8fcbe6b8bed7418dd3f0a434ee075376ee03fde49874d90bdf4a9331d8f	993	20240708T094517_huffmar1	255701	43695	782	43358	778	337	4	0	0	39957	24	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	14990	10208	3349	1106	1188	1266	660	934	842	608	462	538	520	339	230	414	470	0	0	202	225	251	398	0	0	352	0	192	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
197956	R56	HP802_S13_L001_R1_001.fastq.gz	44a76ca778520718793d432ec779162cb5cfc46089ffe3cbfd02368e061fb229	HP802_S13_L001_R2_001.fastq.gz	e234cea68ee96bb5586ca20ae3570a7ea35998481de1c7c3f8d1b271940a6497	993	20240708T094517_huffmar1	156294	54038	973	53560	966	478	7	0	0	49324	34	0	0	0	0	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	19581	10253	4230	1374	1561	2016	924	1020	878	1487	505	649	449	346	0	313	719	341	410	279	0	263	517	0	0	481	0	0	0	0	0	254	0	0	282	0	0	0	0	0	0	0	0	0	62	68	18	0	5	10	7	0	0	0	5	6	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
197957	R57	HP803_S25_L001_R1_001.fastq.gz	29ef3754224a1fc321c58b9839f65c2e11d08a132636211af1f0fbb1c5e34800	HP803_S25_L001_R2_001.fastq.gz	52cc58cb27d603d665e25eb315de784ae43ae3df48b6332e45e0c0e9051005e5	993	20240708T094517_huffmar1	152087	55531	1033	55190	1026	341	7	0	0	51192	35	0	0	0	4	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	18750	12011	4097	1334	1513	2415	943	1193	920	1618	565	688	344	512	0	293	790	403	458	337	0	353	529	0	0	339	0	0	0	0	0	273	0	0	264	0	0	0	0	0	0	0	0	0	111	61	33	0	6	0	4	0	0	8	5	7	0	0	7	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0
197958	R58	HP804_S37_L001_R1_001.fastq.gz	8f35a7e4355f17cc7915f4a7685ade573aaaab76676b232848a00fdd8347d595	HP804_S37_L001_R2_001.fastq.gz	d598e864fbc43ed68c7f4014405211fe73d0dee82c001ba452c603760ff41a8a	993	20240708T094517_huffmar1	186283	63765	1121	63244	1111	521	10	0	0	57323	28	0	0	0	13	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	19437	15517	5174	1974	1517	1875	1223	1291	1138	945	815	806	672	673	356	463	608	360	405	348	325	351	384	0	332	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
197959	R59	HP805_S49_L001_R1_001.fastq.gz	faf7cf35affe99e6f0079937e411000efaf570fd640e4b722bb2a6ea5ca5245c	HP805_S49_L001_R2_001.fastq.gz	60b558660ff4e0834a4850ef153669a69694caea0c2cace56a5a19cf92e9b8ec	993	20240708T094517_huffmar1	101992	36934	724	36515	718	419	6	0	0	33247	29	0	0	0	4	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	11500	8939	2979	1232	661	890	903	738	656	465	615	404	519	289	157	177	286	352	328	166	180	293	211	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	39	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
197965	R65	HP811_S26_L001_R1_001.fastq.gz	59b6830169e286170d38ecb7d5bfc0e83cc54364df97c9447e23ec6f2bc784f2	HP811_S26_L001_R2_001.fastq.gz	f17073e0feca169f1ca2be511ed680fa1b1b6cc9befd8a8e2301f35d7bf5dab8	993	20240708T094517_huffmar1	180316	25868	464	25814	460	54	4	0	0	24087	38	0	6	0	50	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	17	0	6	0	7853	3792	1717	868	630	449	285	242	308	170	143	279	126	131	129	111	0	110	117	137	236	107	0	0	0	0	132	0	103	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	2344	1556	957	235	39	151	0	192	0	0	0	52	90	25	0	0	0	0	0	0	50	0	53	0	0	0	0	0	0	0
197972	R72	HP818_S15_L001_R1_001.fastq.gz	9b16182c0cd6e10c0723cf2a3878268d990e543cef439b4ac2ff750047719bc0	HP818_S15_L001_R2_001.fastq.gz	dacc68c0e9ffdf8359a0c8f5dbfa99c97fb3d54775b484feec109845b44aa073	993	20240708T094517_huffmar1	72561	25820	567	25582	561	238	6	0	0	23708	46	0	0	0	105	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	7052	4458	1773	643	357	412	463	290	267	234	305	214	203	122	203	139	154	196	198	102	115	124	87	0	124	0	131	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	1389	672	204	171	83	107	0	56	59	102	75	64	78	62	0	50	38	44	53	0	0	0	0	28	24	0	0	0	0
197971	R71	HP817_S3_L001_R1_001.fastq.gz	4c8bd088dfea6b2955767f2a1e774f7a9e23cd3edd450360def539d451ff748d	HP817_S3_L001_R2_001.fastq.gz	3a1a3624a33f33914b1ac7ade352872aeae3e5b69357fb230e7865c6e36bb089	993	20240708T094517_huffmar1	158365	53037	1015	52911	1010	126	5	0	0	48594	47	0	0	0	96	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	4	0	0	0	14858	8845	2949	1203	985	929	716	599	491	468	532	415	413	350	599	224	426	276	285	184	169	0	167	0	293	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	4667	2753	1666	542	275	129	195	167	122	215	0	160	100	138	127	96	90	90	98	0	0	85	52	0	0	0	82	0	0	0
197968	R68	HP814_S62_L001_R1_001.fastq.gz	7207281a2218e1574b11508d071dc4cad7cbe4654b9b98181ee028620b29c236	HP814_S62_L001_R2_001.fastq.gz	2ac76d1f074f91d8f2636fda78900525932d9707a1cc368aef33d58c26a578c1	993	20240708T094517_huffmar1	90554	31296	697	30913	688	383	9	0	0	28547	47	0	0	86	134	0	0	0	0	0	coral_aquarium	cnidaria	hexacorallia	scleractinia	acroporidae	montipora	capitata	21.43257400	-157.78987300	20230627	1	0	0	0	0	7673	4714	1766	713	385	485	574	336	240	231	337	200	233	131	157	103	170	206	240	110	0	107	118	0	141	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	3247	2149	1216	387	238	105	205	137	83	182	224	117	70	140	104	62	63	45	60	72	0	45	0	44	0	0	0	0	0	0
