Lipid,VIP
DG 40:3,2.6349523527995795
ASG 28:1;O;Hex;FA 16:0,2.613877570916177
DG 38:3,2.565018351934493
TG 42:0|TG 14:0_14:0_14:0,2.3449686147338977
FA 28:7,2.0881247587342346
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0),2.0436226870744285
TG 52:6|TG 14:0_16:0_22:6,1.9991508265712548
DG 34:6|DG 16:1_18:5,1.98942246942495
TG 46:2;O3|TG 12:0_16:0_18:2;O3,1.987169106939756
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1),1.971412450931337
Cer 26:1;O2|Cer 12:0;O2/14:1,1.9451660995777915
Cer 36:5;O2|Cer 18:3;O2/18:2,1.9044332483542503
Cer 33:5;O2|Cer 12:2;O2/21:3,1.9037304340107075
Cer 44:3;O2|Cer 25:0;O2/19:3,1.8965268444401604
PC O-36:8,1.8937056712704239
Cer 33:1;O3|Cer 18:0;O2/15:1;O,1.8896696703635594
PC O-41:11,1.8752919557708605
PC 29:0,1.8652979600752582
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),1.858500701185259
LPC 19:1,1.851351964617071
Cer 32:2;O2|Cer 17:0;O2/15:2,1.8506036545335858
TG 66:3;O2|TG 17:1_17:1_17:0;O(FA 15:0),1.8485865426377335
PC O-34:5|PC O-19:1_15:4,1.8332704607381078
FA 22:6,1.8145445236825648
ST 27:2;O,1.8088030451371526
Cer 35:0;O2|Cer 20:0;O2/15:0,1.791357692870911
PE O-26:2,1.7634191771255034
LPC 16:0/0:0,1.7607927318893297
SE 24:1;O3/18:5,1.7536855938003364
PC O-29:0|PC O-11:0_18:0,1.7482151403794557
MGDG 36:8|MGDG 18:3_18:5,1.7432886815008382
NAE 15:4,1.7379951563109612
TG 44:0|TG 14:0_14:0_16:0,1.7048726501222013
DG 34:2|DG 16:0_18:2,1.7021964898110307
TG 54:6|TG 16:0_16:0_22:6,1.6875651016242024
PC O-40:7,1.6763971285412298
DG 38:10,1.6352794778560387
DG 32:8,1.6316580010043438
CL 63:2|CL 15:0_15:0_15:0_18:2,1.6309932528379862
AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2,1.6296568024769278
Cer 34:1;O3|Cer 18:0;O2/16:1(2OH),1.6260028138818101
VAE 21:2,1.6229530585645064
