sample,lipid,temperature,parent,type,formula,ontology,height_normalized
10,Cer 33:6;O2|Cer 18:2;O2/15:4,Moderate (+3),Bleached,Sample,C33H55NO3,Cer_NS,0.001943448517169974
10,Cer 33:7;O2|Cer 13:2;O2/20:5,Moderate (+3),Bleached,Sample,C33H53NO3,Cer_NS,0.0047513975143123844
10,Cer 34:0;O2|Cer 16:0;O2/18:0,Moderate (+3),Bleached,Sample,C34H69NO3,Cer_NDS,9.334962109831069e-4
10,Cer 34:0;O3|Cer 18:0;O2/16:0;O,Moderate (+3),Bleached,Sample,C34H69NO4,Cer_HDS,0.011745757192308741
10,Cer 34:1;O2|Cer 14:0;O2/20:1,Moderate (+3),Bleached,Sample,C34H67NO3,Cer_NDS,0.003725895036989932
10,Cer 34:1;O2|Cer 19:0;O2/15:1,Moderate (+3),Bleached,Sample,C34H67NO3,Cer_NDS,4.4591289821393457e-4
10,Cer 34:1;O3|Cer 18:0;O2/16:1(2OH),Moderate (+3),Bleached,Sample,C34H67NO4,Cer_ADS,0.002996342216238386
10,Cer 34:2;O2|Cer 15:0;O2/19:2,Moderate (+3),Bleached,Sample,C34H65NO3,Cer_NDS,0.07169163104501484
10,Cer 34:2;O2|Cer 18:2;O2/16:0,Moderate (+3),Bleached,Sample,C34H65NO3,Cer_NS,0.051328142187654836
10,Cer 34:2;O2|Cer 19:2;O2/15:0,Moderate (+3),Bleached,Sample,C34H65NO3,Cer_NS,0.007281592668174148
10,Cer 34:2;O3|Cer 18:2;O2/16:0(2OH),Moderate (+3),Bleached,Sample,C34H65NO4,Cer_AS,0.0043206792018735075
10,Cer 34:2;O3|Cer 18:2;O2/16:0;O,Moderate (+3),Bleached,Sample,C34H65NO4,Cer_HS,0.0069225021023607974
10,Cer 34:3;O2|Cer 16:3;O2/18:0,Moderate (+3),Bleached,Sample,C34H63NO3,Cer_NS,0.0022989499547671514
10,Cer 34:3;O2|Cer 19:1;O2/15:2,Moderate (+3),Bleached,Sample,C34H63NO3,Cer_NS,0.0051535804482495794
10,Cer 34:4;O2|Cer 17:1;O2/17:3,Moderate (+3),Bleached,Sample,C34H61NO3,Cer_NS,0.0023695861505599524
10,Cer 34:4;O2|Cer 18:3;O2/16:1,Moderate (+3),Bleached,Sample,C34H61NO3,Cer_NS,0.002898172929478904
10,Cer 34:4;O3|Cer 20:3;O2/14:1;O,Moderate (+3),Bleached,Sample,C34H61NO4,Cer_HS,0.008623975541443694
10,Cer 34:5;O2|Cer 18:2;O2/16:3,Moderate (+3),Bleached,Sample,C34H59NO3,Cer_NS,0.010438810641286198
10,Cer 34:7;O2|Cer 16:3;O2/18:4,Moderate (+3),Bleached,Sample,C34H55NO3,Cer_NS,0.0068820677437746005
10,Cer 35:0;O2|Cer 20:0;O2/15:0,Moderate (+3),Bleached,Sample,C35H71NO3,Cer_NDS,3.542164612071986e-4
10,Cer 35:2;O2|Cer 19:0;O2/16:2,Moderate (+3),Bleached,Sample,C35H67NO3,Cer_NDS,0.005025048564957006
10,Cer 35:2;O2|Cer 19:2;O2/16:0,Moderate (+3),Bleached,Sample,C35H67NO3,Cer_NS,0.00889001946663241
10,Cer 35:5;O2|Cer 18:2;O2/17:3,Moderate (+3),Bleached,Sample,C35H61NO3,Cer_NS,0.0018667478198615224
10,Cer 35:6;O2|Cer 20:2;O2/15:4,Moderate (+3),Bleached,Sample,C35H59NO3,Cer_NS,0.010043546685550376
10,Cer 36:1;O3|Cer 14:0;O2/22:1;O,Moderate (+3),Bleached,Sample,C36H71NO4,Cer_HDS,0.001766474002383606
10,Cer 36:1;O3|Cer 18:0;O2/18:1;O,Moderate (+3),Bleached,Sample,C36H71NO4,Cer_HDS,0.0033322030574469276
10,Cer 36:2;O2|Cer 19:2;O2/17:0,Moderate (+3),Bleached,Sample,C36H69NO3,Cer_NS,0.004477289873072338
10,Cer 36:2;O2|Cer 23:1;O2/13:1,Moderate (+3),Bleached,Sample,C36H69NO3,Cer_NS,0.011005876592634512
10,Cer 36:3;O2|Cer 14:1;O2/22:2,Moderate (+3),Bleached,Sample,C36H67NO3,Cer_NS,0.0019484074171724187
10,Cer 36:4;O2|Cer 12:0;O2/24:4,Moderate (+3),Bleached,Sample,C36H65NO3,Cer_NDS,0.0071141804650005185
10,Cer 36:4;O2|Cer 12:2;O2/24:2,Moderate (+3),Bleached,Sample,C36H65NO3,Cer_NS,6.373515507910578e-4
10,Cer 36:5;O2|Cer 15:0;O2/21:5,Moderate (+3),Bleached,Sample,C36H63NO3,Cer_NDS,0.004716864589172043
10,Cer 36:5;O2|Cer 18:1;O2/18:4,Moderate (+3),Bleached,Sample,C36H63NO3,Cer_NS,0.007779216082000557
10,Cer 36:5;O2|Cer 18:3;O2/18:2,Moderate (+3),Bleached,Sample,C36H63NO3,Cer_NS,0.0011773906002516634
10,Cer 37:3;O3,Moderate (+3),Bleached,Sample,C37H69NO4,Cer_NP,0.002009743641181568
10,Cer 37:3;O3|Cer 19:3;O2/18:0(2OH),Moderate (+3),Bleached,Sample,C37H69NO4,Cer_AS,0.002009743641181568
10,Cer 37:4;O2|Cer 15:0;O2/22:4,Moderate (+3),Bleached,Sample,C37H67NO3,Cer_NDS,0.0014124515921794625
10,Cer 37:5;O2|Cer 21:3;O2/16:2,Moderate (+3),Bleached,Sample,C37H65NO3,Cer_NS,0.0017105220862757824
10,Cer 37:5;O2|Cer 22:2;O2/15:3,Moderate (+3),Bleached,Sample,C37H65NO3,Cer_NS,3.825870439900125e-4
10,Cer 37:6;O2|Cer 15:0;O2/22:6,Moderate (+3),Bleached,Sample,C37H63NO3,Cer_NDS,0.0025672164977471657
10,Cer 37:6;O2|Cer 15:1;O2/22:5,Moderate (+3),Bleached,Sample,C37H63NO3,Cer_NS,9.317285531065367e-4
10,Cer 37:6;O2|Cer 18:2;O2/19:4,Moderate (+3),Bleached,Sample,C37H63NO3,Cer_NS,0.0012224300011288518
10,Cer 38:1;O2|Cer 19:1;O2/19:0,Moderate (+3),Bleached,Sample,C38H75NO3,Cer_NS,0.001564651175121981
10,Cer 38:3;O3|Cer 18:2;O2/20:1;O,Moderate (+3),Bleached,Sample,C38H71NO4,Cer_HS,0.0014988776691704465
10,Cer 38:6;O2|Cer 20:2;O2/18:4,Moderate (+3),Bleached,Sample,C38H65NO3,Cer_NS,8.712058390023788e-4
10,Cer 38:6;O2|Cer 20:3;O2/18:3,Moderate (+3),Bleached,Sample,C38H65NO3,Cer_NS,0.002484562185210524
10,Cer 39:1;O2|Cer 20:1;O2/19:0,Moderate (+3),Bleached,Sample,C39H77NO3,Cer_NS,0.0027341982012165384
10,Cer 39:2;O3|Cer 18:1;O2/21:1;O,Moderate (+3),Bleached,Sample,C39H75NO4,Cer_HS,7.636412481239586e-4
10,Cer 39:2;O3|Cer 19:2;O2/20:0;O,Moderate (+3),Bleached,Sample,C39H75NO4,Cer_HS,0.002289332200010683
10,Cer 39:3;O2|Cer 13:0;O2/26:3,Moderate (+3),Bleached,Sample,C39H73NO3,Cer_NDS,0.0055492732730089605
10,Cer 39:3;O3|Cer 18:2;O2/21:1;O,Moderate (+3),Bleached,Sample,C39H73NO4,Cer_HS,0.003549863055646975
10,Cer 39:5;O2|Cer 21:2;O2/18:3,Moderate (+3),Bleached,Sample,C39H69NO3,Cer_NS,9.53211140621239e-4
10,Cer 40:7;O2|Cer 22:3;O2/18:4,Moderate (+3),Bleached,Sample,C40H67NO3,Cer_NS,0.003110849567466038
10,Cer 40:7;O2|Cer 24:3;O2/16:4,Moderate (+3),Bleached,Sample,C40H67NO3,Cer_NS,9.344061308125593e-4
10,Cer 41:2;O2|Cer 18:2;O2/23:0,Moderate (+3),Bleached,Sample,C41H79NO3,Cer_NS,0.0024780084794854907
10,Cer 41:2;O3|Cer 18:1;O2/23:1;O,Moderate (+3),Bleached,Sample,C41H79NO4,Cer_HS,0.0020821868309509723
10,Cer 41:2;O3|Cer 19:2;O2/22:0;O,Moderate (+3),Bleached,Sample,C41H79NO4,Cer_HS,0.007484966272779516
10,Cer 41:2;O4|Cer 18:1;O3/23:1(2OH),Moderate (+3),Bleached,Sample,C41H79NO5,Cer_AP,0.005528739741660461
10,Cer 41:3;O2|Cer 25:0;O2/16:3,Moderate (+3),Bleached,Sample,C41H77NO3,Cer_NDS,0.0016411724975536586
10,Cer 41:9;O2|Cer 19:3;O2/22:6,Moderate (+3),Bleached,Sample,C41H65NO3,Cer_NS,3.259959010485955e-4
10,Cer 42:1;O2|Cer 21:0;O2/21:1,Moderate (+3),Bleached,Sample,C42H83NO3,Cer_NDS,9.024447891328746e-4
10,Cer 42:2;O2|Cer 18:0;O2/24:2,Moderate (+3),Bleached,Sample,C42H81NO3,Cer_NDS,0.0024436777587516947
10,Cer 42:2;O2|Cer 18:2;O2/24:0,Moderate (+3),Bleached,Sample,C42H81NO3,Cer_NS,0.01334268125723106
10,Cer 42:2;O2|Cer 23:0;O2/19:2,Moderate (+3),Bleached,Sample,C42H81NO3,Cer_NDS,0.00783454997012386
10,Cer 42:2;O3|Cer 19:2;O2/23:0;O,Moderate (+3),Bleached,Sample,C42H81NO4,Cer_HS,0.0033144400526042327
10,Cer 42:4;O2|Cer 18:1;O2/24:3,Moderate (+3),Bleached,Sample,C42H77NO3,Cer_NS,0.002850488564509652
10,Cer 42:6;O2|Cer 18:0;O2/24:6,Moderate (+3),Bleached,Sample,C42H73NO3,Cer_NDS,0.008650072955333574
10,Cer 42:7;O2|Cer 27:3;O2/15:4,Moderate (+3),Bleached,Sample,C42H71NO3,Cer_NS,0.0017660174117881818
10,Cer 43:1;O2|Cer 14:0;O2/29:1,Moderate (+3),Bleached,Sample,C43H85NO3,Cer_NDS,7.848172676674476e-4
10,Cer 43:2;O2|Cer 19:2;O2/24:0,Moderate (+3),Bleached,Sample,C43H83NO3,Cer_NS,0.01832605449542534
10,Cer 43:2;O3|Cer 19:2;O2/24:0;O,Moderate (+3),Bleached,Sample,C43H83NO4,Cer_HS,0.0012414893971264107
10,Cer 43:3;O2|Cer 13:0;O2/30:3,Moderate (+3),Bleached,Sample,C43H81NO3,Cer_NDS,6.140849985928058e-4
10,Cer 43:4;O2|Cer 17:3;O2/26:1,Moderate (+3),Bleached,Sample,C43H79NO3,Cer_NS,3.7113966549045206e-4
10,Cer 44:1;O2|Cer 22:1;O2/22:0,Moderate (+3),Bleached,Sample,C44H87NO3,Cer_NS,4.773263311791103e-4
