"","Ontology","term","df","sumsq","statistic","p.value","adj_pvalues"
"1","AHexCAS","temperature",2,0.000334574704621967,10.1475351025821,0.00025392638307583,0.00548480987443794
"2","AHexCAS","parent",2,1.2739324112291e-05,0.386379295346634,0.68190303893093,0.93578548681654
"3","AHexCAS","temperature:parent",4,0.000182405373002706,2.76614594569535,0.0396292648494338,0.285330706915923
"4","AHexCS","temperature",2,0.00343405452253396,1.90489343120033,0.161477272111937,0.758241103829967
"5","AHexCS","parent",2,0.0185438708402486,10.2864114476993,0.000231278034968414,0.00548480987443794
"6","AHexCS","temperature:parent",4,0.00703296985947515,1.9506181394666,0.119791781992047,0.631098168543468
"7","AHexCer","temperature",2,0.000817556553013186,0.234362711213976,0.792102401044568,0.93578548681654
"8","AHexCer","parent",2,0.00567402782819765,1.62653034878005,0.208750718090215,0.847020260234954
"9","AHexCer","temperature:parent",4,0.00268193549659628,0.384405012697126,0.818539372965877,0.940449492343773
"10","AHexSIS","temperature",2,4.48833564211339e-09,0.00917484410696637,0.990869101702098,0.990869101702098
"11","AHexSIS","parent",2,2.15840040506306e-06,4.41210034540602,0.0182286034093806,0.19686891682131
"12","AHexSIS","temperature:parent",4,6.99182979574515e-07,0.714618441148921,0.586645196074825,0.93578548681654
"13","ASM","temperature",2,0.000138811051626645,0.64008111002039,0.532314897367127,0.934796892937393
"14","ASM","parent",2,0.000507115577008794,2.33839523320861,0.108921695522652,0.588177155822319
"15","ASM","temperature:parent",4,0.000223253782292618,0.514730373091849,0.725246826244231,0.93578548681654
"16","BMP","temperature",2,4.48923600509431e-05,1.31254462742817,0.279945857554165,0.853431664615557
"17","BMP","parent",2,5.42232735164371e-05,1.58535809333269,0.216889533126557,0.847020260234954
"18","BMP","temperature:parent",4,1.74808712764491e-05,0.255549314522891,0.904647475972885,0.960837880847464
"19","BRSE","temperature",2,3.05019470560404e-07,0.427518346822062,0.65493138261955,0.93578548681654
"20","BRSE","parent",2,4.26916457916268e-06,5.98370385943442,0.00516978389384681,0.069792082566932
"21","BRSE","temperature:parent",4,2.17864995624761e-06,1.52680880647992,0.211838257417519,0.847020260234954
"22","BileAcid","temperature",2,0.000178284016738756,2.54054772068094,0.0908777064524402,0.51762709240312
"23","BileAcid","parent",2,0.000285393292469318,4.06685518950921,0.0242945184256145,0.245638730206066
"24","BileAcid","temperature:parent",4,0.000191423609939765,1.36389347966511,0.26271913457222,0.853431664615557
"25","CAR","temperature",2,0.000597363690747474,6.47260793142845,0.00354574529890349,0.0510587323042103
"26","CAR","parent",2,4.07197523929352e-05,0.4412102650138,0.646204499829536,0.93578548681654
"27","CAR","temperature:parent",4,0.000215612433817476,1.16811146279691,0.338573341084288,0.853431664615557
"28","CASE","temperature",2,6.52913041502454e-05,0.188600994522656,0.828814329129833,0.94721637614838
"29","CASE","parent",2,0.00117642630090264,3.39823462282631,0.0428626205322587,0.298655678547351
"30","CASE","temperature:parent",4,0.000734043546198233,1.06018209191647,0.388130233553916,0.862068629926292
"31","CE","temperature",2,7.4639537540162e-06,2.17639103251379,0.126079124990794,0.648406928524083
"32","CE","parent",2,9.70247756396329e-06,2.82911521953277,0.0703621219686649,0.447006421918577
"33","CE","temperature:parent",4,1.97518632166408e-05,2.87969214419404,0.0340040072949765,0.262316627704104
"34","CL","temperature",2,9.45174027839544e-05,0.120903966328801,0.886426334147672,0.960837880847464
"35","CL","parent",2,0.0218972382738658,28.0103227657315,1.86451711370162e-08,2.01367848279775e-06
"36","CL","temperature:parent",4,0.000441083480193329,0.282110704836983,0.887923956232707,0.960837880847464
