.
ST 27:2;O
FA 28:7
MGDG 36:8|MGDG 18:3_18:5
PC O-36:8
PC O-38:8
Cer 35:6;O2|Cer 20:2;O2/15:4
Cer 36:5;O2|Cer 18:3;O2/18:2
DGDG 27:1|DGDG 12:0_15:1
PC O-40:8
DG 34:6|DG 16:1_18:5
LPC 16:0/0:0
DGDG 36:6|DGDG 16:1_20:5
DG 38:10
AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2
MGDG O-41:9|MGDG O-19:3_22:6
MGDG 38:8|MGDG 18:3_20:5
CL 63:2|CL 15:0_15:0_15:0_18:2
LPC 16:0
PC O-40:7
PC O-29:0|PC O-11:0_18:0
SE 24:1;O3/18:5
Cer 35:0;O2|Cer 20:0;O2/15:0
DGDG 36:7|DGDG 16:2_20:5
PC O-36:6
LPC 22:6
Cer 33:7;O2|Cer 13:2;O2/20:5
PC O-34:5|PC O-19:1_15:4
AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2
Cer 32:7;O2|Cer 16:3;O2/16:4
VAE 21:2
