Lipid,VIP
DG 24:5,1.225522908679091
Tryptophan,1.2247149394057626
Cer 28:5;O2|Cer 12:1;O2/16:4,1.22368939211789
TG O-54:5|TG O-16:1_19:2_19:2,1.221139854591643
TG O-49:12|TG O-19:4_15:4_15:4,1.2181790689623329
DG 28:6,1.2093804128681782
TG O-49:11|TG O-19:3_15:4_15:4,1.2011797243630045
Cer 33:7;O2|Cer 13:2;O2/20:5,1.2001400986343767
PC O-42:3,1.2000900403322021
LPE O-20:3,1.1963844283695624
Gelomulide N,1.1961132383812398
TG 60:4|TG 18:0_20:0_22:4,1.192451532530197
FA 22:5,1.1914911690391248
PC O-38:6|PC O-16:1_22:5,1.188305861478811
MGDG 30:0|MGDG 14:0_16:0,1.1830201725055196
DG 47:7,1.180527592641762
TG 65:6;O2|TG 9:0_16:0_18:2;O(FA 22:3),1.1792343058605175
DG 24:4,1.1787515211215773
PC 35:1,1.1773620241799332
DG 30:4,1.1768503574089042
DG O-34:0|DG O-20:0_14:0,1.175925756655375
AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2,1.1754606760139992
TG 49:7|TG 16:0_18:3_15:4,1.1751455586431847
SE 28:1/15:4,1.173990903567987
LPC 19:4,1.169518137020421
TG 62:8|TG 18:0_22:4_22:4,1.1692583285734657
PC 32:5,1.1664374620139726
DG 47:13,1.1626192295396007
PC O-44:4,1.1618314558144818
DGDG O-13:0,1.1571424647829902
PC 40:4,1.152999364205648
Cer 46:6;O2|Cer 30:2;O2/16:4,1.1512446340638718
TG 56:10|TG 16:0_20:5_20:5,1.1503124211223108
TG 60:5;O|TG 20:2_20:2_20:1;O,1.1467133271280374
LPC 18:0,1.1431252889474934
NAGlySer 22:2;O,1.1430325043003287
SE 28:1/22:4,1.140000016714961
PC 31:6,1.139126168374311
PC O-30:0,1.1373951054321136
PC 30:3,1.136924817310506
PC 28:3,1.134824280056095
TG O-52:7|TG O-18:4_15:3_19:0,1.1327439150673382
SE 24:2;O4/25:1;O,1.1318790095341935
TG 62:4|TG 16:0_26:0_20:4,1.1262302182130906
TG 50:5|TG 16:1_16:1_18:3,1.1258438262235897
PC 26:2,1.1202912634708215
DG O-34:1|DG O-18:1_16:0,1.119705571403536
TG 64:5|TG 16:0_26:0_22:5,1.119383877507488
DG 51:5,1.1157582050807533
PC O-44:5,1.111755475147347
MGDG 38:9|MGDG 18:4_20:5,1.109570106468311
TG 67:6;O2|TG 16:0_18:3_17:2;O(FA 16:0),1.109138052100733
TG 65:7;O2|TG 17:2_17:2_17:1;O(FA 14:1),1.1088434832601148
DG 35:0,1.108397508246966
Cer 34:2;O3|Cer 18:2;O2/16:0;O,1.1062412766764476
TG 60:13|TG 20:4_20:4_20:5,1.1057958917654211
DG 34:5,1.1055399040727611
SE 28:2/15:4,1.1052442348047908
TG 56:1;O3|TG 18:0_22:0_16:1;O3,1.102753129950471
TG 54:6|TG 18:2_18:2_18:2,1.1027288275921925
TG 58:1;O3|TG 20:0_20:0_18:1;O3,1.0967757415753772
PC O-33:2,1.0948109618662456
CAR 16:0,1.0944377113046098
Cer 34:3;O2|Cer 16:3;O2/18:0,1.0941434579579736
NAE 26:7,1.092501850424038
TG 51:7|TG 16:0_18:3_17:4,1.0916821183352077
Cer 58:6;O2|Cer 20:3;O2/38:3,1.0916467459049979
PE O-32:0,1.0900188007453993
DG 19:2,1.0892383272320545
PC O-41:5,1.08905447756983
LPC 20:4,1.0885171870301424
TG 46:0|TG 14:0_16:0_16:0,1.085830816110322
TG 64:4|TG 18:0_24:0_22:4,1.0856344900577959
TG O-54:8|TG O-20:0_15:3_19:5,1.085424309357176
TG O-49:10|TG O-19:4_15:3_15:3,1.083062675687222
TG O-56:5|TG O-18:0_18:1_20:4,1.0827669291157531
SL 27:2;O2,1.082386530265866
Cer 31:7;O2|Cer 13:2;O2/18:5,1.0813920518888183
TG O-52:1|TG O-21:1_15:0_16:0,1.0809699643884694
DG 28:2,1.0809380010544039
ST 28:1;O,1.0766605631076374
PE O-38:8,1.0740933318187902
TG 58:11|TG 18:3_18:3_22:5,1.0712858055489594
DG 37:8,1.071155614156923
DG 26:1,1.0694004881293693
ASG 28:1;O;Hex;FA 25:1,1.0666223328511142
DG 40:5,1.0656363321186468
DG 27:6,1.0642602059380586
TG 58:9|TG 16:0_20:4_22:5,1.063887591373786
ASG 27:1;O;Hex;FA 23:0,1.0630483539643139
TG 66:6;O2|TG 15:1_22:3_15:0;O(FA 14:1),1.0625293257919308
TG 48:5|TG 14:0_14:0_20:5,1.0600101546931229
SM 44:9;O2,1.058991426216406
TG O-56:9|TG O-22:3_17:3_17:3,1.0570956625388768
Cer 38:3;O3|Cer 18:2;O2/20:1;O,1.0553067872171065
TG 61:8;O|TG 21:2_21:2_19:4;O,1.0549270322034319
DG 22:2,1.0542867716127748
TG 63:6;O2|TG 16:0_20:4_9:0;O(FA 18:1),1.0542691485982023
PC O-38:9,1.0523285259693451
TG 61:2;O2|TG 16:0_16:0_12:0;O(FA 17:1),1.0518402480069724
VAE 21:3,1.0516822413405156
TG 54:5|TG 18:1_18:2_18:2,1.0509431822089328
Cer 32:7;O2|Cer 16:3;O2/16:4,1.0500955268741905
FA 18:4,1.046050059593399
TG 62:10;O2|TG 18:3_18:3_8:0;O(FA 18:3),1.0446979161477674
TG O-51:13|TG O-21:5_15:4_15:4,1.0435818867409241
TG 72:11|TG 18:0_22:4_32:7,1.0429503034145455
AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3,1.0405858677293256
TG O-56:4|TG O-18:0_18:0_20:4,1.0372985916154236
PC 45:4,1.0364868987079219
TG 58:12|TG 18:3_18:4_22:5,1.0303325202845048
DG O-32:0|DG O-16:0_16:0,1.0301216973155667
SE 24:2;O4/28:1,1.029629055832556
HexCer 38:3;O2,1.0267704757165708
PI 34:0;O3|PI 16:0_18:0;O3,1.022590036921371
VAE 19:2,1.018527801607902
SE 24:2;O4/27:1;O,1.016310131311612
TG 56:10|TG 18:3_18:3_20:4,1.0151738813520632
TG 64:14|TG 20:4_22:5_22:5,1.0151368923952584
Cer 32:3;O3|Cer 18:2;O2/14:1;O,1.0137929204702891
Cer 43:4;O2|Cer 17:3;O2/26:1,1.013672825035314
Cer 28:4;O2|Cer 15:3;O2/13:1,1.0136218438861158
PC O-32:2,1.0128193698621026
PC 32:0,1.0065610471142576
LPC 25:1,1.0023387783717013
SE 24:2;O4/25:0;O,1.002097818348178
LPC 26:2,1.001506088543847
TG 65:5;O2|TG 16:0_18:3_15:1;O(FA 16:0),1.000266281484561
