Lipid,VIP
Cer 51:3;O2|Cer 22:3;O2/29:0,1.5742734056250638
AHexCer 42:2;O3|AHexCer (O-17:0)25:2;O3,1.5741451681242946
PC O-41:5|PC O-19:0_22:5,1.568254251756917
Cer 35:2;O2|Cer 19:0;O2/16:2,1.566520077504111
TG 50:7|TG 14:0_18:3_18:4,1.5653584082074874
NAE 19:4,1.5641726411385632
NAE 16:4,1.56350504834431
NAE 15:4,1.5534620923529046
DG 13:0,1.5528489077351533
TG 48:5|TG 14:0_14:0_20:5,1.5525475141518998
PC O-37:1,1.5469082093693576
LPC 21:2,1.545987906145768
TG 48:4|TG 14:0_16:1_18:3,1.5451538010487427
Cer 34:5;O2|Cer 19:2;O2/15:3,1.5331974868096003
TG O-58:6|TG O-22:0_18:3_18:3,1.5323976390564962
DG 10:0,1.5211393406686686
DG 28:2,1.5169960918116518
Cer 34:4;O2|Cer 17:1;O2/17:3,1.5136691471838042
NAE 18:3,1.4921713869534798
DG 26:4,1.4916367164108344
Cer 38:6;O2|Cer 20:2;O2/18:4,1.4852461990918087
SE 24:1;O3/20:5,1.4729003265866358
AHexCer 38:3;O2|AHexCer (O-14:0)24:3;O2,1.472562349153933
SE 28:2/15:4,1.4670285757667751
DG 47:13,1.4654098559581343
Ricinoleic acid,1.4637283942378507
MG 26:7,1.4472128821519932
FAHFA 25:1;O|FAHFA 14:0/11:0;O,1.4431715562151743
ASG 27:1;O;Hex;FA 26:0,1.4431371072392973
Cer 34:3;O2|Cer 19:1;O2/15:2,1.4417647650450094
PC 30:3,1.434562035503909
PC O-38:2|PC O-16:0_22:2,1.4343439340739703
PC O-41:11,1.4319812921361843
DGDG 34:6|DGDG 16:2_18:4,1.4295290084393375
DG 20:2,1.4171260102022107
DG 46:12,1.405399519266069
PC O-32:0,1.4004114674039863
LPC 28:6,1.3933450751691479
DG 51:8,1.3904866009253622
TG 52:8|TG 16:1_18:3_18:4,1.3894839313527192
Cer 42:7;O2|Cer 27:3;O2/15:4,1.3881962272825277
PC O-39:10,1.3831080722745
TG O-51:8|TG O-21:2_15:3_15:3,1.3753543749313897
SM 36:5;O3,1.3732658469967352
TG O-51:7|TG O-16:4_16:0_19:3,1.3695387747226848
DGDG 40:10|DGDG 20:5_20:5,1.368419835951211
TG 56:11|TG 18:3_18:3_20:5,1.3682186206986433
FA 20:3,1.3671381830661293
TG 58:12|TG 18:3_18:4_22:5,1.3665115896164193
TG O-49:5|TG O-17:3_16:1_16:1,1.3631339664510351
FA 22:3,1.3627088810567445
Cer 30:4;O2|Cer 16:3;O2/14:1,1.3535857510375848
SM 37:2;O3,1.3498047563958475
FA 34:7,1.3487183983729876
DGDG 36:7|DGDG 18:3_18:4,1.3475971967068818
SM 34:4;O3,1.347094700507823
DG 30:4,1.3466213418405815
LPE P-21:0,1.3361094781523535
FA 22:5,1.3330943214180433
PC O-36:9,1.330286563428334
ST 28:4;O,1.3283924336169233
TG 48:3|TG 16:1_16:1_16:1,1.321457609047982
DG O-37:5|DG O-19:3_18:2,1.3148727932810758
DG 40:4,1.3020885355171081
TG 27:1;O|TG 8:0_10:0_9:1;O,1.3003101448262369
TG 44:0|TG 14:0_14:0_16:0,1.2988504015515834
DG 26:6,1.2970137393979064
DG 35:0,1.2965360055460555
TG 52:8|TG 16:0_18:4_18:4,1.2960404912985737
DG 31:4,1.2936235995437118
TG 26:1;O|TG 9:0_9:0_8:1;O,1.2912383450809652
LPC 22:5,1.2911747296564613
DG 24:2,1.2873846450887818
PC O-41:4,1.2870089763897214
LPC 18:1,1.2824316569887562
TG 54:6|TG 16:0_16:0_22:6,1.2765379020955558
SE 24:2;O4/27:1;O,1.2672395056165768
DG 28:4,1.2670368935557
PC O-30:0|PC O-21:0_9:0,1.2651694813095185
DG 45:5,1.2638009371626926
DG 41:11,1.2629437290170378
NAE 24:6,1.2600250194959446
NAGly 21:0;O,1.2569980352886394
DG 40:7,1.2527175262437016
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),1.248659328148501
SM 40:2;O3,1.2477560797772371
TG 56:10|TG 18:3_18:3_20:4,1.2370427127492687
TG 60:13|TG 20:4_20:4_20:5,1.235353057902295
DGDG 38:8|DGDG 16:2_22:6,1.235282889360794
PC 28:3,1.2348383283623554
Cer 43:3;O2|Cer 13:0;O2/30:3,1.2339315049583957
TG 56:12|TG 18:3_18:4_20:5,1.2311107720196481
AHexCer 47:6;O3|AHexCer (O-20:4)27:2;O3,1.2294145596225772
MGDG O-35:4|MGDG O-19:4_16:0,1.2294067797666373
DG 19:1,1.223647619373506
PC O-37:7,1.2236152645288232
TG 48:2|TG 14:0_16:0_18:2,1.2214117704444527
DG 34:0,1.221244985680043
DG 25:1,1.2172728026167379
DG 36:9|DG 18:4_18:5,1.2155393506593306
PC 31:1,1.2151374073843066
FA 30:7,1.2143158608988818
PC 34:1|PC 16:0_18:1,1.2134404935067982
TG 58:12|TG 18:3_18:3_22:6,1.1999151527756122
DG 28:3,1.198719546540464
DG 34:7,1.1948314363742423
PC 29:2,1.1914284420165628
NAE 22:1,1.1891905563154
TG 46:3|TG 14:0_14:0_18:3,1.1890735486770427
FA 20:0,1.1888750649984303
MG 32:9,1.1848036041125658
DG 42:7,1.184330126489387
SM 39:3;O3,1.1840984891949935
PC 42:4,1.1825602775520663
Cer 27:3;O2|Cer 18:3;O2/9:0,1.1822300932593286
DG 23:4,1.1821194600716103
Cer 33:5;O2|Cer 12:0;O2/21:5,1.1791469224606999
VAE 12:0,1.1778533239682947
TG 52:7|TG 16:0_18:3_18:4,1.1752064389648815
TG 64:12|TG 20:4_22:4_22:4,1.1715768725792137
FA 32:7,1.167537642710126
NAE 11:0,1.165757456658011
PC 38:3|PC 16:0_22:3,1.1645816869239423
HBMP 42:3|HBMP 12:0_12:0_18:3,1.1615873918107882
TG O-56:14|TG O-18:4_19:5_19:5,1.1558089126835565
SM 37:4;O2|SM 15:2;O2/22:2,1.1551561223501947
CAR 20:3,1.1511926336535925
VAE 15:1,1.150903822467398
DG 40:5,1.1501531452577076
HBMP 46:5|HBMP 12:0_12:0_22:5,1.1482487584570578
PC 40:5|PC 18:0_22:5,1.1472042566789356
TG 58:10|TG 18:3_18:3_22:4,1.142544479406836
HBMP 40:1|HBMP 12:0_12:0_16:1,1.140389514107784
VAE 17:0,1.1381322709722326
TG 54:10|TG 18:3_18:3_18:4,1.1342247083815102
TG 56:9|TG 18:3_18:3_20:3,1.1308039701492762
DG 25:4,1.1237156136610442
LPC 15:4,1.1219833940868085
Cer 29:4;O2|Cer 14:0;O2/15:4,1.1208268330735356
TG 64:1;O2|TG 16:0_16:0_18:0;O(FA 14:0),1.1182658159857177
Cer 42:2;O2|Cer 18:0;O2/24:2,1.1160102046304143
TG 60:6|TG 20:0_20:3_20:3,1.1150690545048605
PC O-38:5|PC O-18:0_20:5,1.115066245480144
SM 42:3;O3,1.1113791523659515
TG O-51:9|TG O-13:1_19:4_19:4,1.110862760143502
TG 50:6|TG 14:0_18:3_18:3,1.1077844250059339
Cer 39:5;O2|Cer 21:2;O2/18:3,1.102596114534624
PG 35:3|PG 16:1_19:2,1.1020676389674495
VAE 21:4,1.1011076493927878
PC O-41:5,1.1004969578610992
TG 58:9|TG 18:1_20:4_20:4,1.0969260720860252
DG 21:3,1.0960035382797317
VAE 21:5,1.0928759698467003
TG 58:11|TG 18:3_18:3_22:5,1.0846023203743784
LPE O-21:0,1.0805492286712866
TG 63:6;O2|TG 16:0_20:4_9:0;O(FA 18:1),1.07702863037516
FA 18:1,1.073523637311857
PC 40:9,1.0716398617772338
LPC 18:0/0:0,1.068804837045715
Cer 38:6;O2|Cer 20:3;O2/18:3,1.067747218620784
Cer 44:3;O2|Cer 25:0;O2/19:3,1.0673529008439269
PC 26:2,1.059714121079723
DG 26:1,1.0583733128672173
PC 40:3,1.0545867997670617
TG 52:9|TG 16:2_16:2_20:5,1.0527606063311885
TG 54:9|TG 18:3_18:3_18:3,1.0525847898826999
Cer 32:0;O2|Cer 24:0;O2/8:0,1.052302491935716
CAR 22:0,1.050452161214038
PC O-35:1|PC O-17:0_18:1,1.045229572163425
CAR 26:0,1.0447519644821621
DG 24:4,1.0442651281457487
FA 16:1,1.0429434680228469
Cer 34:2;O3|Cer 19:1;O2/15:1;O,1.041115796610728
TG 54:5|TG 18:1_18:2_18:2,1.038081199962748
PC O-39:4|PC O-19:0_20:4,1.0375487776078023
PC 38:5|PC 18:0_20:5,1.0302444305748428
TG 46:0|TG 14:0_16:0_16:0,1.0295260470056518
TG 65:5;O2|TG 16:0_18:3_15:1;O(FA 16:0),1.0293233808701474
DG O-45:6|DG O-19:0_26:6,1.0285569608106822
DG 23:3,1.0285098185506973
ST 28:2;O,1.0282423459172831
DG 32:7,1.0265921846623682
FA 14:0;O,1.0252684676600194
TG O-51:8|TG O-21:0_15:4_15:4,1.024434719149476
DGDG 40:10|DGDG 18:4_22:6,1.0241019610749282
DG 36:6,1.0226476629352443
NATau 15:1,1.0213734124957097
TG O-42:4|TG O-10:0_16:2_16:2,1.0194498969760415
TG O-47:0|TG O-19:0_14:0_14:0,1.0193699882210572
FA 14:1,1.019237949287391
VAE 21:3,1.0191383724555694
VAE 17:1,1.016897191966165
PI 36:1;O3|PI 18:0_18:1;O3,1.0167313084203426
DG 32:8,1.0143273378301856
FA 14:0,1.0138176259359823
