"","Lipid","term","df","sumsq","statistic","p.value","adj_pvalues"
"36","AHexCer 52:4;O3|AHexCer (O-16:0)36:4;O3","temperature:parent",4,1.79933563975998e-08,0.733104278421889,0.574543921684417,0.885045934283316
"37","AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2","temperature",2,1.03150937781685e-06,3.04830629210158,0.0580538198657637,0.324818828408222
"38","AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2","parent",2,1.29592225672614e-06,3.82969661178801,0.0296623472970856,0.21934525238108
"39","AHexCer 61:3;O2|AHexCer (O-24:0)37:3;O2","temperature:parent",4,1.1865028714258e-06,1.75317076429237,0.156430881838005,0.520419479604408
"40","ASG 27:1;O;Hex;FA 23:0","temperature",2,3.46887241893087e-10,1.08369335314131,0.34761564998277,0.727851168959889
"41","ASG 27:1;O;Hex;FA 23:0","parent",2,1.85903994618513e-10,0.58077351646329,0.563894739151655,0.878094142849178
"42","ASG 27:1;O;Hex;FA 23:0","temperature:parent",4,1.53761183996663e-10,0.240178872187635,0.913981179945962,0.98057613989385
"43","ASG 27:1;O;Hex;FA 26:0","temperature",2,1.99910899889712e-05,0.75329693027135,0.477065864067956,0.821842299414528
"44","ASG 27:1;O;Hex;FA 26:0","parent",2,8.99258303736156e-05,3.38855220050124,0.04322139465172,0.274640470035678
"45","ASG 27:1;O;Hex;FA 26:0","temperature:parent",4,3.39735771879864e-05,0.640089945574898,0.63685531593439,0.922546021170258
"46","ASG 28:1;O;Hex;FA 16:0","temperature",2,1.27668122307048e-06,38.2552250947621,3.46214691097916e-10,1.25082421969518e-07
"47","ASG 28:1;O;Hex;FA 16:0","parent",2,4.5347108385024e-07,13.5880735716742,2.81288083208506e-05,0.00124803081128827
"48","ASG 28:1;O;Hex;FA 16:0","temperature:parent",4,3.19618619777118e-07,4.78861990883054,0.00283640157894707,0.0451148402085354
"49","ASG 28:1;O;Hex;FA 23:0","temperature",2,1.8395979394018e-07,1.07065232923633,0.351954586539448,0.73198449782752
"50","ASG 28:1;O;Hex;FA 23:0","parent",2,3.45550842296446e-08,0.201111778965446,0.818603954068511,0.966542784608256
"51","ASG 28:1;O;Hex;FA 23:0","temperature:parent",4,1.31046825394224e-07,0.381348516005016,0.820691132610588,0.966542784608256
"52","ASG 28:1;O;Hex;FA 25:1","temperature",2,1.74859688221325e-07,1.07089794915359,0.351872343117606,0.73198449782752
"53","ASG 28:1;O;Hex;FA 25:1","parent",2,9.64091457494171e-09,0.0590441156065776,0.942743284741365,0.983969870477692
"54","ASG 28:1;O;Hex;FA 25:1","temperature:parent",4,1.19980855638627e-07,0.367401010341697,0.830465715077936,0.966542784608256
"55","ASG 29:1;O;Hex;FA 25:1","temperature",2,7.88864929886712e-09,1.96338082902296,0.153056858519608,0.51512626441359
"56","ASG 29:1;O;Hex;FA 25:1","parent",2,9.86836007665108e-10,0.245610474674983,0.783342484182388,0.966542784608256
"57","ASG 29:1;O;Hex;FA 25:1","temperature:parent",4,3.45283835140133e-09,0.429682976642793,0.786353103936442,0.966542784608256
"58","ASG 29:1;O;Hex;FA 26:4","temperature",2,1.87133920249171e-08,2.68566249662094,0.079874641259051,0.386238944061453
"59","ASG 29:1;O;Hex;FA 26:4","parent",2,3.00344733044602e-09,0.43104135504749,0.652674173964817,0.930124662075158
"60","ASG 29:1;O;Hex;FA 26:4","temperature:parent",4,1.84944186761331e-09,0.132711820949298,0.969500063739509,0.993071576593095
"61","BMP 18:2|BMP 8:1_10:1","temperature",2,1.17686003271557e-06,5.00871620285824,0.0111971618786819,0.116287141802106
"62","BMP 18:2|BMP 8:1_10:1","parent",2,2.74747552219389e-07,1.16932555974521,0.320481589621079,0.714724814948596
"63","BMP 18:2|BMP 8:1_10:1","temperature:parent",4,1.11254486988288e-07,0.23674954375547,0.916025631080293,0.98057613989385
"64","CAR 16:0","temperature",2,4.95089245859559e-06,6.35624020200808,0.00387632884397431,0.058007311517225
"65","CAR 16:0","parent",2,3.17583705792093e-07,0.407732208917952,0.667761315390131,0.937683712727175
"66","CAR 16:0","temperature:parent",4,4.98385968730705e-07,0.319928271221373,0.863036965605269,0.971348680914876
"67","CAR 18:0","temperature",2,7.78775577326852e-08,1.69913014406298,0.19516937765379,0.578808390277962
"68","CAR 18:0","parent",2,5.82963134112549e-08,1.27190716155745,0.29087046785051,0.688130414587409
"69","CAR 18:0","temperature:parent",4,5.18517187058498e-08,0.565649596877425,0.688902596452078,0.943278108515055
"70","CAR 18:3","temperature",2,1.11330544600426e-07,2.54024715207612,0.090902076967209,0.416288917470738
"71","CAR 18:3","parent",2,4.4686163344333e-08,1.01961146044925,0.369489845790145,0.741387870259761
"72","CAR 18:3","temperature:parent",4,4.66975829747916e-08,0.532753174729819,0.712335557667353,0.955130468952252
"73","CAR 20:0","temperature",2,4.69928455204248e-08,2.27081439849822,0.115760917354279,0.463433331450615
"74","CAR 20:0","parent",2,1.04308192708038e-07,5.04043845950529,0.0109141783893024,0.114530942516787
"75","CAR 20:0","temperature:parent",4,7.59333286569123e-09,0.183464625445026,0.945714963962429,0.985418323551423
"76","CAR 22:6","temperature",2,4.48262163153254e-07,5.2456259410316,0.00925570612889289,0.104967178475202
"77","CAR 22:6","parent",2,6.45356725400536e-07,7.55205381637993,0.00157841342211569,0.0304301685492539
"78","CAR 22:6","temperature:parent",4,2.13466355747779e-07,1.24900643562147,0.305129271739219,0.70472322212647
"79","CAR 28:2","temperature",2,7.26955820476825e-07,5.69200961196051,0.00649528879327713,0.0855551320739472
"80","CAR 28:2","parent",2,2.47376714619786e-07,1.93694114240319,0.156804920307853,0.520419479604408
"81","CAR 28:2","temperature:parent",4,2.46233395296132e-07,0.963994518877324,0.437271471468548,0.789932290073578
"82","CE 22:4","temperature",2,1.38249203305626e-07,3.21495898634739,0.0502165295577845,0.301657014849494
"83","CE 22:4","parent",2,2.8899863603541e-08,0.6720608435697,0.516060658533893,0.851213001381848
"84","CE 22:4","temperature:parent",4,8.91503029610213e-08,1.03658668833885,0.39974419336163,0.763559716776103
"85","CL 63:2|CL 15:0_15:0_15:0_18:2","temperature",2,1.72763731537974e-05,2.3691968530011,0.105946268241516,0.442142099641576
"86","CL 63:2|CL 15:0_15:0_15:0_18:2","parent",2,0.000133757053358345,18.3427845105115,1.88121404505063e-06,0.000139929127056854
"87","CL 63:2|CL 15:0_15:0_15:0_18:2","temperature:parent",4,2.35972326871929e-05,1.61800422242396,0.187566471216219,0.566733101201695
"88","CL 71:1|CL 18:0_18:0_18:0_17:1","temperature",2,4.56339605141185e-07,1.1813738979286,0.316845757486741,0.711005253490655
"89","CL 71:1|CL 18:0_18:0_18:0_17:1","parent",2,5.72868155674204e-07,1.48304350190823,0.238587712276173,0.632414238477957
"90","CL 71:1|CL 18:0_18:0_18:0_17:1","temperature:parent",4,8.57178315854434e-07,1.1095334229291,0.364751410999632,0.738056365649436
"91","CL 75:8|CL 17:0_18:2_18:2_22:4","temperature",2,1.08196845167414e-07,2.31482325561558,0.111257811169294,0.450915071229398
"92","CL 75:8|CL 17:0_18:2_18:2_22:4","parent",2,6.40805283645431e-08,1.3709743298047,0.264985616291502,0.662857194462126
"93","CL 75:8|CL 17:0_18:2_18:2_22:4","temperature:parent",4,2.94009456516284e-08,0.31451006092725,0.866669154701878,0.972335383137501
"94","Cer 26:1;O2|Cer 12:0;O2/14:1","temperature",2,2.67530597669917e-07,1.49843306489817,0.235183838886089,0.62961414042391
"95","Cer 26:1;O2|Cer 12:0;O2/14:1","parent",2,1.26475071378675e-06,7.08384126861587,0.00223366729520311,0.0381685445241126
"96","Cer 26:1;O2|Cer 12:0;O2/14:1","temperature:parent",4,7.39644843359602e-07,2.07136734867782,0.1016930077404,0.432156332905667
"97","Cer 26:1;O2|Cer 18:1;O2/8:0","temperature",2,8.2304160581357e-08,4.30033487093474,0.0199964789688724,0.173981827057646
"98","Cer 26:1;O2|Cer 18:1;O2/8:0","parent",2,6.09906313910915e-09,0.318671786600844,0.728856745461953,0.961820874202214
"99","Cer 26:1;O2|Cer 18:1;O2/8:0","temperature:parent",4,4.0621666872125e-08,1.06122685251748,0.387622554127875,0.754655457574593
"100","Cer 27:3;O2|Cer 18:3;O2/9:0","temperature",2,5.64840639254082e-07,2.8784745642078,0.0673700743544932,0.352550980494753
"101","Cer 27:3;O2|Cer 18:3;O2/9:0","parent",2,5.75106481081754e-07,2.9307901423152,0.0643439006375081,0.341144076964901
"102","Cer 27:3;O2|Cer 18:3;O2/9:0","temperature:parent",4,3.17067937790504e-07,0.807902203408242,0.527175528876419,0.860903541075963
