Lipid,VIP
DG 38:3,2.4855120869117555
DG 40:3,2.3385378868211646
MGDG 36:8|MGDG 18:3_18:5,2.151966377882026
ST 27:2;O,2.1081600598482497
ASG 28:1;O;Hex;FA 16:0,2.0918727061364373
PC O-38:8,2.0377534844371854
DGDG 38:8|DGDG 16:2_22:6,1.9877260866879185
Cer 33:4;O2|Cer 12:2;O2/21:2,1.923236023904602
ST 29:2;O,1.898971700221474
PC 29:0,1.8936241610117852
FA 28:7,1.8802010819239328
MGDG 38:8|MGDG 18:3_20:5,1.8617320935846293
PC O-40:8,1.861347128476495
TG 68:5;O2|TG 16:0_18:2_18:2;O(FA 16:0),1.8558869451467768
TG 46:2;O3|TG 12:0_16:0_18:2;O3,1.847335841707385
DG 36:5,1.8448042307953016
PC O-36:8,1.8420105421943787
DGDG 38:8|DGDG 18:3_20:5,1.8245913318328262
VAE 21:2,1.8209978198282442
Cer 36:5;O2|Cer 18:3;O2/18:2,1.8105076734679926
MGDG 36:6|MGDG 18:3_18:3,1.8065106240679079
Cer 32:2;O2|Cer 17:0;O2/15:2,1.8026801821661158
Cer 33:5;O2|Cer 12:2;O2/21:3,1.8025903710635978
MGDG O-41:9|MGDG O-19:3_22:6,1.789016495038751
DG 10:0,1.7801903462189244
AHexCer 45:4;O2|AHexCer (O-14:1)31:3;O2,1.778052132859757
Cer 40:7;O2|Cer 24:3;O2/16:4,1.7697915516521723
DG 34:6|DG 16:1_18:5,1.7628621327803002
DG 43:11,1.7586221597979876
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1),1.756960649480985
NAE 20:2,1.7370436231490711
TG 42:0|TG 14:0_14:0_14:0,1.7349260128637305
AHexCer 42:6;O2|AHexCer (O-15:1)27:5;O2,1.7177835587576018
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0),1.7175712415094408
NAE 19:4,1.7046214337833243
NAE 15:4,1.6934991391722023
Cer 35:0;O2|Cer 20:0;O2/15:0,1.6869065993210284
TG 52:6|TG 14:0_16:0_22:6,1.681007446788693
LPC 22:6,1.6766434786789548
Cer 26:1;O2|Cer 12:0;O2/14:1,1.6679787938563426
PC 45:4,1.6595335276955752
PC O-41:11,1.6482274789024864
Cer 33:1;O2|Cer 17:0;O2/16:1,1.647755761851668
PC O-29:0|PC O-11:0_18:0,1.6451542611250043
SE 24:1;O3/18:5,1.6295989744804555
CAR 22:6,1.6293636479692202
MGDG 34:3|MGDG 16:0_18:3,1.6283937361375165
DGDG 27:1|DGDG 12:0_15:1,1.6235161499069573
PC 34:2,1.621354252001636
DG O-34:4|DG O-18:0_16:4,1.6169423124018452
TG 24:0|TG 8:0_8:0_8:0,1.6158717266994194
DG 38:10,1.610577235695482
Cer 44:3;O2|Cer 25:0;O2/19:3,1.6097053987517085
