Lipid,VIP
VAE 22:4,1.3353811496170964
TG 52:9|TG 16:2_18:3_18:4,1.3283324336736206
Cer 32:2;O2|Cer 17:0;O2/15:2,1.3225658247288976
PC 29:0,1.3220302615559743
Cer 29:4;O2|Cer 14:0;O2/15:4,1.3206143173125335
Cer 42:7;O2|Cer 27:3;O2/15:4,1.3174713939135787
PC O-36:5,1.314102473613649
Cer 43:3;O2|Cer 13:0;O2/30:3,1.3127765900526014
DG 24:5,1.3063105121135667
NAE 15:4,1.2930529206367996
TG 48:2|TG 14:0_16:0_18:2,1.2930096686802905
DG 47:13,1.2927852997481177
PC O-41:5|PC O-19:0_22:5,1.2859431209856163
TG 56:11|TG 18:3_18:3_20:5,1.2691947277334275
CAR 20:0,1.2571717064830876
DG 30:4,1.2569130702953946
VAE 17:0,1.2559734471151822
TG 58:12|TG 18:3_18:4_22:5,1.251601402811548
DG 32:1,1.2504937688666256
ASG 28:1;O;Hex;FA 16:0,1.2492648196529088
DG 36:9,1.246442918931214
FA 30:6,1.2458723842078547
DG 17:0,1.2437071525836232
TG O-51:7|TG O-16:4_16:0_19:3,1.2393885116461114
DG 35:0,1.2382561698768644
FA 22:3,1.2359896832741273
FA 20:3,1.234936129883723
TG 65:6;O2|TG 9:0_16:0_18:2;O(FA 22:3),1.2306538317600562
DG 51:8,1.2302614780904038
PC 31:1,1.226910969691567
TG 68:4;O2|TG 17:1_17:1_17:0;O(FA 17:1),1.2257608221844492
PC O-35:1|PC O-17:0_18:1,1.2097514789752126
MGDG 36:8|MGDG 18:4_18:4,1.2020211853929494
VAE 15:1,1.201133585476697
PE O-32:1,1.200204866506913
TG 56:10|TG 18:3_18:3_20:4,1.1998842445995346
FA 22:5,1.1973779880469169
TG 60:13|TG 20:4_20:4_20:5,1.1830743376903987
DG 40:4,1.1774347859217589
AHexCer 47:6;O3|AHexCer (O-20:4)27:2;O3,1.1763423225656442
DG 40:7,1.1663705025426698
PC 29:2,1.1662757226231542
VAE 21:5,1.162425774242081
VAE 12:0,1.1613440413306948
DG 39:4,1.1600253748805724
TG 66:2;O2|TG 16:0_16:0_18:1;O(FA 16:0),1.1580793874609634
PC O-41:5,1.151791040271038
LPC 15:3/0:0,1.1517788262213973
PI 36:1;O3|PI 18:0_18:1;O3,1.150238462885782
Cer 37:5;O2|Cer 22:2;O2/15:3,1.1484433204620546
TG O-55:11|TG O-19:3_18:4_18:4,1.1481900615677778
Cer 38:6;O2|Cer 20:3;O2/18:3,1.1478243523801002
PC O-33:2,1.1460839683624846
PC O-35:1|PC O-19:1_16:0,1.1445927465708383
Cer 34:3;O2|Cer 19:1;O2/15:2,1.142707013060703
CL 75:8|CL 17:0_18:2_18:2_22:4,1.1398110133448154
TG 50:6|TG 14:0_18:3_18:3,1.137812123143463
TG 54:10|TG 18:3_18:3_18:4,1.1377127380191934
VAE 21:3,1.137389319176894
MG 26:7,1.1354317950267434
TG 68:3;O2|TG 16:0_18:2_18:0;O(FA 16:0),1.1346747981766954
DGDG 34:6|DGDG 16:2_18:4,1.1341591596748142
HBMP 46:5|HBMP 12:0_12:0_22:5,1.1309872040531699
TG O-49:5|TG O-17:3_16:1_16:1,1.128125181824732
TG 46:3|TG 14:0_14:0_18:3,1.1274688389910852
TG 58:12|TG 18:3_18:3_22:6,1.1262594822342802
TG 66:1;O2|TG 16:0_16:0_18:0;O(FA 16:0),1.123493904927563
SE 24:1;O3/20:5,1.1210760837700937
HBMP 40:1|HBMP 12:0_12:0_16:1,1.1190648199873034
TG 65:7;O2|TG 17:2_17:2_17:1;O(FA 14:1),1.1121749533048912
SE 28:4/28:0,1.1087695111221771
Cer 42:2;O2|Cer 18:0;O2/24:2,1.1074508772201281
PC O-36:1|PC O-18:0_18:1,1.1060399505569938
DG O-34:4|DG O-18:0_16:4,1.1030061750266642
PE O-38:8,1.1029013281732025
Cer 41:2;O3|Cer 19:2;O2/22:0;O,1.101544526356462
PC O-40:10,1.0994357249845101
LPE O-21:0,1.0991711322583742
PC O-41:11,1.0944459727987095
SM 36:1;O3,1.0922671139777669
TG 56:12|TG 18:3_18:4_20:5,1.0908965262980659
HBMP 42:3|HBMP 12:0_12:0_18:3,1.0894563294655233
Gelomulide N,1.0870166043732576
DG O-32:0|DG O-20:0_12:0,1.0837725632093473
TG O-47:0|TG O-19:0_14:0_14:0,1.0832654399048127
DGDG 40:10|DGDG 20:5_20:5,1.0796697439429679
DG 50:11,1.0795673392045206
PC 36:1|PC 18:0_18:1,1.0764320681227912
PC O-37:7,1.0706161158081038
MG 32:9,1.063703111255718
DG 43:4,1.0619769242632218
DG 32:2,1.0600421162114984
ASG 27:1;O;Hex;FA 26:0,1.052134640843566
TG 58:11|TG 18:3_18:3_22:5,1.048842408178401
