.
AHexCer 40:2;O2|AHexCer (O-16:2)24:0;O2
Cer 29:5;O2|Cer 12:1;O2/17:4
Cer 30:0;O2|Cer 15:0;O2/15:0
Cer 30:1;O2|Cer 18:1;O2/12:0
Cer 30:2;O2|Cer 18:2;O2/12:0
Cer 30:4;O2|Cer 16:3;O2/14:1
Cer 30:6;O2|Cer 12:1;O2/18:5
Cer 31:0;O2|Cer 19:0;O2/12:0
Cer 31:4;O2|Cer 12:2;O2/19:2
Cer 31:4;O2|Cer 13:2;O2/18:2
Cer 31:6;O2|Cer 12:1;O2/19:5
Cer 31:7;O2|Cer 13:2;O2/18:5
Cer 32:1;O2|Cer 14:0;O2/18:1
Cer 32:2;O2|Cer 17:0;O2/15:2
Cer 32:3;O2|Cer 19:3;O2/13:0
Cer 32:3;O3|Cer 18:2;O2/14:1;O
Cer 32:4;O2|Cer 17:0;O2/15:4
Cer 32:6;O2|Cer 13:2;O2/19:4
Cer 32:6;O2|Cer 15:2;O2/17:4
Cer 32:7;O2|Cer 16:3;O2/16:4
Cer 33:1;O3|Cer 18:0;O2/15:1;O
Cer 33:1;O4|Cer 18:0;O3/15:1(2OH)
Cer 33:4;O2|Cer 18:2;O2/15:2
Cer 33:5;O2|Cer 12:0;O2/21:5
Cer 33:5;O2|Cer 12:2;O2/21:3
Cer 33:6;O2|Cer 18:2;O2/15:4
Cer 33:7;O2|Cer 13:2;O2/20:5
Cer 34:0;O2|Cer 16:0;O2/18:0
Cer 34:0;O3|Cer 18:0;O2/16:0;O
Cer 34:1;O2|Cer 14:0;O2/20:1
Cer 34:1;O2|Cer 19:0;O2/15:1
Cer 34:1;O3|Cer 18:0;O2/16:1(2OH)
Cer 34:2;O2|Cer 15:0;O2/19:2
Cer 34:2;O2|Cer 18:2;O2/16:0
Cer 34:2;O2|Cer 19:2;O2/15:0
Cer 34:2;O3|Cer 18:2;O2/16:0(2OH)
Cer 34:2;O3|Cer 18:2;O2/16:0;O
Cer 34:3;O2|Cer 16:3;O2/18:0
Cer 34:3;O2|Cer 19:1;O2/15:2
Cer 34:4;O2|Cer 17:1;O2/17:3
Cer 34:4;O2|Cer 18:3;O2/16:1
Cer 34:4;O3|Cer 20:3;O2/14:1;O
Cer 34:5;O2|Cer 18:2;O2/16:3
Cer 34:7;O2|Cer 16:3;O2/18:4
Cer 35:0;O2|Cer 20:0;O2/15:0
Cer 35:2;O2|Cer 19:0;O2/16:2
Cer 35:2;O2|Cer 19:2;O2/16:0
Cer 35:5;O2|Cer 18:2;O2/17:3
Cer 35:6;O2|Cer 20:2;O2/15:4
Cer 36:1;O3|Cer 14:0;O2/22:1;O
Cer 36:1;O3|Cer 18:0;O2/18:1;O
Cer 36:2;O2|Cer 19:2;O2/17:0
Cer 36:2;O2|Cer 23:1;O2/13:1
Cer 36:3;O2|Cer 14:1;O2/22:2
Cer 36:4;O2|Cer 12:0;O2/24:4
Cer 36:4;O2|Cer 12:2;O2/24:2
Cer 36:5;O2|Cer 15:0;O2/21:5
Cer 36:5;O2|Cer 18:1;O2/18:4
Cer 36:5;O2|Cer 18:3;O2/18:2
Cer 37:3;O3
Cer 37:3;O3|Cer 19:3;O2/18:0(2OH)
Cer 37:4;O2|Cer 15:0;O2/22:4
Cer 37:5;O2|Cer 21:3;O2/16:2
Cer 37:5;O2|Cer 22:2;O2/15:3
Cer 37:6;O2|Cer 15:0;O2/22:6
Cer 37:6;O2|Cer 15:1;O2/22:5
Cer 37:6;O2|Cer 18:2;O2/19:4
Cer 38:1;O2|Cer 19:1;O2/19:0
Cer 38:3;O3|Cer 18:2;O2/20:1;O
Cer 38:6;O2|Cer 20:2;O2/18:4
Cer 38:6;O2|Cer 20:3;O2/18:3
Cer 39:1;O2|Cer 20:1;O2/19:0
Cer 39:2;O3|Cer 18:1;O2/21:1;O
Cer 39:2;O3|Cer 19:2;O2/20:0;O
Cer 39:3;O2|Cer 13:0;O2/26:3
Cer 39:3;O3|Cer 18:2;O2/21:1;O
Cer 39:5;O2|Cer 21:2;O2/18:3
Cer 40:7;O2|Cer 22:3;O2/18:4
Cer 40:7;O2|Cer 24:3;O2/16:4
Cer 41:2;O2|Cer 18:2;O2/23:0
Cer 41:2;O3|Cer 18:1;O2/23:1;O
Cer 41:2;O3|Cer 19:2;O2/22:0;O
Cer 41:2;O4|Cer 18:1;O3/23:1(2OH)
Cer 41:3;O2|Cer 25:0;O2/16:3
Cer 41:9;O2|Cer 19:3;O2/22:6
Cer 42:1;O2|Cer 21:0;O2/21:1
Cer 42:2;O2|Cer 18:0;O2/24:2
Cer 42:2;O2|Cer 18:2;O2/24:0
Cer 42:2;O2|Cer 23:0;O2/19:2
Cer 42:2;O3|Cer 19:2;O2/23:0;O
Cer 42:4;O2|Cer 18:1;O2/24:3
Cer 42:6;O2|Cer 18:0;O2/24:6
Cer 42:7;O2|Cer 27:3;O2/15:4
Cer 43:1;O2|Cer 14:0;O2/29:1
Cer 43:2;O2|Cer 19:2;O2/24:0
Cer 43:2;O3|Cer 19:2;O2/24:0;O
Cer 43:3;O2|Cer 13:0;O2/30:3
Cer 43:4;O2|Cer 17:3;O2/26:1
Cer 44:1;O2|Cer 22:1;O2/22:0
Cer 44:3;O2|Cer 25:0;O2/19:3
Cer 45:3;O2|Cer 19:2;O2/26:1
Cer 46:6;O2|Cer 30:2;O2/16:4
Cer 46:8;O2|Cer 18:2;O2/28:6
Cer 46:9;O2|Cer 24:3;O2/22:6
Cer 47:5;O2|Cer 19:0;O2/28:5
Cer 47:9;O2|Cer 23:3;O2/24:6
Cer 48:8;O2|Cer 24:2;O2/24:6
Cer 48:9;O2|Cer 22:3;O2/26:6
Cer 50:3;O3|Cer 18:2;O2/32:1;O
Cer 50:7;O4|Cer 30:2;O3(FA 20:4)
Cer 52:3;O2|Cer 19:2;O2/33:1
Cer 53:3;O2|Cer 19:2;O2/34:1
Cer 54:5;O2|Cer 18:2;O2/36:3
Cer 55:12;O4|Cer 33:7;O3(FA 22:4)
Cer 56:2;O2|Cer 28:0;O2/28:2
Cer 56:5;O2|Cer 18:2;O2/38:3
Cer 57:8;O2|Cer 25:2;O2/32:6
Cer 58:5;O2|Cer 30:0;O2/28:5
Cer 58:6;O2|Cer 20:3;O2/38:3
DG 15:0
DG 17:0
DG 18:0
DG 19:2
DG 20:1
DG 20:3
DG 20:4
DG 21:1
DG 22:0
DG 22:2
DG 22:4
DG 23:1
DG 23:3
DG 23:5
DG 24:1
DG 24:4
DG 24:5
DG 25:4
DG 26:1
DG 26:2
DG 27:4
DG 27:6
DG 28:0
DG 28:2
DG 28:3
DG 28:5
DG 28:6
DG 29:0
DG 29:3
DG 29:4
DG 30:0
DG 30:1
DG 30:3
DG 30:4
DG 30:5
DG 30:6
DG 30:7
DG 30:8
DG 31:0
DG 31:1
DG 32:0
DG 32:1
DG 32:1|DG 16:0_16:1
DG 32:2
DG 32:5
DG 32:7
DG 32:8
DG 32:8|DG 16:4_16:4
DG 33:0
DG 33:1
DG 33:4
DG 33:5
DG 34:0
DG 34:1
DG 34:2|DG 16:0_18:2
DG 34:3
DG 34:5
DG 34:6|DG 16:1_18:5
DG 34:8
DG 35:0
DG 35:3
DG 35:8
DG 36:0
DG 36:0|DG 18:0_18:0
DG 36:2
DG 36:3
DG 36:4
DG 36:4|DG 16:0_20:4
DG 36:5
DG 36:5|DG 16:0_20:5
DG 36:6
DG 36:6|DG 18:3_18:3
DG 36:7
DG 36:8
DG 36:9
DG 36:9|DG 18:4_18:5
DG 37:4
DG 37:5
DG 37:8
DG 38:0
DG 38:10
DG 38:3
DG 38:4
DG 38:4|DG 16:0_22:4
DG 38:5|DG 16:0_22:5
DG 38:6
DG 38:7
DG 38:9
DG 39:0
DG 39:4
DG 39:8
DG 39:9
DG 40:10
DG 40:11
DG 40:3
DG 40:4
DG 40:4|DG 18:0_22:4
DG 40:5
DG 40:7
DG 40:8
DG 41:10
DG 42:0
DG 42:1
DG 43:11
DG 43:4
DG 44:8
DG 44:9
DG 45:11
DG 45:5
DG 46:10
DG 46:12
DG 47:13
DG 47:7
DG 48:11
DG 49:1
DG 50:11
DG 50:14
DG 50:3
DG 51:5
DG 51:8
DG 52:4
DG 52:6
DG 52:7
DG O-29:0|DG O-17:0_12:0
DG O-31:0|DG O-16:0_15:0
DG O-32:0|DG O-16:0_16:0
DG O-32:0|DG O-20:0_12:0
DG O-32:3|DG O-18:2_14:1
DG O-33:1|DG O-17:1_16:0
DG O-34:0|DG O-18:0_16:0
DG O-34:0|DG O-20:0_14:0
DG O-34:1|DG O-18:1_16:0
DG O-34:2|DG O-20:1_14:1
DG O-34:3|DG O-18:2_16:1
DG O-34:4|DG O-18:0_16:4
DG O-35:0|DG O-23:0_12:0
DG O-35:1|DG O-21:0_14:1
DG O-35:3|DG O-19:3_16:0
DG O-36:0|DG O-24:0_12:0
DG O-36:2|DG O-20:1_16:1
DG O-37:0|DG O-25:0_12:0
DG O-37:3|DG O-21:3_16:0
DG O-37:5|DG O-19:3_18:2
DG O-37:7|DG O-19:3_18:4
DG O-41:8|DG O-19:3_22:5
DG O-44:1|DG O-17:1_27:0
DG O-45:6|DG O-19:0_26:6
DGDG 27:0|DGDG 12:0_15:0
DGDG 27:1|DGDG 12:0_15:1
DGDG 27:3|DGDG 12:0_15:3
DGDG 34:0|DGDG 14:0_20:0
DGDG 34:4|DGDG 16:0_18:4
DGDG 34:5|DGDG 16:1_18:4
DGDG 34:6|DGDG 16:2_18:4
DGDG 36:0|DGDG 14:0_22:0
DGDG 36:1|DGDG 14:0_22:1
DGDG 36:6|DGDG 16:1_20:5
DGDG 36:7|DGDG 16:2_20:5
DGDG 36:7|DGDG 18:3_18:4
DGDG 38:0|DGDG 16:0_22:0
DGDG 38:7|DGDG 16:1_22:6
DGDG 38:8|DGDG 16:2_22:6
DGDG 40:10|DGDG 18:4_22:6
DGDG 40:10|DGDG 20:5_20:5
DGDG 42:11|DGDG 20:5_22:6
DGDG O-13:0
DMPE 34:3|DMPE 16:0_18:3
DMPE 36:4|DMPE 16:0_20:4
DMPE 40:10|DMPE 20:5_20:5
Diisodecyl phthalate (also known as the production of plastic)
Dodecylbenzenesulfonic acid
FA 14:0;O
FA 15:4
FA 16:1
FA 16:2
FA 18:0
FA 18:2
FA 18:2;O2
FA 18:3
FA 18:4
FA 19:5
FA 20:3
FA 20:5
FA 22:3
FA 22:4
FA 22:5
FA 22:6
FA 24:0
FA 25:0
FA 28:0
FA 28:7
FA 30:0
FA 30:6
FA 30:7
FA 32:9
FA 34:7
FA 36:8
FAHFA 31:1;O|FAHFA 18:0/13:0;O
Gelomulide N
HBMP 40:1|HBMP 12:0_12:0_16:1
HBMP 42:0|HBMP 14:0_14:0_14:0
HBMP 42:3|HBMP 12:0_12:0_18:3
HBMP 46:5|HBMP 12:0_12:0_22:5
HBMP 50:7|HBMP 14:1_14:1_22:5
HexCer 34:2;O3|HexCer 18:2;O2/16:0;O
HexCer 35:2;O3|HexCer 19:2;O2/16:0;O
HexCer 37:5;O2
HexCer 38:1;O4
HexCer 38:3;O2
HexCer 39:1;O4
HexCer 41:3;O3|HexCer 19:3;O2/22:0;O
HexCer 42:2;O3|HexCer 19:2;O2/23:0;O
HexCer 42:3;O3|HexCer 19:3;O2/23:0;O
HexCer 43:3;O3
HexCer 43:3;O3|HexCer 19:3;O2/24:0;O
LPC 12:0
LPC 15:3/0:0
LPC 16:0
LPC 16:0/0:0
LPC 16:4
LPC 18:0
LPC 18:0/0:0
LPC 18:3
LPC 19:1
LPC 19:4
LPC 20:4
LPC 21:4
LPC 22:0
LPC 22:4
LPC 22:5
LPC 22:6
LPC 23:1
LPC 25:1
LPC 26:2
LPC 26:7
LPC 28:1
LPC 28:2
LPC 28:6
LPE O-18:0
LPE O-20:3
LPE O-21:0
LPE P-21:0
MG 26:7
MG 30:5
MG 32:5
MG 32:9
MGDG 30:0|MGDG 14:0_16:0
MGDG 34:2|MGDG 16:0_18:2
MGDG 34:3|MGDG 16:0_18:3
MGDG 34:5|MGDG 16:1_18:4
MGDG 34:7|MGDG 16:3_18:4
MGDG 36:8|MGDG 18:3_18:5
MGDG 36:8|MGDG 18:4_18:4
MGDG 36:9|MGDG 18:4_18:5
MGDG 38:10|MGDG 18:5_20:5
MGDG 38:8|MGDG 18:3_20:5
MGDG 38:9|MGDG 18:4_20:5
MGDG 40:10|MGDG 18:4_22:6
MGDG O-35:3|MGDG O-19:3_16:0
MGDG O-35:4|MGDG O-19:4_16:0
MGDG O-41:9|MGDG O-19:3_22:6
NAE 15:1
NAE 15:3
NAE 15:4
NAE 16:1
NAE 16:2
NAE 16:4
NAE 20:4
NAE 22:1
NAE 24:4
NAE 26:5
NAE 26:7
NAE 28:2
NAE 28:6
NAE 28:7
NAGly 26:6
NAGlySer 17:1;O
NAGlySer 17:2;O
NAGlySer 21:2;O
NAGlySer 22:2;O
NAOrn 14:1
Norethisterone acetate
PA 40:4|PA 18:0_22:4
PC 26:2
PC 28:3
PC 29:0
PC 29:2
PC 30:0
PC 30:3
PC 30:4
PC 31:1
PC 31:6
PC 32:0
PC 32:3
PC 32:4
PC 32:5
PC 34:1|PC 16:0_18:1
PC 34:3
PC 35:1
PC 35:2
PC 36:1|PC 18:0_18:1
PC 36:2
PC 36:3|PC 18:0_18:3
PC 36:4
PC 36:5|PC 16:0_20:5
PC 37:1
PC 38:2
PC 38:3|PC 16:0_22:3
PC 38:4|PC 18:0_20:4
PC 40:3
PC 40:4
PC 40:8;O3|PC 22:6_18:2;O3
PC 44:12|PC 22:6_22:6
PC 45:4
PC O-29:0|PC O-11:0_18:0
PC O-30:0
PC O-30:8
PC O-31:7
PC O-32:0|PC O-16:0_16:0
PC O-32:1
