sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
R55,197955,-0.05700118688315803,-0.013804659649824053,0.01976107205910012,0.005597948178483118,-0.014805173607777783,0.015719192364043292,0.0005140673343022871,0.006105474471255313,0.002686220389225584,-0.0035812498606014884,0.001600181103798672,0.0011119108394306689,-0.0,0.0,0.0,0.0,0.0,0.0
R56,197956,-0.1284683714520206,-0.024779244989612568,-0.030089274701025376,0.004265450787869645,0.001091334668011917,0.0009960823745276209,-0.008554260741184337,0.009445336402333531,-0.011907740431823903,-0.0003012843026586806,0.00011364017259706006,0.0009700570751983253,-0.0,0.0,0.0,0.0,0.0,0.0
R57,197957,-0.11901047885376809,-0.02319035523635238,-0.027421303495219082,0.0028041856135091136,-0.0015728221538174924,0.0007663431625980013,0.006776969822723619,-0.00757296561714592,0.011833179056323806,-4.6946368771587324e-05,5.1925290802778025e-05,0.002344114687374944,-0.0,0.0,0.0,0.0,0.0,0.0
R58,197958,-0.009833926467280867,-0.04027543862312609,0.0012814057894717668,0.03290675786557601,-0.005726381875384071,-0.001336370865388312,-0.0010809728865996727,0.007698402994719159,0.00623416689145703,-0.0016156984435621597,-0.0033087821599844802,-0.00011735803380421169,-0.0,0.0,0.0,0.0,0.0,0.0
R59,197959,-0.008018838072156637,-0.03751779386034047,0.007045434859942629,0.022947485308157056,-0.011246161960334303,-0.007251803318962411,0.005419246621196205,-0.011572610448457275,-0.007572755500666155,0.003007968579996905,0.0010516454123158218,-0.0004998573805356297,-0.0,0.0,0.0,0.0,0.0,0.0
R60,197960,-0.09320291395363811,-0.02169812956864178,-0.009831737489974773,-0.00769861500142258,-0.005633748606450203,0.014477681038341465,-0.0030622100871778688,-0.0037365000266602485,0.00218066655970051,0.0007725702477304955,-0.0011926269456089707,-0.0041464133268566935,-0.0,0.0,0.0,0.0,0.0,0.0
R61,197961,0.4234417083112583,-0.05125229252995875,-0.019501748882995162,-0.016692908990293468,-0.0014648815208583182,0.003753427205078773,-0.00020993597138076558,0.0009526866952403496,0.0005369965770745754,-0.00038775916971973013,4.940661973791477e-05,0.000173458228898045,-0.0,0.0,0.0,0.0,0.0,0.0
R62,197962,0.03411735876564833,0.0743696402508847,0.011378349187739651,0.0006855843158518254,0.003615964935806817,0.006585260371109471,0.012096098254929955,0.007652787846458104,0.0033057242705857555,0.0011414855258477512,0.0019034086961996007,-0.0010963657361697595,-0.0,0.0,0.0,0.0,0.0,0.0
R63,197963,0.08972079653293903,0.055993661814484195,0.0012701160758619495,0.0516024765119444,0.0090470092179085,-0.004278155293780397,-0.003259599937100286,-0.0027085856587005463,-0.001096940556079753,0.00037157208299842256,-0.0007283915794230562,-0.00021040749818577193,-0.0,0.0,0.0,0.0,0.0,0.0
R64,197964,0.04274865107507617,0.06175218622905127,0.011601845245178403,-0.01418507045728077,-0.0009021149258326493,-0.010359214440820082,-0.000935540204868681,-0.00227312176086357,-0.0011859985221577786,-0.006360508116925288,-0.002773193968122918,0.0003005348559208828,-0.0,0.0,0.0,0.0,0.0,0.0
R65,197965,-0.023975539300241537,0.04821649052785171,-0.0557811918907507,-0.006275834701687433,0.0057505841150100176,0.006335873409697283,-0.0013540265921762303,-0.003929793323621435,-0.0017318114548186634,-0.00012247821761017676,0.0004382555427183013,0.0004494938768223153,-0.0,0.0,0.0,0.0,0.0,0.0
R66,197966,0.028374669187408184,0.049923419736897325,0.009104236562359641,-0.00936235755471935,-0.012286815735994286,0.008110935457507615,-0.013496457540212354,-0.0032304451780434352,0.0008990825463582331,0.0028505098546769965,0.0011645191740654484,0.0006418082397336934,-0.0,0.0,0.0,0.0,0.0,0.0
R67,197967,0.012950805730457097,-0.039867038545291555,0.023724141319146592,0.01784203699243459,0.025788980191289813,0.0033366619515504494,-0.0007892949334062406,-0.0002596542294638524,-0.0005518290300016819,-0.0005255903418070167,0.002304160811407139,1.683452958443498e-05,-0.0,0.0,0.0,0.0,0.0,0.0
R68,197968,-0.040829488010785925,-0.011718923053389842,0.002697173029463002,-0.011581226156909838,-0.009218254980264467,-0.014175676279920916,0.004174381152789529,-0.0008681529126930452,-0.0028820312319427716,-0.00989138569694397,0.001937852542052582,-0.0008448560320444709,-0.0,0.0,0.0,0.0,0.0,0.0
R69,197969,-0.03004874811865381,-0.009837362819575798,0.032016514726083474,-0.016857780602538695,0.00031066277819506943,-0.014306264902825763,-0.013539698024243622,-0.0004070814392067195,0.006153053770774062,0.0034838626371481414,0.000696110845554538,0.0001535095669059719,-0.0,0.0,0.0,0.0,0.0,0.0
R70,197970,-0.048169175861859696,-0.010789577516165662,0.03648202253165141,-0.025268190042922408,0.013316768727065153,0.015086684364093347,0.005497737672232732,-0.004527696640494886,-0.00641223329586971,0.00011312995548293972,-0.0025795864069573728,0.001233875339882054,-0.0,0.0,0.0,0.0,0.0,0.0
R71,197971,-0.07374632173040915,-0.013645611707531995,-0.018066793809045772,-0.023151018821402133,0.018949687870840764,-0.013719422665645685,0.001728912926775374,0.004059312058913204,0.0034362283663139388,0.0024855185714162636,1.5122980722433736e-05,-0.0009063121159763309,-0.0,0.0,0.0,0.0,0.0,0.0
R72,197972,0.0009509991011849125,0.008121029540642167,0.004329738883013144,-0.007578923244648197,-0.015014637137414678,-0.009741233931204718,0.010074583133399744,0.005172606766430755,-0.003923978404456083,0.008606283063304855,-0.0007436481318818367,0.0004259728838123352,-0.0,0.0,0.0,0.0,0.0,0.0
