Order,Batch,Tube ID,Sample ID,Volume Dried,Name,Contents,Organism,Type,Timepoint,Temperature,Symbiont
1,1,L95M,L95,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Wildtype
2,1,L106M,L106,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Nonbleached
3,1,L69M,L69,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
4,1,L91M,L91,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
5,1,L65M,L65,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
NA,1,EB-1M,EB-1,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
6,2,L60M,L60,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
7,2,L81M,L81,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Wildtype
8,2,L102M,L102,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
9,2,L63M,L63,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Wildtype
10,2,L68M,L68,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
NA,2,EB-2M,EB-2,800 uL,Huffmyer/Matthews,Dried metabolite extract,NA,Blank,NA,NA,NA
11,3,L83M,L83,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Bleached
12,3,L67M,L67,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Bleached
13,3,L100M,L100,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,High (+6),Bleached
14,3,L90M,L90,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Moderate (+3),Nonbleached
15,3,L73M,L73,800 uL,Huffmyer/Matthews,Dried metabolite extract,Montipora capitata coral larvae,Sample,20230627,Ambient,Nonbleached
