gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___TS.g46023.t1,1112.4679294908706,-0.4418538773966326,0.11002910267144918,-4.01579097410277,5.92467501625695e-5,0.0030021758401343407,BvsWT
Montipora_capitata_HIv3___RNAseq.g40092.t1,1036.0251867607842,-0.5415024898120732,0.135014710603598,-4.0106925192908776,6.054091185610525e-5,0.0030545878102161946,BvsWT
Montipora_capitata_HIv3___TS.g29880.t1,623.4032312935423,-1.4056154330968498,0.1791552415197491,-7.845795753298696,4.302166556498278e-15,2.247834223919723e-12,BvsWT
Montipora_capitata_HIv3___RNAseq.g22859.t1,602.8935863051223,0.4913240114033115,0.14266325290410506,3.4439423004995415,5.732980348301927e-4,0.017853487940301314,BvsWT
Montipora_capitata_HIv3___RNAseq.g23558.t1b,11944.426167708545,0.3003792928576371,0.09129697389538866,3.2901341637218167,0.0010013962368707933,0.026219185213035737,BvsWT
Montipora_capitata_HIv3___RNAseq.g12926.t1,394.6358821439939,0.5436052798559355,0.16636928528290235,3.2674617729562456,0.00108516520335023,0.027793468694085628,BvsWT
Montipora_capitata_HIv3___RNAseq.g6851.t1,71.59964843637205,-9.218022659077523,1.3782911608013901,-6.688008253435957,2.2622838149803412e-11,6.733014817445289e-9,BvsWT
Montipora_capitata_HIv3___TS.g45566.t1,310.1650613386384,0.6292349239881333,0.17922779191296698,3.5108111151293424,4.4674170634412437e-4,0.014711191876138728,BvsWT
Montipora_capitata_HIv3___RNAseq.g18149.t1,266.90730000485263,-0.5523219268816458,0.17468368620025662,-3.1618403463759424,0.0015677549286929819,0.03686105388342939,BvsWT
Montipora_capitata_HIv3___RNAseq.g28609.t1,156.40153744725538,0.8227883862653911,0.2644504338008052,3.111314186329332,0.0018625665224685922,0.04202750871044293,BvsWT
Montipora_capitata_HIv3___TS.g19209.t1,39.7000267426832,-2.0825462698195123,0.6172585526564736,-3.373863773708655,7.412103878855294e-4,0.021515232888845146,BvsWT
Montipora_capitata_HIv3___RNAseq.g22864.t1,505.6236156656323,0.42920505269217424,0.12483666840947322,3.4381328672145504,5.857402155239419e-4,0.018144827335176444,BvsWT
Montipora_capitata_HIv3___RNAseq.g44031.t1,224.68807126317805,0.9636669808024931,0.21347381022111173,4.514216426850427,6.355129271677842e-6,4.713621433302505e-4,BvsWT
Montipora_capitata_HIv3___RNAseq.g40865.t1,294.234310397042,-0.8678163997535961,0.28230793522130954,-3.0740064003985195,0.002112049013376825,0.0461081675046573,BvsWT
Montipora_capitata_HIv3___RNAseq.g34606.t1,382.3856768264857,-0.5761463789418191,0.17322619222248603,-3.3259772760105215,8.810911149247416e-4,0.023899612321300504,BvsWT
Montipora_capitata_HIv3___RNAseq.g12466.t1,76.78437803760328,0.7755268548288603,0.24885907278834035,3.1163294395477457,0.0018311757552876126,0.04149325483202527,BvsWT
Montipora_capitata_HIv3___RNAseq.g38867.t1,134.54390706665302,-1.1933855200280858,0.2769370763380076,-4.309229864807027,1.6382402687063612e-5,0.0010217057081650918,BvsWT
Montipora_capitata_HIv3___TS.g48692.t1,40.73421247519468,-3.410313873587092,1.0111708915940274,-3.3726384945783137,7.445163305227091e-4,0.02158454742694197,BvsWT
Montipora_capitata_HIv3___TS.g29877.t1,1475.6911380574438,-0.5809605472464052,0.11115877453404645,-5.226402950929121,1.7283947223393427e-7,1.9603577393603688e-5,BvsWT
Montipora_capitata_HIv3___RNAseq.g11565.t1,734.7950692627114,0.5901379248230721,0.16120755806581988,3.6607336027143536,2.5149414002669537e-4,0.009445894920619266,BvsWT
Montipora_capitata_HIv3___RNAseq.g47041.t1,876.7653737646123,-0.6101112076506173,0.17343129464706206,-3.5178841793934144,4.350021773056705e-4,0.014457758864527586,BvsWT
Montipora_capitata_HIv3___RNAseq.g6908.t1,98.591715000657,-2.31144316160443,0.3940323776434458,-5.866124950006067,4.46097677194229e-9,7.563894098379688e-7,BvsWT
Montipora_capitata_HIv3___RNAseq.g39606.t1,11726.476397989089,0.2830051970530522,0.05725597502507363,4.942806352160069,7.700596389057953e-7,7.454115788872315e-5,BvsWT
Montipora_capitata_HIv3___RNAseq.g25175.t1,24.077243161902537,-2.210125638364582,0.6144090001003409,-3.597157004541991,3.217143100883646e-4,0.011374656930522751,BvsWT
Montipora_capitata_HIv3___RNAseq.g30524.t1,41.45656633184115,-8.948588933126338,1.176318533042125,-7.607283811115369,2.7991619045346213e-14,1.3162778939883603e-11,BvsWT
Montipora_capitata_HIv3___TS.g6402.t1a,3623.613913847885,-0.2511659246055534,0.07472209547477733,-3.361334060690726,7.756694908379624e-4,0.0219744265968317,BvsWT
Montipora_capitata_HIv3___RNAseq.g49013.t1,695.0308446731738,0.3269334682373518,0.09958799047984236,3.2828603796712468,0.0010275954671699816,0.026738324110125018,BvsWT
Montipora_capitata_HIv3___RNAseq.g38019.t1,14.809018994305575,-4.622886979550749,1.3830816242709298,-3.3424541967923496,8.304105886967761e-4,0.022950480934773858,BvsWT
Montipora_capitata_HIv3___RNAseq.g16671.t1,11.877975960260615,-6.273149297896489,1.5507583601789081,-4.045213915321255,5.2275368391897225e-5,0.0026777744262097766,BvsWT
Montipora_capitata_HIv3___RNAseq.g18634.t1,28958.739430824833,-0.5148649234882524,0.08813280070502319,-5.841921729135601,5.1602051890808234e-9,8.425468361504744e-7,BvsWT
Montipora_capitata_HIv3___RNAseq.g18979.t1,80.34536663767064,1.1418624945603106,0.34794090523823656,3.2817713507369093,0.0010315721662689623,0.0267707778954921,BvsWT
Montipora_capitata_HIv3___RNAseq.g35262.t2,24.316795869521087,-1.8937246408333799,0.43652271425376105,-4.338204127752474,1.4365170458297909e-5,9.20310321023162e-4,BvsWT
Montipora_capitata_HIv3___RNAseq.g1542.t1,6.2546174682734526,-5.427643521130802,1.7179991113870843,-3.1592819141498927,0.0015815842035002156,0.03707498284416458,BvsWT
Montipora_capitata_HIv3___RNAseq.g35357.t1,18.078104002663398,5.104613459968164,1.2109427946884617,4.215404296849071,2.4933111080999142e-5,0.0014546583318522377,BvsWT
Montipora_capitata_HIv3___TS.g6993.t1,94.44005584710773,-1.7688779845581672,0.44325656679527853,-3.9906413510059453,6.589486255267878e-5,0.0032548739670978646,BvsWT
