sample,Montipora_capitata_HIv3___TS.g12045.t2,Montipora_capitata_HIv3___RNAseq.g23352.t1,Montipora_capitata_HIv3___RNAseq.g43989.t1,Montipora_capitata_HIv3___RNAseq.g6871.t1,Montipora_capitata_HIv3___TS.g7221.t1,Montipora_capitata_HIv3___RNAseq.g6952.t1,Montipora_capitata_HIv3___RNAseq.g3884.t1,Montipora_capitata_HIv3___RNAseq.g9512.t1,Montipora_capitata_HIv3___RNAseq.g6583.t1,Montipora_capitata_HIv3___RNAseq.g13538.t1,Montipora_capitata_HIv3___RNAseq.g24304.t1,Montipora_capitata_HIv3___RNAseq.g29445.t1,Montipora_capitata_HIv3___RNAseq.g11708.t1,Montipora_capitata_HIv3___RNAseq.g29373.t1,Montipora_capitata_HIv3___TS.g1042.t2,Montipora_capitata_HIv3___RNAseq.g49809.t1,Montipora_capitata_HIv3___RNAseq.g18825.t1,Montipora_capitata_HIv3___RNAseq.g11652.t1,Montipora_capitata_HIv3___TS.g48517.t1,Montipora_capitata_HIv3___RNAseq.g7637.t1,Montipora_capitata_HIv3___RNAseq.g4949.t1,Montipora_capitata_HIv3___RNAseq.g32343.t1,Montipora_capitata_HIv3___RNAseq.g13651.t1,Montipora_capitata_HIv3___RNAseq.g5006.t1,Montipora_capitata_HIv3___RNAseq.g8036.t1,Montipora_capitata_HIv3___RNAseq.g41685.t1,Montipora_capitata_HIv3___RNAseq.g6374.t1,Montipora_capitata_HIv3___RNAseq.g6500.t1,Montipora_capitata_HIv3___RNAseq.g48080.t1,Montipora_capitata_HIv3___TS.g29156.t1,Montipora_capitata_HIv3___RNAseq.g6173.t1,Montipora_capitata_HIv3___RNAseq.g12642.t1,Montipora_capitata_HIv3___RNAseq.g48635.t1,Montipora_capitata_HIv3___RNAseq.g47503.t1,Montipora_capitata_HIv3___RNAseq.g19567.t1,Montipora_capitata_HIv3___RNAseq.g2476.t1,Montipora_capitata_HIv3___RNAseq.g18635.t1,Montipora_capitata_HIv3___RNAseq.g28823.t1,Montipora_capitata_HIv3___RNAseq.g29809.t1a,Montipora_capitata_HIv3___RNAseq.g39258.t1,Montipora_capitata_HIv3___RNAseq.g19311.t1,Montipora_capitata_HIv3___RNAseq.g1796.t1,Montipora_capitata_HIv3___RNAseq.g591.t1,Montipora_capitata_HIv3___RNAseq.g44050.t1,Montipora_capitata_HIv3___RNAseq.g20248.t1,Montipora_capitata_HIv3___RNAseq.g23046.t1,Montipora_capitata_HIv3___RNAseq.g7326.t1,Montipora_capitata_HIv3___TS.g24391.t1c,Montipora_capitata_HIv3___RNAseq.2434_t,Montipora_capitata_HIv3___RNAseq.g13255.t1,Montipora_capitata_HIv3___RNAseq.g39905.t1,Montipora_capitata_HIv3___RNAseq.g39735.t1,Montipora_capitata_HIv3___TS.g21917.t1,Montipora_capitata_HIv3___RNAseq.g48265.t1,Montipora_capitata_HIv3___RNAseq.g20967.t1,Montipora_capitata_HIv3___TS.g27931.t1,Montipora_capitata_HIv3___RNAseq.g2145.t1,Montipora_capitata_HIv3___TS.g46447.t1,Montipora_capitata_HIv3___RNAseq.g31229.t1,Montipora_capitata_HIv3___RNAseq.g28615.t1,Montipora_capitata_HIv3___RNAseq.g12135.t1,Montipora_capitata_HIv3___RNAseq.g34090.t1,Montipora_capitata_HIv3___RNAseq.g30952.t1,Montipora_capitata_HIv3___RNAseq.g33763.t1,Montipora_capitata_HIv3___RNAseq.g9228.t1,Montipora_capitata_HIv3___RNAseq.g11415.t1,Montipora_capitata_HIv3___RNAseq.g44060.t1,Montipora_capitata_HIv3___RNAseq.g26060.t1,Montipora_capitata_HIv3___RNAseq.g41149.t1,Montipora_capitata_HIv3___RNAseq.g45535.t1,Montipora_capitata_HIv3___RNAseq.g44954.t1,Montipora_capitata_HIv3___TS.g35289.t2,Montipora_capitata_HIv3___RNAseq.g33511.t1,Montipora_capitata_HIv3___TS.g37202.t2b,Montipora_capitata_HIv3___RNAseq.g22821.t1,Montipora_capitata_HIv3___RNAseq.g49310.t1,Montipora_capitata_HIv3___RNAseq.g35263.t1,Montipora_capitata_HIv3___RNAseq.g37506.t1,Montipora_capitata_HIv3___RNAseq.780_t,Montipora_capitata_HIv3___RNAseq.g43848.t1,Montipora_capitata_HIv3___RNAseq.g23527.t1,Montipora_capitata_HIv3___RNAseq.g32686.t1,Montipora_capitata_HIv3___TS.g8745.t1,Montipora_capitata_HIv3___RNAseq.g39291.t1,Montipora_capitata_HIv3___TS.g6748.t1,Montipora_capitata_HIv3___RNAseq.g24481.t1,Montipora_capitata_HIv3___RNAseq.g28824.t1,Montipora_capitata_HIv3___TS.g16276.t1,Montipora_capitata_HIv3___RNAseq.g42342.t1,Montipora_capitata_HIv3___RNAseq.g22864.t1,Montipora_capitata_HIv3___RNAseq.g10711.t1,Montipora_capitata_HIv3___RNAseq.g49732.t1,Montipora_capitata_HIv3___RNAseq.g5321.t1,Montipora_capitata_HIv3___RNAseq.g8654.t1,Montipora_capitata_HIv3___RNAseq.14930_t,Montipora_capitata_HIv3___RNAseq.g13250.t1,Montipora_capitata_HIv3___RNAseq.g4635.t1,Montipora_capitata_HIv3___RNAseq.g37640.t2,Montipora_capitata_HIv3___RNAseq.g37616.t1,Montipora_capitata_HIv3___TS.g36774.t2,Montipora_capitata_HIv3___TS.g10358.t2b
R100,6.758607241059644,9.846487148770859,6.758607241059644,7.48642739451668,7.437108646371297,8.23094949759515,6.758607241059644,9.966453758382466,8.36734671734791,8.641084195774225,9.056088363928186,11.69349396326616,9.464777774800682,8.53011476993031,10.390331586088305,9.678799439926696,7.1601938475237965,9.27352039917329,6.758607241059644,9.77303281790964,11.596177846785306,6.758607241059644,7.840500772493627,14.54126374789529,9.808710450258259,10.108301526105908,9.211190166352969,10.283922517862583,12.592069960679913,10.40748507968613,8.44722812372484,8.895497443631946,6.758607241059644,8.581101299523482,12.316716664283689,10.55232443929129,11.435160100190243,10.774282614831854,7.709703766443299,12.335441424208419,7.718485195685019,10.397419827148703,9.902028413908482,7.474441150143625,7.87775006863244,11.972331069038882,13.650738838337414,6.758607241059644,9.625693290675557,13.042665089480918,10.167708590230765,10.39842955922764,9.199325312090808,7.927538273721229,7.292730724336392,10.237216219907655,8.25147062913137,13.370608254633563,6.758607241059644,9.836011836877958,7.66433817281683,6.758607241059644,10.927195831201855,10.184234365351623,7.752725891298741,11.105944252360466,11.061555845406737,7.437108646371297,8.82782119585393,10.378097619880482,7.437108646371297,11.704904212484387,9.435033534995888,7.1601938475237965,8.742960501771032,9.550342336914264,8.44722812372484,10.192425577249061,6.758607241059644,15.62531497241142,8.708754054894474,8.85284223670586,9.282515404057289,16.37259735688878,6.758607241059644,8.59257215579609,9.437036631418923,11.476183971857282,10.755540474237941,8.913358104840803,6.758607241059644,11.364931419626679,13.15705626597177,9.783987789544845,8.776269313439094,13.063531664503957,10.401454467448906,7.9548729277773065,7.49820349482764,9.34814613933647,10.160566705849147
R101,7.000263919028313,10.230982845906876,7.240246019145903,7.601933625479194,7.601933625479194,8.23325970497789,8.041114372969293,10.061892339997101,8.514445727533438,8.663067373423011,8.808937150279341,11.53512817803068,9.154239232176279,8.241613415200908,10.591269066126289,9.681599213209914,7.393580854776659,9.506298238134436,6.758607241059644,9.454365069670555,11.393896893731124,6.758607241059644,8.199200682319768,14.324704832897162,9.460765291353594,10.774346972376199,9.078121366055235,10.329739761913203,12.724019573906885,10.549895142679661,8.348722892045885,8.81153497523726,6.758607241059644,8.385986105606014,12.806535521417594,10.628693265729199,11.638772420694261,11.553538837770763,7.3224105583785795,12.64097250252157,7.593687807979095,10.672616388650546,9.825053064033373,7.664908478119357,8.274418020644873,12.382855055918693,13.207563653674756,7.0287089390412225,9.917735755949572,13.054321719939406,10.55430717376313,10.012235593499824,8.785316810471027,8.094885914949112,7.000263919028313,10.54325142558,8.668889024839102,13.322251659980683,7.551030266929199,9.680237458211488,7.7018822582641455,6.758607241059644,10.780627992895875,10.432516098763353,7.777895073938425,10.983097738000604,11.153742122067912,7.4046375948636545,8.569160682376753,10.142599280536297,7.514993585689003,11.156638173070567,9.193652441479756,7.5421911185219495,8.457138480852082,9.545881542520544,8.677571066584152,10.19553206608681,6.758607241059644,15.73000708345579,8.59408570926176,8.543718283122084,9.28742583719575,16.36091684785548,6.758607241059644,8.633544847124606,10.409135697584652,11.667450430903246,10.552838011087468,8.782665224614483,6.758607241059644,11.808377901980503,13.624990687935352,9.462360706053685,8.697598602239264,13.09041206018994,10.486650406800926,8.237444393017789,7.3224105583785795,9.256266222671332,10.17459555215461
R102,7.550835568934541,9.873282766368511,7.425143056920089,7.106694881560431,7.507777909494199,8.180722989325892,6.758607241059644,10.097145975776915,8.076521853115956,8.789592007119431,8.923583942665777,11.701029076765805,9.920445535272407,8.678161054367493,10.46694489381514,9.64885595109084,7.3586419944942305,9.632193779226728,6.758607241059644,9.442036987801757,11.433492566617899,6.758607241059644,8.275813800659666,13.942850246870227,9.478104732008713,10.724327467335595,8.614912978265902,10.595501828845666,12.34807459202991,10.609003529395297,7.973549234833966,9.489301023572283,8.180722989325892,8.58203738043427,12.212926755065938,10.838934798102422,11.2987993787033,11.574755327589784,7.791479711252859,12.848268377514339,7.710398499095699,10.619046733949519,9.543959040436695,7.080984901387834,7.735538068107279,12.28037862106044,13.205449830259504,7.106694881560431,10.01155961294678,12.957358013492223,10.34598203044173,9.851961603946243,8.671289660476935,8.170218894325208,6.758607241059644,10.4780348605566,8.40711889217387,13.217288133068262,7.425143056920089,9.839011712947743,7.425143056920089,6.758607241059644,10.99658114582746,10.624041991212279,7.710398499095699,10.522444751133065,10.264936254724336,7.561205558437139,8.859808737549777,10.388762384459861,7.1306005018411005,11.449943023091276,9.209894759818084,7.080984901387834,8.773805553797315,9.115426355653508,8.485789673598166,10.24988740514029,6.758607241059644,15.682682800614515,8.721932388010478,8.44088023749147,9.603401367518472,16.411475147871677,6.758607241059644,8.632806550207405,10.415943925828548,11.511688959869362,10.583582253066139,9.26355212814105,6.944989903813659,11.944230284660541,13.700206283614028,9.445878433002008,8.731821454821585,12.981129138963613,10.100752117262566,8.322802728162209,7.425143056920089,9.302445443122368,10.229205476406015
R103,7.583763430786484,9.128207764824056,7.625620425623049,7.385949412922753,8.241292991349663,8.478023372282214,6.758607241059644,10.493904884781523,8.38777695990356,8.909149005466322,8.756677561293243,11.722119023804574,9.460002286884782,8.38777695990356,10.685755254747495,9.880304478411894,7.074126279719921,9.325428720782755,6.758607241059644,8.567340635633338,11.98360653711752,7.2560141766519415,8.336649965463222,14.63840201324054,8.567340635633338,10.972843739696101,8.269367751370984,10.6345345084783,12.891261224970341,10.610631490604355,8.356087599675929,9.000408446833717,6.758607241059644,8.343165598092082,12.672240285121049,11.03331597399225,11.127923819521092,11.207174631892062,6.758607241059644,12.721955553815524,7.230720172685016,10.256811265385796,9.962544528570282,7.346000780456335,7.96759634490681,12.60457531119888,13.095574861941593,7.880891775251331,10.13762097351543,13.034961270893609,11.020699792667294,9.866117757922286,10.561591249286407,7.715409802318653,7.074126279719921,10.518540556339154,8.719122287403554,13.76441028850081,6.758607241059644,10.022131567429176,7.508242390928554,7.346000780456335,10.728561583819587,10.236584332118653,8.38777695990356,11.012530419152979,10.942580062418097,6.758607241059644,8.99656970171363,10.499126810485894,7.404944644567617,12.46754018544803,9.465446129999899,7.423362617013803,9.05301220837562,9.722533524358726,8.92953589081636,10.093244198031762,7.346000780456335,15.762004351275648,8.561946401256009,8.837340327951885,8.984985933042175,16.345274801280766,7.850138623411688,8.545619432890108,10.190396243281995,11.732086739627299,10.285865020799905,9.384317754962487,6.758607241059644,11.783048006499449,13.697798317418059,8.567340635633338,9.074933146841259,13.015159265376068,10.63097444193646,8.362494919860339,7.175381268288019,9.103610614787478,9.884331653490882
R104,7.884135878870038,9.373024736021215,7.564302656505785,6.758607241059644,8.195426367266213,8.616668349093255,8.04811132439739,10.113894168229944,8.422343857935658,8.909872395757427,8.68573889224605,11.868441585013333,9.37771197887445,7.991572362479935,10.886319168980332,9.91244211980476,7.287271447727873,9.563442046609794,6.758607241059644,8.923078105936614,11.833549122315022,6.758607241059644,8.195426367266213,14.695475362975465,8.923078105936614,10.756095607304049,8.081927572322844,10.885515843233408,13.049382328813968,10.645506082199654,8.565487680356561,9.384712873868672,6.758607241059644,8.27062317231061,13.192713047939947,10.92201064273415,11.383020653193284,11.317330473297758,7.340479811222586,12.622264028666837,7.8426317655632865,10.218959494088919,9.646752396962805,7.653946744290672,7.8341024457368436,12.863015723560324,13.250454795949041,8.319882248338056,10.497459886607222,12.884819399557832,11.31435331862095,10.113894168229944,10.539009759358512,8.04811132439739,6.758607241059644,10.617680408920014,8.620839148261366,13.699634883819545,7.248442035303328,9.889971077880723,7.695197111292805,7.790207085927071,10.811307479362238,10.529765944691315,8.027276113042866,11.144345316700583,10.964460409703372,7.340479811222586,8.889809462198132,10.419476598261387,7.515054294013321,12.87254490144725,9.707036799565616,7.58772609373775,9.308120078070168,9.49856874587471,8.736105121329867,10.31917001087561,7.388996179208754,15.831204722149263,8.253714885808398,8.86600438834951,9.337348440030205,16.4215465654691,8.165081526063691,8.732301266499388,10.23679304795854,11.698154356209962,10.176014530665082,9.396302060140219,6.758607241059644,12.054604389644402,13.625319450147948,8.923078105936614,9.151708182689205,12.902542737641614,10.574399526178517,8.616668349093255,7.268241924734626,9.278250151268585,10.503770020754276
R105,6.758607241059644,9.633386463246246,7.6629777332193685,6.758607241059644,8.359497471228673,8.322813992553087,6.758607241059644,10.26524257698122,8.40502013512446,8.558424041473865,8.613903249867118,11.702686907610161,9.343470496152564,7.8493216426482855,10.709865375048452,9.889326621927399,7.003991456257603,9.574016050346696,6.758607241059644,9.233982469761994,11.82978661374539,7.387948694404178,8.239994137659318,14.623667869875078,9.205170563616788,10.906646866910657,7.9526360211257225,11.016733573202854,12.936466031340021,10.553099729607439,8.536399006146006,9.1176676014533,6.758607241059644,8.369768276043791,13.068210283877754,10.958566480401121,11.582624839164524,11.69358802292845,7.247623057961449,13.015197260400294,7.609040918857521,10.424191811185551,9.828330804471012,7.526422133569577,7.914212611274153,12.876471959779375,13.164619856944515,7.9450719455812635,10.776204823104754,12.884084162295053,11.65285526958862,10.07355267974192,10.585068745024712,7.693669358927272,7.304698686162364,10.718890336876786,8.540835962608591,13.656759594961525,7.1585195836201025,10.149346133694042,7.797475615701272,6.758607241059644,11.129820391772471,10.311471812237972,8.205073333255852,10.961607488837513,11.03416683134717,7.247623057961449,8.900144261803266,10.746511371645656,7.487858975600286,12.894832845783764,9.914904573298877,7.339510715757121,9.186510087266798,9.482058940395397,8.486489462747084,10.398527333950527,7.182610055043687,15.92575836379978,8.23424982130901,9.175729706243816,9.27482477779532,16.40893025473886,8.052911252524343,8.584341030346012,10.56316713898766,11.727416325361892,9.70143805507445,9.071673899638457,6.758607241059644,12.080296402535316,13.607640857513193,9.233982469761994,9.056968951380346,12.967910693333383,10.949404573316222,8.3748698588566,7.247623057961449,9.008786736112063,9.9085535664355
R106,7.068377944089861,9.533551229811145,8.011062023496622,7.8777132097574825,8.432485442480889,8.598396365774283,6.758607241059644,10.181272058699331,8.292985752103748,8.9261387695338,8.511058961094774,11.709979098044005,9.540180574745689,8.13887912413679,10.905084118424567,9.86461671503893,7.116072041769238,9.561509128500923,6.758607241059644,9.103838269100205,11.573753042892339,7.137635526335344,8.447855688640473,14.735734161341888,9.13313148758135,10.976403556059577,8.082232745494643,10.78687309729721,12.878377348969694,10.64975333032361,8.595019802406256,8.959587573151548,6.758607241059644,8.723408558095226,13.407752486574422,10.796425375268791,11.442476031420496,11.121734243707936,6.758607241059644,12.838455481846543,7.520449602662912,10.297791382909034,9.579303234425435,7.510313689703412,7.737413535870814,12.688046663846709,13.229145794394462,7.909671487000301,10.312183964664483,12.715365174669115,11.265025283442634,9.780941068722425,10.469296460636446,8.09276068031472,7.195855778497453,10.588956708642167,8.381103554938333,13.566560663687516,7.158011446879173,10.194816433031775,7.864619902334553,7.569059956460501,11.051761588085075,10.310273351007051,8.405097542524995,11.122276163986843,11.08772932338441,7.569059956460501,8.741583320083693,10.410832920437631,7.230591624293784,13.039208320706761,9.854096247643335,7.446083967992045,9.128666381192637,9.747159232863925,8.266509110496315,9.903381303901767,6.758607241059644,15.819641884109767,8.168555364869333,9.038470554706102,9.272734794111308,16.314408690461633,7.722067348524777,8.71729185279103,9.905927992603853,11.509818234510675,10.185453354459945,9.148643201201033,7.530440448795322,11.738145875118159,13.286113401749365,9.103838269100205,9.350832955968157,12.734237840505688,10.82470577623999,8.17826925939646,7.247003646490581,9.42829546987538,10.090487708230077
R107,7.5102439347424355,9.46913277056002,7.524238094402411,7.696583128751688,7.810209261779605,8.643818772247053,6.758607241059644,10.209031562554335,8.384067570615144,8.831614004967808,8.485573704515422,11.886521359949194,9.183416807088868,8.156355950029331,10.918544777079212,9.541882650799705,6.758607241059644,9.103829748463653,7.151820027884604,8.831614004967808,11.922661284373662,7.29306467030324,8.189981428149506,14.892237455887239,8.86229016385292,10.720459122487366,7.857393188535952,10.9116120454251,12.86179196337255,10.510157398330154,8.326893548792436,8.700992075445567,6.758607241059644,8.372855900802646,12.901583143879336,10.886196043287457,11.34473377364306,11.215057176458902,7.091225119449199,12.665696530806636,7.386145053429954,9.96960596078905,9.881030006440659,7.564633002812743,8.114570200319173,12.561072106531297,13.264228663089485,7.810209261779605,10.060854238987561,12.927513437540235,11.160598669057846,10.237173528325107,10.170132096767674,8.235387934928474,6.758607241059644,10.398972874328068,8.395172677475491,13.817155307775517,7.25066421893428,10.09206523184797,7.838811130336284,7.451189017741979,10.93914407859399,10.452658341323751,7.961792996231672,11.298378110152012,11.145179558537428,7.451189017741979,8.510910498332159,10.569847740651015,7.332209551089632,12.735373389652496,9.59348753015298,7.272320400375829,9.449718273283027,9.550996686594413,8.515914655047505,10.096688034805956,6.758607241059644,15.7928482586285,8.378475205867337,8.91428580491749,9.227276466080275,16.353752454222988,7.685456059319811,8.611912483461165,10.095148778339686,11.468988800387521,10.469324553296893,9.153362717808166,7.016479526511765,11.799272787899922,13.358891881890564,8.81991968614431,9.075138681016995,12.92815575858275,10.829377904523172,8.17665576792846,6.758607241059644,9.389772324507755,9.82432882340876
R108,8.164685348932867,8.999843399686775,8.13010827874258,7.555217662043186,8.106419697377119,8.625218317453006,6.758607241059644,10.443239172217172,8.076041418851231,8.772873244183893,8.695801831774553,11.767778063059701,9.377731875840212,7.848715895391217,10.616807655136057,9.709420050736545,7.434259917515382,9.43265072286873,6.758607241059644,8.877280150194409,11.975944515986878,7.228917485565587,8.439874271347488,14.587361166884985,8.79644809999188,11.010896405200217,8.236033930992571,11.023725535935085,13.040771066885883,10.564972908781227,8.26747525838585,8.923463614543879,6.758607241059644,8.277763045245491,12.625539714062022,10.943550240454515,11.44935587831821,11.64619721128342,6.758607241059644,12.846154747391985,7.378742592788283,9.807617486541405,9.838876679295602,7.618987115429368,7.840913917563045,12.76685042401851,13.073527491896114,7.658726523812911,10.150920366889958,13.087226799530857,11.428206886542467,9.989691907222428,11.023725535935085,7.937597806110237,7.26623013340093,10.652091825434981,8.6213903386544,13.666590153589416,7.420845990683298,10.028044809597729,7.767486562187799,7.767486562187799,10.74812346041246,10.422923675120105,8.342455234788687,10.689924389446645,10.736671473445703,7.300884691064027,8.67760978880213,10.717656242889733,7.378742592788283,12.967545333154069,9.975737756541239,7.228917485565587,9.19091365221203,9.572332840655722,8.602070940574677,10.081088572072279,7.188253924955254,15.79262206604822,8.375838443450258,8.895950650871246,9.145646003917506,16.34128460317968,7.393107758110127,8.517439734625404,10.257102863458282,11.804173911611855,10.475153485681192,9.085485875612697,7.348899087969667,11.974209808908201,13.702214051682924,8.877280150194409,9.008377711269391,13.087707935187812,10.975882076011889,8.594257815414078,6.951318613094032,9.499335785955987,10.129701477215136
R55,7.4122209852854235,7.820538531803031,6.758607241059644,6.758607241059644,8.087196133706495,8.540683159368461,7.859804020145747,10.261594256633554,8.712633190977146,8.935887483107908,9.018272266954426,11.69553693123575,9.720665300864122,8.793304715756184,10.394782267204352,9.600529727392786,7.188573684136483,9.518582079384238,7.6910685198392565,9.139416293234966,12.737148904037191,7.254484625608052,8.3643265882781,13.311225924396746,9.266214687284837,9.308495661023159,8.915727068457642,9.84161245875548,10.15847795729051,11.54988771709454,8.165663246708068,10.29747828199688,6.758607241059644,8.620060571085482,9.627803979063074,12.225478137042435,11.055174435215404,9.823470982813394,7.312342899389033,12.000472496518702,7.833815181906272,10.85020294349217,9.371361143304133,7.675379271799552,7.659380281561675,10.964555883228725,11.907645464901156,7.885084445250252,9.378570374906525,12.89078633588659,9.378570374906525,9.603586793704439,8.48474203217882,8.37222473220304,7.537045956292364,9.854428520017489,8.620060571085482,13.958549040340381,7.456515871130208,10.236509101572596,8.506024455305395,8.526938275271776,10.700845295724122,10.424087813470477,8.999346268297177,10.97736055611851,10.34876196322533,7.675379271799552,10.182948014845206,10.671018616705844,7.793383771456188,9.135120243456143,10.250071530761497,7.222740605684627,9.194048708619537,7.751021142521961,8.826376881756344,11.164006640052575,6.758607241059644,16.370937758406352,9.458860757294628,8.853302266815598,9.8077321080227,16.46706272933661,6.758607241059644,9.169109416713466,8.706669720760821,11.27084889775791,10.07153034096763,9.753953816986108,7.706463593917172,9.957704481073185,14.116026106855736,9.143698614945606,8.175080231929236,12.910592554983465,10.898759209004721,8.879678259350433,7.110104066242574,9.338440563861313,10.924239169579264
