Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
25.06.23 17:48:38,4.05,167.99,166.76,180.78,171.74,176.43,168.47,165.33,172.99,162.09,166.98,173.06,185.01,175.06,165.35,173.09,179.05,161.57,181.58,168.22,172.29,172.25,168.5,173.07,173.56,,33,965,33,28.85,
25.06.23 17:48:53,4.3,166.5,166.76,180.52,171.74,177.48,166.97,164.31,173.75,162.09,167.23,173.84,184.45,175.32,166.36,172.02,177.65,161.82,182.16,167.97,172.83,172.5,168.5,173.07,173.04,,33,965,33,28.88,
25.06.23 17:49:08,4.55,166.75,166.52,179.22,171.74,176.43,168.22,164.82,173.75,161.58,167.48,173.84,183.62,174.81,165.85,172.29,177.08,161.82,182.74,168.22,172.02,172.5,167.61,173.07,174.08,,33,965,33,28.92,
25.06.23 17:49:23,4.8,166.75,167.51,179.48,171.74,176.95,169.98,164.82,174.5,162.09,166.98,174.1,185.57,176.86,165.6,172.02,177.93,162.33,183.32,169.72,172.29,173.26,167.91,173.59,174.33,,33,965,33,28.96,
25.06.23 17:49:38,5.05,166.25,166.02,179.48,171.49,174.6,169.22,163.54,175.01,162.34,166.73,173.32,184.73,176.34,165.35,172.82,177.08,161.82,182.74,168.47,172.29,172.75,167.31,172.54,173.82,,33,965,33,28.99,
25.06.23 17:49:53,5.3,166.75,166.27,179.22,171.74,173.82,167.72,163.54,175.01,161.08,166.73,173.32,184.73,177.12,165.85,172.29,177.65,162.08,182.45,169.22,172.56,172.25,167.02,171.49,173.56,,33,965,33,29,
25.06.23 17:50:08,5.55,167.99,166.52,179.74,172.24,174.86,168.47,163.29,175.76,161.58,167.23,173.84,185.01,177.37,165.85,172.82,177.37,162.58,182.16,169.47,171.76,172.5,167.31,172.8,174.08,,33,965,33,29.02,
25.06.23 17:50:23,5.8,167.24,165.78,179.22,171.49,174.34,167.97,163.29,175.76,161.58,167.48,172.79,183.34,177.12,165.09,172.29,175.68,162.33,181.87,169.72,171.22,172.75,166.42,171.23,174.33,,33,965,33,29.03,
25.06.23 17:50:38,6.05,167.99,165.03,179.48,171.74,174.08,168.72,162.53,176.02,161.33,168.48,173.58,183.06,177.63,164.58,172.55,175.12,161.07,182.16,169.98,170.95,172.5,166.12,172.01,173.56,,33,965,33,29.06,
25.06.23 17:50:53,6.3,167.24,164.79,178.7,171.74,173.04,169.22,161.76,175.01,160.33,168.73,173.32,183.06,177.12,164.84,172.55,174.28,160.82,180.7,170.23,170.42,172.25,164.94,170.96,173.04,,33,965,33,29.08,
