Measurement Name :,20230625_SDR710_Run01_Plate02_PR_F1F2,,Generated On :,"25/06/2023, 17:00:31",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
25.06.23 15:40:39,0.53,191.63,185.3,185.08,184.18,178.13,188.14,182.38,197.33,180.44,195.06,188.85,179.05,188.96,182.39,182.54,170.58,187.4,188.42,195.34,196.53,185.36,182.94,178.64,187.37,,27,965,33,25.32,
25.06.23 15:40:54,0.78,192.77,185.02,185.63,183.9,179.5,187.87,185.17,197.62,179.88,196.17,187.72,179.05,186.48,183.22,182.83,169.15,187.4,188.72,197.32,198.87,187.29,183.53,178.64,188.51,,27,965,33,25.31,
25.06.23 15:41:09,1.03,192.2,185.02,183.43,184.46,179.77,186.77,184.05,197.62,180.72,196.45,186.88,178.5,187.31,184.06,181.98,168.01,188.82,190.23,197.32,199.16,185.91,183.53,180.29,189.64,,27,965,33,25.29,
25.06.23 15:41:24,1.28,194.21,184.74,180.15,184.18,179.22,185.94,183.21,196.77,180.44,197,186.6,178.22,187.58,183.22,182.54,168.01,189.66,189.32,195.91,198.57,185.63,182.06,180.02,189.93,,27,965,33,25.29,
25.06.23 15:41:39,1.53,193.06,185.3,179.6,184.18,179.5,185.67,182.65,197.33,180.16,196.45,188.28,177.11,185.94,181.83,182.83,167.16,189.1,189.02,197.32,198.87,185.63,183.82,180.29,190.5,,27,965,33,25.28,
25.06.23 15:41:54,1.78,194.49,184.74,178.78,183.9,179.77,187.04,180.15,197.62,180.44,195.89,187.44,176.84,186.21,182.11,182.26,169.15,188.53,189.02,196.48,199.45,184.81,184.41,178.37,189.64,,27,965,33,25.29,
25.06.23 15:42:09,2.03,192.77,185.3,176.88,183.9,179.5,189.52,180.43,197.62,181,197,188.28,176.01,185.66,181,181.7,169.15,189.38,189.63,196.48,199.16,183.71,183.23,181.39,191.07,,27,965,33,25.28,
25.06.23 15:42:24,2.28,191.92,184.74,176.07,183.07,178.95,189.52,180.98,197.33,179.88,196.72,187.16,175.46,186.76,179.88,182.26,168.58,187.4,189.93,196.76,197.7,185.36,182.94,182.22,191.07,,27,965,33,25.31,
25.06.23 15:42:39,2.53,189.07,183.91,177.7,186.12,179.22,188.69,180.43,197.62,180.44,197,187.44,174.08,186.48,178.5,181.7,166.59,186.56,188.72,197.89,198.28,185.63,181.18,177.55,191.64,,27,965,33,25.29,
25.06.23 15:42:54,2.78,188.5,184.19,175.8,185.01,179.5,187.87,179.04,196.77,179.33,197.56,186.88,173.26,186.76,178.22,181.7,165.17,186.56,190.23,196.76,197.4,186.18,180.6,180.02,191.64,,27,965,33,25.31,
25.06.23 15:43:09,3.03,189.35,183.36,175.53,183.07,179.22,187.59,178.2,197.62,179.33,196.72,186.88,173.53,186.21,177.94,182.26,163.47,186,189.32,197.04,197.99,186.74,182.35,178.09,191.64,,27,965,33,25.31,
25.06.23 15:43:24,3.28,189.92,183.64,173.1,182.25,178.13,187.32,178.2,195.91,179.88,196.17,187.16,171.89,183.74,177.11,182.26,162.05,184.59,188.42,195.91,197.7,186.74,183.82,179.19,190.78,,27,965,33,25.34,
25.06.23 15:43:39,3.53,191.92,183.64,173.37,181.42,178.4,186.22,177.65,196.48,179.88,198.12,184.92,171.34,183.47,175.18,180.86,161.21,187.97,188.12,197.61,197.99,186.18,181.48,181.39,185.68,,27,965,33,25.34,
25.06.23 15:43:54,3.78,191.63,183.64,177.15,181.14,178.13,185.4,176.27,196.77,178.5,197,183.25,170.79,187.03,176.56,180.01,160.64,188.82,187.22,198.46,198.28,186.74,178.85,179.47,185.68,,27,965,33,25.35,
25.06.23 15:44:09,4.03,191.06,183.09,180.15,180.87,177.31,184.3,177.37,196.2,178.5,197,181.58,171.34,185.94,174.36,179.17,160.08,188.53,187.82,197.04,198.57,188.67,178.56,178.37,188.51,,27,965,33,25.36,
25.06.23 15:44:24,4.28,191.35,182.53,179.33,180.87,176.49,186.49,177.37,196.48,178.77,197.28,181.02,169.7,185.11,174.91,178.05,160.64,186.84,188.12,197.61,198.57,188.67,178.85,180.57,187.94,,27,965,33,25.38,
25.06.23 15:44:39,4.53,193.06,182.26,181.51,181.42,176.21,186.22,175.99,196.77,178.77,196.45,180.19,169.42,183.2,174.63,178.33,160.92,184.31,188.42,197.04,198.28,188.67,180.89,182.22,189.08,,27,965,33,25.39,
25.06.23 15:44:54,4.78,197.08,183.36,182.88,183.63,175.12,185.67,176.27,196.77,178.22,197,180.75,168.61,183.74,174.91,178.61,160.92,185.43,188.72,197.04,198.87,189.77,180.6,181.12,187.09,,27,965,33,25.39,
25.06.23 15:45:09,5.03,195.64,180.61,178.24,184.18,175.12,184.58,175.44,195.63,178.5,197,179.64,167.52,184.02,176.84,177.49,161.49,184.59,188.72,197.89,197.4,188.11,179.43,179.47,185.68,,27,965,33,25.42,
25.06.23 15:45:24,5.28,192.2,181.43,179.87,185.29,175.4,185.12,176.82,196.48,178.5,197.56,179.64,166.7,184.02,175.46,178.33,160.92,184.59,188.72,197.89,198.28,190.05,178.85,180.57,183.42,,27,965,33,25.43,
25.06.23 15:45:39,5.53,190.21,181.43,177.42,182.25,173.76,186.77,176.27,196.48,177.67,197.28,180.75,166.7,182.93,174.08,178.33,158.95,185.43,188.12,198.74,198.57,190.33,176.23,180.02,180.34,,27,965,33,25.43,
25.06.23 15:45:54,5.78,189.64,181.16,175.8,181.7,175.4,185.67,175.99,195.91,177.94,197,180.19,165.89,184.57,174.91,177.77,157.83,185.15,187.22,198.46,198.28,190.88,175.94,181.39,183.14,,27,965,33,25.46,
25.06.23 15:46:09,6.03,189.35,181.16,173.64,185.01,174.85,184.58,176.27,195.91,177.94,198.68,180.47,165.62,185.11,173.53,178.05,158.67,185.72,187.82,197.61,197.11,190.05,177.1,179.47,182.3,,27,965,33,25.45,
25.06.23 15:46:24,6.28,189.07,181.71,169.87,184.46,175.94,187.59,175.71,195.91,178.5,198.12,181.58,164.8,183.47,173.53,177.77,156.99,183.19,186.91,198.46,197.7,191.72,177.39,178.37,180.9,,27,965,33,25.46,
25.06.23 15:46:39,6.53,188.79,181.98,168,181.97,174.03,187.87,174.61,194.78,176.84,197.28,177.15,163.18,184.57,172.71,178.33,156.71,182.07,186.61,197.32,196.82,190.33,177.68,177,183.71,,27,965,33,25.48,
25.06.23 15:46:54,6.78,189.35,180.61,167.46,180.87,174.03,186.77,174.89,195.35,177.11,197.84,176.32,162.91,186.48,173.53,176.38,156.43,182.07,186.31,197.61,197.11,190.61,174.78,178.37,184.55,,27,965,33,25.46,
25.06.23 15:47:09,7.03,189.07,180.33,166.4,179.77,173.76,185.4,175.16,195.35,176.56,198.12,179.91,162.64,186.48,172.71,176.1,155.87,180.4,185.41,197.04,196.53,190.61,173.91,177.82,183.14,,27,965,33,25.49,
25.06.23 15:47:24,7.28,187.65,180.61,165.6,180.05,172.68,184.3,174.34,195.63,176.84,197.56,181.02,161.02,183.74,171.06,174.98,155.03,180.12,185.11,198.18,196.24,188.67,172.76,178.64,184.83,,27,965,33,25.49,
25.06.23 15:47:39,7.53,188.5,180.06,165.86,180.59,174.31,185.67,174.34,195.63,176.84,199.23,183.25,161.56,183.47,171.34,174.98,152.8,180.68,185.71,198.18,196.53,189.77,173.91,178.09,184.55,,27,965,33,25.49,
25.06.23 15:47:54,7.78,188.22,179.79,165.33,178.95,173.76,184.85,174.06,195.35,175.73,198.12,177.7,160.75,181.83,171.06,174.71,150.86,180.68,185.71,197.32,197.99,189.5,175.36,174.81,183.99,,27,965,33,25.5,
25.06.23 15:48:09,8.03,187.37,180.33,164.53,178.4,172.95,183.76,174.06,195.63,175.46,198.12,176.05,159.95,182.38,171.34,174.15,149.75,180.68,185.71,197.04,197.11,187.84,174.2,176.45,184.55,,27,965,33,25.5,
25.06.23 15:48:24,8.28,188.22,179.51,164.8,177.58,173.22,182.94,174.89,194.21,176.56,198.95,175.77,159.68,183.2,171.06,174.15,146.71,182.07,185.41,198.46,196.24,186.18,172.47,174.81,183.42,,27,965,33,25.53,
25.06.23 15:48:39,8.53,188.22,179.51,163.21,175.4,172.13,182.94,172.96,194.78,175.46,198.95,175.5,159.14,184.02,169.97,173.87,146.43,182.91,184.51,198.18,196.82,185.36,171.02,174.27,184.55,,27,965,33,25.53,
25.06.23 15:48:54,8.78,187.65,177.87,162.94,174.85,171.86,182.94,175.44,195.06,174.63,198.12,174.95,157.8,181.83,169.42,173.32,145.88,181.51,183.91,197.32,196.53,187.84,171.31,172.9,182.86,,27,965,33,25.53,
25.06.23 15:49:09,9.03,188.79,177.87,161.09,176.21,172.41,183.21,177.65,194.78,174.91,198.95,175.77,157,179.93,169.15,173.04,145.88,180.95,183.61,198.74,196.53,188.94,171.89,172.9,182.58,,27,965,33,25.53,
25.06.23 15:49:24,9.28,189.35,177.32,159.51,174.58,172.13,183.21,171.86,194.21,174.36,197.56,174.95,156.2,178.3,168.06,173.04,144.51,180.95,183.91,197.04,195.65,190.88,171.31,173.18,182.58,,27,965,33,25.53,
25.06.23 15:49:39,9.53,190.21,175.96,158.98,174.31,171.05,184.03,172.14,193.65,173.81,198.95,175.22,155.93,180.2,168.88,172.21,144.78,180.4,183.02,197.89,196.24,189.77,170.74,173.18,183.71,,27,965,33,25.53,
25.06.23 15:49:54,9.78,192.2,175.69,157.93,173.76,170.51,185.94,171.31,194.78,174.08,198.12,174.95,154.6,182.11,168.61,171.1,143.41,181.23,183.02,198.74,195.36,187.29,169.01,175.08,180.9,,27,965,33,25.56,
25.06.23 15:50:09,10.03,192.77,175.69,160.83,172.41,169.43,187.59,171.31,193.65,173.26,197.56,173.85,154.07,181.83,170.52,171.38,141.76,180.68,183.02,197.32,197.11,185.63,168.73,173.72,181.46,,27,965,33,25.54,
25.06.23 15:50:24,10.28,191.06,175.96,162.68,172.68,169.7,184.58,170.49,194.21,173.81,197.56,173.3,153,180.47,169.15,170.82,143.96,179.56,183.61,197.89,195.94,188.39,168.73,173.72,181.74,,27,965,33,25.56,
25.06.23 15:50:39,10.53,191.06,174.05,161.09,173.49,169.7,182.12,170.22,194.21,172.71,198.12,173.85,153,178.03,167.79,169.99,141.49,178.45,183.32,199.03,196.24,187.29,167.58,172.09,181.46,,27,965,33,25.56,
25.06.23 15:50:54,10.78,193.63,175.96,157.41,174.03,168.62,181.03,170.22,193.65,173.81,198.12,173.57,151.94,179.12,168.61,168.89,142.04,176.51,183.32,197.89,196.24,188.67,167.87,176.18,181.74,,27,965,33,25.56,
25.06.23 15:51:09,11.03,191.63,175.69,155.05,174.31,168.89,182.66,169.95,193.65,173.26,197.84,173.85,151.41,177.76,167.25,168.34,141.49,176.23,182.42,198.74,195.65,187.01,168.73,171.82,180.34,,27,965,33,25.56,
25.06.23 15:51:24,11.28,188.79,176.78,153.48,174.85,168.62,182.94,169.67,194.5,172.98,198.68,174.12,150.88,176.41,167.79,167.52,140.4,176.51,183.02,198.46,195.36,188.11,166.15,171,182.3,,27,965,33,25.57,
25.06.23 15:51:39,11.53,188.79,175.96,151.92,175.4,168.35,182.39,169.13,194.21,172.16,197.28,173.57,149.56,176.68,166.97,166.14,139.03,177.62,183.02,197.61,195.36,186.46,167.01,166.41,179.22,,27,965,33,25.59,
25.06.23 15:51:55,11.8,190.21,174.6,150.62,174.58,167.81,181.58,168.85,193.65,172.16,197.84,175.22,148.51,176.41,167.25,166.69,138.49,176.78,180.63,196.48,195.36,187.01,165.29,167.22,178.94,,27,965,33,25.59,
25.06.23 15:52:10,12.05,187.93,174.6,150.36,174.85,167.01,182.12,168.85,192.8,171.89,197.84,176.05,147.45,176.41,166.97,166.42,139.31,178.17,181.52,197.04,195.36,187.29,164.44,168.84,180.62,,27,965,33,25.6,
25.06.23 15:52:25,12.3,189.35,175.41,148.81,173.22,168.62,182.12,168.03,192.23,171.61,198.12,176.87,147.98,176.14,168.33,165.59,139.85,178.73,181.52,197.89,195.65,186.74,166.72,169.11,178.38,,27,965,33,25.6,
25.06.23 15:52:40,12.55,190.78,175.69,150.88,172.68,166.47,181.58,168.58,193.65,170.79,197.56,180.19,146.93,174.26,168.61,166.97,139.58,178.17,180.63,196.48,195.65,187.29,167.01,168.03,179.22,,27,965,33,25.6,
25.06.23 15:52:55,12.8,191.06,175.96,150.1,172.68,167.54,181.85,169.67,192.8,170.79,198.12,176.6,145.88,174.79,169.42,165.59,138.22,176.51,181.52,198.18,196.24,187.01,165.01,168.84,178.94,,27,965,33,25.61,
25.06.23 15:53:10,13.05,186.8,175.96,150.1,172.41,166.2,182.66,171.59,193.08,170.24,197.84,176.05,145.88,176.41,168.88,163.95,138.76,176.51,180.03,196.48,195.65,187.01,163.3,166.95,179.22,,27,965,33,25.6,
25.06.23 15:53:25,13.3,187.37,173.51,150.88,171.32,167.01,184.3,166.95,192.8,171.61,197.28,174.4,145.61,175.87,169.15,163.68,139.31,175.4,180.63,197.89,196.53,184.26,164.44,166.68,178.1,,27,965,33,25.6,
25.06.23 15:53:40,13.55,186.23,172.16,151.4,171.59,165.4,181.03,168.58,193.08,169.97,197,174.67,145.09,175.33,168.06,163.68,140.12,175.68,180.93,196.19,194.49,184.81,161.88,165.34,179.78,,27,965,33,25.61,
25.06.23 15:55:19,15.2,191.63,167.03,147.78,161.92,157.15,173.74,165.04,193.08,173.53,198.4,173.3,140.13,160.43,161.56,165.87,130.65,177.06,183.32,195.63,186.4,187.56,164.44,154.69,177.27,,27,965,33,25.61,965C4-(E1);
25.06.23 15:55:34,15.45,189.92,165.96,139.57,158.74,165.67,174.54,162.34,196.48,161.02,190.08,187.44,136.24,157.55,162.37,162.59,132.8,174.57,182.72,201.88,192.17,186.74,169.3,156.81,163.23,,27,965,33,25.63,965C3-(E1);
25.06.23 15:55:49,15.7,190.21,167.57,137.03,161.92,162.72,170.79,155.36,191.11,166.43,194.22,172.2,136.76,160.96,159.41,156.61,133.07,177.06,184.81,205.6,190.14,177.44,161.59,155.22,180.34,,27,965,33,25.64,
25.06.23 15:56:04,15.95,189.07,169.72,147.52,161.13,164.59,182.66,163.15,193.65,164.8,189.81,179.08,134.44,173.45,161.83,157.43,138.76,175.12,183.02,198.46,179.55,191.16,157.35,155.49,169.24,,27,965,33,25.67,965B6-(E1);
25.06.23 15:56:19,16.2,182.29,164.36,142.38,157.68,163.26,178.86,167.76,186.34,164.26,192.84,172.2,134.69,167.84,159.41,165.05,124.49,176.23,183.02,186.65,186.11,184.26,153.97,164.27,169.24,,27,965,33,25.69,965D6-(E1);
25.06.23 15:56:34,16.45,188.5,172.7,141.36,161.13,165.93,183.48,161.53,188.86,165.62,201.47,189.13,138.57,171.3,163.45,159.32,133.61,179.84,181.52,190.84,197.4,182.34,158.76,155.22,178.38,,27,965,33,25.7,965D6-(E1);
25.06.23 15:56:49,16.7,183.98,163.29,139.06,157.15,161.66,175.08,160.18,195.06,164.26,192.29,174.4,140.13,165.18,154.87,160.41,127.43,167.98,184.21,197.04,200.33,193.11,159.89,153.38,175.88,,27,965,33,25.71,965C6-(E1);
25.06.23 15:57:04,16.95,179.48,165.69,135.01,157.68,169.7,180.22,150.04,199.62,169.42,196.45,176.05,136.24,162.01,149.03,154.73,123.16,164.17,175.58,200.74,191.88,180.71,158.19,154.96,187.37,,27,965,33,25.71,965B6-(E1);
25.06.23 15:57:19,17.2,181.73,170.26,135.26,160.86,162.72,180.22,159.11,191.11,159.68,193.39,170.57,133.92,164.92,157.54,158.78,121.84,170.17,179.44,193.93,191.3,177.98,161.02,156.02,178.66,,27,965,33,25.74,965D6-(E1);
25.06.23 15:57:34,17.45,184.82,166.77,133.24,155.04,160.59,172.4,165.32,192.52,165.34,192.01,188,142.47,172.11,152.21,155,124.49,170.17,183.32,202.16,199.16,182.34,163.01,152.06,183.99,,27,965,33,25.74,965B6-(E1);
25.06.23 15:57:49,17.7,187.65,166.5,138.05,152.41,159.8,172.4,160.72,186.06,162.37,203.44,166.76,128.03,164.92,147.72,155.27,133.34,166.07,176.47,198.46,187.84,177.44,154.54,148.92,194.21,,27,965,33,25.75,965D6-(E1);
25.06.23 15:58:04,17.95,180.04,158.24,129.98,155.56,162.46,174.54,158.84,187.18,162.91,196.72,181.3,130.84,169.43,148.24,151.5,123.69,166.89,167.94,199.88,189.28,180.71,156.22,151.28,189.08,,27,965,33,25.75,965D6-(E1);
25.06.23 15:58:19,18.2,186.8,165.69,137.54,157.94,171.86,173.2,164.77,195.06,163.99,192.84,179.36,138.05,157.29,149.82,153.65,131.99,162,175.29,201.59,199.16,184.54,156.78,161.06,171.17,,27,965,33,25.77,965D6-(E1);
25.06.23 15:58:34,18.45,179.48,161.16,134.75,156.36,164.06,169.46,159.11,187.46,158.34,202.04,175.22,129.31,163.07,142.21,152.31,131.45,162.81,171.16,190,196.53,185.36,157.07,153.11,184.83,,27,965,33,25.78,965D6-(E1);
25.06.23 15:58:49,18.7,183.98,161.16,131.98,149.79,167.81,172.67,155.89,182.99,165.89,197,177.43,130.59,157.03,137.79,147.5,116.82,163.63,177.66,190.56,187.55,170.7,155.38,159.46,175.88,,27,965,33,25.78,965B6-(E1);
25.06.23 15:59:04,18.95,185.95,161.69,128.23,154.25,169.16,181.3,162.34,193.93,159.95,191.74,178.81,136.5,173.99,150.35,144.84,135.5,166.34,176.47,191.96,191.88,187.84,164.44,154.96,187.94,,27,965,33,25.8,965D6-(E1);
25.06.23 15:59:19,19.2,179.2,161.69,136.02,160.06,163.79,172.93,163.15,195.35,163.18,193.67,164.05,131.61,162.28,147.98,152.85,118.13,163.36,177.06,197.89,187.84,179.89,173.33,149.7,164.86,,27,965,33,25.8,965D6-(E1);
25.06.23 15:59:34,19.45,188.22,160.36,140.59,160.86,167.54,188.42,162.34,195.63,169.97,196.17,164.86,141.17,163.33,147.19,151.24,129.3,173.74,178.25,194.78,194.78,192.83,167.29,154.69,180.9,,27,965,33,25.81,965D6-(E1);
25.06.23 15:59:49,19.7,182.01,159.3,140.34,160.59,160.33,183.48,161.53,194.78,163.18,187.61,159.48,132.89,159.91,157.8,154.19,116.03,171.27,173.81,193.93,194.49,176.9,161.02,152.06,156.46,,27,965,33,25.83,965B6-(E1);
25.06.23 16:00:04,19.95,184.26,156.39,134.75,160.06,155.56,174.54,159.91,179.67,160.75,192.84,161.9,132.38,163.33,155.4,144.05,120.78,170.99,177.36,195.63,186.11,186.18,158.19,152.06,170.07,,27,965,33,25.81,965D6-(E1);
25.06.23 16:00:19,20.2,179.48,161.69,130.73,159.27,154.77,169.99,151.37,186.06,167.52,190.08,166.22,134.18,161.75,150.62,149.9,115.77,163.63,166.19,193.93,194.2,184.26,161.31,152.06,177.82,,27,965,33,25.84,965C3-(E1);
25.06.23 16:00:34,20.45,188.5,158.51,135.26,157.15,164.33,172.13,154.03,186.9,159.41,189.26,170.29,132.12,157.03,147.45,144.58,123.43,171.82,172.93,198.18,195.36,182.62,166.15,151.8,171.45,,27,965,33,25.83,965B6-(E1);
25.06.23 16:00:49,20.7,184.26,163.29,132.74,155.83,160.59,175.08,160.18,190.54,163.99,191.18,167.57,126.76,161.49,144.04,144.84,119.19,169.07,175.88,200.74,189.56,179.62,159.89,152.85,170.35,,27,965,33,25.85,965D6-(E1);
25.06.23 16:01:04,20.95,187.93,160.89,142.12,156.88,163.52,177.24,157.5,188.58,162.37,189.26,159.48,124.73,160.43,146.14,146.17,125.56,165.26,174.99,191.12,192.17,187.56,167.01,151.54,157,,27,965,33,25.85,965D6-(E1);
25.06.23 16:01:19,21.2,188.22,157.71,130.98,152.93,164.33,172.93,160.18,189.42,167.25,201.75,171.38,130.33,166.24,147.72,145.91,122.1,167.43,178.55,203.59,197.99,182.89,159.32,151.01,178.38,,27,965,33,25.86,965D6-(E1);
25.06.23 16:01:34,21.45,188.22,162.22,137.28,158.74,160.33,171.59,158.3,186.9,166.43,187.06,167.57,121.95,156.25,155.66,146.17,129.57,172.37,172.63,195.63,194.2,185.63,162.44,148.66,182.3,,27,965,33,25.86,965B6-(E1);
25.06.23 16:01:49,21.7,184.82,159.83,124.99,150.32,157.68,170.26,155.63,184.38,160.22,188.98,164.05,128.8,155.72,147.45,142.99,125.82,167.16,169.7,191.96,185.82,188.94,161.02,146.57,169.79,,27,965,33,25.88,965C6-(E1);
25.06.23 16:02:04,21.95,187.65,159.04,129.98,156.88,151.1,173.74,155.09,189.98,159.14,199.51,155.21,130.59,152.09,146.93,141.67,123.43,160.65,173.22,189.16,186.69,182.34,158.76,152.85,183.42,,27,965,33,25.88,965B6-(E1);
25.06.23 16:02:19,22.2,186.52,159.3,141.1,158.47,164.33,176.43,154.82,183.55,158.87,200.07,173.03,130.33,161.49,158.07,148.83,126.63,173.19,180.93,204.74,193.33,196.46,164.44,161.86,182.3,,27,965,33,25.89,965C4-(E1);
25.06.23 16:02:34,22.45,187.37,159.3,134.5,150.84,163.26,177.78,155.63,195.35,163.99,200.35,163.24,129.31,160.7,147.98,152.31,127.43,169.35,171.16,191.12,192.75,187.56,164.15,161.86,170.35,,27,965,33,25.91,965B6-(E1);
25.06.23 16:02:49,22.7,183.69,158.77,127.23,151.1,153.2,171.59,159.91,191.95,165.07,202.04,168.66,121.19,157.81,147.45,148.83,119.72,170.17,174.11,190.84,188.41,187.56,165.01,156.28,170.62,,27,965,33,25.92,965B6-(E1);
25.06.23 16:03:04,22.95,183.69,164.62,128.98,147.71,161.39,173.2,165.86,188.58,160.22,187.34,163.24,129.56,163.6,154.33,152.58,120.78,171.82,165.61,197.61,187.55,192.83,163.01,154.69,176.99,,27,965,33,25.92,965C3-(E1);
25.06.23 16:03:19,23.2,189.64,157.71,135.77,153.99,167.28,164.15,164.23,178.56,168.06,190.63,163.51,127.27,159.12,152.21,163.95,126.63,169.9,176.77,196.19,193.33,193.66,168.44,159.99,171.72,,27,965,33,25.95,965B6-(E1);
25.06.23 16:03:34,23.45,181.45,160.89,136.78,154.25,160.33,177.24,156.69,187.74,165.34,192.84,169.75,115.18,162.28,152.47,150.17,123.69,174.85,174.7,191.68,182.11,190.33,158.19,151.54,171.45,,27,965,33,25.96,965D6-(E1);
25.06.23 16:03:49,23.7,187.37,157.45,133.75,154.25,163.52,173.2,156.96,188.58,159.95,194.78,175.77,129.82,160.96,154.33,145.64,130.91,175.12,168.82,197.89,193.04,194.5,158.76,151.01,176.15,,27,965,33,25.99,965D6-(E1);
25.06.23 16:04:04,23.95,183.98,158.77,125.98,143.05,169.7,171.86,153.76,199.33,153.53,196.17,168.66,120.19,166.51,139.87,152.58,127.16,172.09,165.61,198.74,191.01,186.46,157.91,146.05,179.5,,27,965,33,26,965D6-(E1);
25.06.23 16:04:19,24.2,181.45,159.04,131.48,152.41,163.26,156.8,155.89,190.82,169.7,196.45,168.66,121.7,165.45,142.73,152.04,125.02,174.57,175.29,202.73,196.24,191.99,161.88,151.01,186.53,,27,965,33,26.02,965D6-(E1);
25.06.23 16:04:34,24.45,184.82,163.56,132.49,151.1,162.99,168.66,157.23,190.82,164.26,190.63,168.66,119.18,168.9,152.21,153.11,122.1,175.68,169.99,200.45,193.62,197.02,158.19,159.2,183.14,,27,965,33,26.03,965B6-(E1);
25.06.23 16:04:49,24.7,183.13,164.62,133.24,157.41,161.39,172.67,155.63,192.23,165.89,189.53,162.7,122.96,160.7,141.43,149.1,124.23,173.47,170.58,193.65,196.53,190.33,162.16,162.13,179.5,,27,965,33,26.05,965B6-(E1);
25.06.23 16:05:04,24.95,186.8,160.1,135.01,147.97,159,176.16,155.09,191.39,165.34,195.33,171.93,119.69,155.2,152.74,143.52,117.61,177.34,172.93,194.5,192.75,183.71,160.46,158.13,181.46,,27,965,33,26.05,965C6-(E1);
25.06.23 16:05:19,25.2,184.82,155.08,125.49,150.32,157.94,158.63,162.88,183.55,167.25,191.74,175.22,122.46,159.38,150.09,150.43,129.84,185.72,167.65,199.31,198.28,200.11,163.87,159.73,188.51,,27,965,33,26.06,965D6-(E1);
25.06.23 16:05:34,25.45,185.95,158.77,126.23,153.72,153.99,178.05,161.8,182.71,163.45,187.34,165.95,122.2,163.33,146.66,148.3,125.29,178.17,175.29,193.65,194.2,189.22,160.74,155.75,182.02,,27,965,33,26.06,965B6-(E1);
