Date,SDR,Run,Plate,Light_Level,Light_Value,IntervalStart,IntervalStop,Mean_T_internal_C,N_points
20230626,641,5,Plate09,1,0.1,3,20,28.00594202898551,69
20230626,641,5,Plate09,2,50,25,37,29.513673469387754,49
20230626,641,5,Plate09,3,100,39,55,30.508,65
20230626,641,5,Plate09,4,500,57,73,31.702153846153845,65
20230626,641,5,Plate09,5,0.2,76,88,31.780408163265307,49
20230626,710,5,Plate10,1,0.1,3,20,27.841594202898552,69
20230626,710,5,Plate10,2,50,25,37,29.68857142857143,49
20230626,710,5,Plate10,3,100,39,55,30.802923076923076,65
20230626,710,5,Plate10,4,500,57,73,31.95723076923077,65
20230626,710,5,Plate10,5,0.2,76,88,31.870408163265306,49
20230626,641,6,Plate11,1,0.1,3,25,32.802696629213486,89
20230626,641,6,Plate11,2,50,27,44,34.685072463768115,69
20230626,641,6,Plate11,3,100,46,60,35.60701754385965,57
20230626,641,6,Plate11,4,500,62,71,36.88567567567568,37
20230626,641,6,Plate11,5,0.2,73,87,36.966,55
20230626,710,6,Plate12,1,0.1,3,25,33.233258426966295,89
20230626,710,6,Plate12,2,50,27,44,34.963478260869564,69
20230626,710,6,Plate12,3,100,46,60,35.77859649122807,57
20230626,710,6,Plate12,4,500,62,71,36.87108108108108,37
20230626,710,6,Plate12,5,0.2,73,87,36.91127272727273,55
20230626,641,7,Plate13,1,0.1,3,18,25.16311475409836,61
20230626,641,7,Plate13,2,50,22,35,26.11075471698113,53
20230626,641,7,Plate13,3,100,35,45,26.608536585365854,41
20230626,641,7,Plate13,4,500,49,66,27.921014492753624,69
20230626,641,7,Plate13,5,0.2,70,81,27.232444444444443,45
20230626,710,7,Plate14,1,0.1,3,18,25.131475409836067,61
20230626,710,7,Plate14,2,50,22,35,25.982830188679245,53
20230626,710,7,Plate14,3,100,35,45,26.457560975609756,41
20230626,710,7,Plate14,4,500,49,66,27.818840579710145,69
20230626,710,7,Plate14,5,0.2,70,81,27.224888888888888,45
20230626,641,8,Plate15,1,0.1,3,15,30.621224489795917,49
20230626,641,8,Plate15,2,50,20,35,32.440655737704915,61
20230626,641,8,Plate15,3,100,37,48,33.034666666666666,45
20230626,641,8,Plate15,4,500,52,62,34.073170731707314,41
20230626,641,8,Plate15,5,0.2,64,74,34.05560975609756,41
20230626,710,8,Plate16,1,0.1,3,15,30.635510204081633,49
20230626,710,8,Plate16,2,50,20,35,32.25491803278689,61
20230626,710,8,Plate16,3,100,37,48,32.93822222222222,45
20230626,710,8,Plate16,4,500,52,62,34.15853658536585,41
20230626,710,8,Plate16,5,0.2,64,74,34.087560975609755,41
